Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31)
5.681614905938594e-11,0.1122453730284138,0.0,0.0,0.0,0.0,0.9999999908375362,1.8029303719199333e-08,1.4755981610801816e-10,1.9540136742205714e-13,1.4721413609167626e-10,1.5441780495413093e-13,2.295571294142971e-13,8.006531483418717e-26,1.094157760090499e-25,1.7794358303592022e-28,8.951013130498098e-35,1.2816662821438374e-42,5.104270499247966e-45,1.3613783318336774e-43,2.3663968089605113e-45,1.2823941075929355e-45,2.4721520142044522e-49,2.676617337096985e-51,2.4991556106648736e-51,1.6998189374563352e-40
8.012533867040896e-11,0.1122453734503372,0.0,0.0,0.0,0.0,0.9999999870783312,2.542582824308719e-08,2.0825331074095677e-10,3.8849502044306515e-13,2.0756647420878344e-10,3.0716918386779725e-13,4.563399397336776e-13,2.9430094908161827e-25,3.113847718472142e-25,6.68272475928163e-28,3.569660977605452e-34,8.249527282901675e-42,3.290896012657634e-44,7.86856374836439e-43,1.8024582400287343e-44,9.775228316595157e-45,2.1527722104354947e-48,1.8603246802603275e-50,2.186281451636063e-50,1.023100124450091e-39
9.999999999999999e-11,0.11224537387226642,0.0,0.0,0.0,0.0,0.9999999838729191,3.173244857773657e-08,2.600754900921785e-10,6.050554616413537e-13,2.5900636171674e-10,4.786007489414566e-13,7.106372058416535e-13,6.868471951311469e-25,6.1586432395846195e-25,1.5833313770624776e-27,8.74023071031202e-34,2.9434305982948095e-41,1.175329341687977e-43,2.5817603033972358e-42,7.228328390305205e-44,3.92240849805814e-44,9.490509969886032e-48,6.978852962084421e-50,9.688407558843654e-50,3.457484039568119e-39
1.0343452828143197e-10,0.11224537387226642,0.0,0.0,0.0,0.0,0.9999999833189832,3.2822287002992193e-08,2.6903753404266563e-10,6.473219246940508e-13,2.678938162214458e-10,5.120675754540805e-13,7.602655237187806e-13,7.742595553905189e-25,6.808189601670918e-25,1.787818648283661e-27,9.903332480811464e-34,3.4517108276463797e-41,1.3783881514365248e-43,3.0076058826716067e-42,8.547543226883359e-44,4.63845582933828e-44,1.1291425881574507e-47,8.214153393597278e-50,1.1530614610949018e-49,4.037388959192354e-39
1.26743717892455e-10,0.11224537429420152,0.0,0.0,0.0,0.0,0.9999999795594924,4.021867999874747e-08,3.2991237728924663e-10,9.718814144070058e-13,3.2819627012172526e-10,7.691894871705846e-13,1.1413023637313778e-12,1.6832666885729797e-24,1.2797795997459917e-24,3.958249966732811e-27,2.2490531821494557e-33,1.1213376143390448e-40,4.481572409645562e-43,9.079226152035726e-42,3.1002264915020653e-43,1.683223288425185e-43,4.467794971872789e-47,2.7945402123415465e-49,4.591559574420557e-49,1.2547476953225012e-38
1.7336209711450103e-10,0.11224537513808933,0.0,0.0,0.0,0.0,0.9999999720400827,5.5011268696807156e-08,4.5193352227394336e-10,1.8181960650268211e-12,4.4872691259828313e-10,1.4403873252929293e-12,2.1345941306203595e-12,5.612692945499189e-24,3.433323592955058e-24,1.3758519942156908e-26,8.085194149041868e-33,7.499371490695246e-40,3.0014708881399924e-42,5.376248874766887e-41,2.5728024765029033e-42,1.398012117191552e-42,4.370585456555042e-46,2.043096596769729e-48,4.568025205519748e-48,7.889263831283793e-38
2.1998047633654706e-10,0.11224537598200066,0.0,0.0,0.0,0.0,0.9999999645201019,6.980359433511115e-08,5.743158787544096e-10,2.9274344503887057e-12,5.691592635279703e-10,2.3213753358746613e-12,3.4359657239251914e-12,1.40741673573713e-23,7.385822304465293e-24,3.5935375602405643e-26,2.1554972361746223e-32,3.0220487070414324e-39,1.2102255084544918e-41,1.974542164932931e-40,1.185367225474189e-41,6.444129324558522e-42,2.2260169218006362e-45,8.680301676287327e-48,2.3572248161973096e-47,3.0351726252668623e-37
2.6659885555859306e-10,0.11224537682593562,0.0,0.0,0.0,0.0,0.9999999569995504,8.459565691129196e-08,6.970585376533983e-10,4.2995919087744865e-12,6.894942267696803e-10,3.412797167440483e-12,5.0451566549629605e-12,2.9730220936934546e-23,1.3882605979269056e-23,7.926932393368204e-26,4.8236471442344005e-32,9.517901480129147e-39,3.81375552566831e-41,5.734438114077002e-40,4.1934213511152835e-41,2.280683881908303e-41,8.584907084055662e-45,2.8670590156391387e-47,9.222369756343126e-47,9.176094166550412e-37
3.598356140026851e-10,0.11224537851387667,0.0,0.0,0.0,0.0,0.9999999419567367,1.1417899286756736e-07,9.436212580128596e-10,7.83264640520458e-12,9.298754750820827e-10,6.229434637131817e-12,9.186002900074263e-12,9.811729512739789e-23,3.8348994265256543e-23,2.943012851004391e-25,1.8300323123223064e-31,7.194397672366966e-38,2.8863963546460976e-40,3.602769679351533e-39,4.880236050001798e-40,2.657679126120865e-40,1.3935246713930632e-43,2.6347873619113777e-46,1.6660685397532563e-45,6.639288124948539e-36
4.5307237244677717e-10,0.11224538020191296,0.0,0.0,0.0,0.0,0.9999999269116431,1.4376127654673987e-07,1.1916147219194566e-09,1.2417324002819777e-11,1.169877579116426e-09,9.895254012769092e-12,1.4555163413247022e-11,2.4372282107351857e-22,8.491177575190115e-23,8.094859201336621e-25,5.096132129135219e-31,3.1102993453045413e-37,1.2484461674813821e-39,1.3895141226370757e-38,2.5928380765830326e-39,1.4128816388438857e-39,8.451951022699437e-43,1.2728183307209904e-45,1.0680935764459383e-44,2.776582499501955e-35
5.463091308908692e-10,0.1122453818900451,0.0,0.0,0.0,0.0,0.999999911864272,1.7334250793003747e-07,1.4410320715362488e-09,1.8053589387599328e-11,1.4095073571314736e-09,1.4415153893317771e-11,2.115071640266221e-11,5.0796275307553575e-22,1.633087153913518e-22,1.8488059347671942e-24,1.1733837402212584e-30,1.0119773909817037e-36,4.063178376006614e-39,4.1256839827447293e-38,9.796568865733519e-39,5.3408703712372545e-39,3.497059770775347e-42,4.532201425836939e-45,4.633080353468308e-44,8.751693782990817e-35
6.395458893349613e-10,0.11224538357827361,0.0,0.0,0.0,0.0,0.9999998968146252,2.0292268699871804e-07,1.6918665138634538e-09,2.4741407260392212e-11,1.648771562575243e-09,1.97940052050701e-11,2.8970777220354967e-11,9.407652246547863e-22,2.8504326973374784e-22,3.7265892872199924e-24,2.3789556366711597e-30,2.7565602931952268e-36,1.1070172933625179e-38,1.0420207798660499e-37,3.0187366620840285e-38,1.646419652871077e-38,1.1572397124397563e-41,1.3387350357954103e-44,1.601469172232197e-43,2.3182667571136067e-34
