Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28)
3.567756491319943e-06,0.1133963669354522,0.0,0.0,0.0,0.0,0.9894507010585083,0.0004451697166247725,0.00015813034636793147,0.0005451148635744897,9.946270413477076e-05,0.009889091771316723,0.009659674955906026,9.407928696535049e-09,8.675771565277584e-08,6.833556316859442e-06,4.5317341767463226e-12,5.162423982345607e-11
3.622111125863928e-06,0.11342996971378443,0.0,0.0,0.0,0.0,0.9891448911408399,0.0004456468209832137,0.00015956764505614703,0.0005581647919291471,0.00010023853377752333,0.010186283734864444,0.009951504702629507,9.698363139320515e-09,9.011577170634749e-08,7.246894178065464e-06,4.805843530753913e-12,5.524071887362079e-11
3.6764657604079126e-06,0.11346379834419383,0.0,0.0,0.0,0.0,0.9888370714502647,0.00044607244796144636,0.00016095784256424647,0.0005712547910553764,0.00010098170811635367,0.01048552308676234,0.010245384936863345,9.990013180893036e-09,9.350969801184135e-08,7.67538306805975e-06,5.090000478567795e-12,5.901136959376072e-11
3.7308203949518973e-06,0.11349784203811628,0.0,0.0,0.0,0.0,0.9885273393964921,0.0004464500473665763,0.00016230224604372914,0.0005843821715918852,0.00010169320682431643,0.01078671061828857,0.010541218182755953,1.0282768520254428e-08,9.693758537155413e-08,8.119136697399902e-06,5.384280429482401e-12,6.293747002436186e-11
3.785175029495882e-06,0.1135320903465133,0.0,0.0,0.0,0.0,0.9882157892891964,0.0004467828913903855,0.00016360216484567807,0.0005975443711012757,0.00010237400732735653,0.011089750253344969,0.010838910016912564,1.0576525154191284e-08,1.0039758256917765e-07,8.578259266083993e-06,5.688752485717537e-12,6.702015469228837e-11
3.839529664039867e-06,0.11356653315788046,0.0,0.0,0.0,0.0,0.9879025123586258,0.00044707408067768924,0.00016485890626713717,0.0006107389503789786,0.00010302508187597823,0.01139454903056698,0.011138369052382736,1.0871185184417455e-08,1.0388789830419494e-07,9.05284580950542e-06,6.003479671842406e-12,7.126042062259693e-11
3.893884298583851e-06,0.11360116069535037,0.0,0.0,0.0,0.0,0.9875875967842676,0.0004473265504624545,0.00016607377172011412,0.0006239635896575857,0.00010364739492617528,0.011701017076966363,0.011439506914299877,1.11666565527135e-08,1.0740680265654649e-07,9.542982549960941e-06,6.328519167882527e-12,7.565913349034718e-11
3.948238933127835e-06,0.11363596351299271,0.0,0.0,0.0,0.0,0.9872711277306547,0.0004475430767352263,0.0001672480532982193,0.0006372160847343321,0.00010424190081045931,0.012009067574053657,0.011742238208098747,1.146285283220742e-08,1.1095262812526184e-07,1.0048747251459055e-05,6.663922544615251e-12,8.021703393640349e-11
4.00259356767182e-06,0.11367093249140582,0.0,0.0,0.0,0.0,0.9869531873894631,0.00044772628240944285,0.00016838303071610184,0.0006504943430470057,0.00010480954168010231,0.012318616717326113,0.012046480481176977,1.1759693026936386e-08,1.145237702783075e-07,1.0570209575793808e-05,7.009735999704746e-12,8.493474403031119e-11
4.056948202215804e-06,0.11370605883268783,0.0,0.0,0.0,0.0,0.9866338550270958,0.0004478786434579307,0.00016947996859723328,0.0006637963797211739,0.00010535124570008028,0.012629583669946168,0.012352154178807565,1.2057101282867643e-08,1.1811868804677356e-07,1.1107431438058633e-05,7.366000593465824e-12,8.98127737391653e-11
4.111302836759788e-06,0.11374133405486982,0.0,0.0,0.0,0.0,0.986313207037025,0.00044800249499404534,0.00017054011408619639,0.000677120313609324,0.00010586792547863846,0.01294189051137604,0.012659182595051624,1.2355006658613792e-08,1.2173590370006925e-07,1.166046735996497e-05,7.73275248317186e-12,9.485152735911012e-11
4.1656574713037725e-06,0.11377674998588568,0.0,0.0,0.0,0.0,0.9859913169962019,0.00044810003727526696,0.00017156469476234615,0.0006904643633403537,0.00010636047671398925,0.013255462181677264,0.012967491819365361,1.2653342940479914e-08,1.253740025373869e-07,1.2229364819514848e-05,8.110023154945002e-12,1.0005130994301974e-10
4.220012105847757e-06,0.11381229875714972,0.0,0.0,0.0,0.0,0.9856682557249107,0.00044817334161013656,0.00017255491683249634,0.0007038268433957921,0.00010682977704133751,0.013570226422129116,0.013277010679541665,1.2952048350578994e-08,1.290316323252597e-07,1.281416459575516e-05,8.497839652384975e-12,1.0541233365597432e-10
4.274366740391741e-06,0.11384797279680564,0.0,0.0,0.0,0.0,0.985344091349487,0.00044822435615185323,0.0001735119635811891,0.0007172061602272036,0.00010727668506412632,0.013886113712767031,0.013587670681575301,1.3251065305416978e-08,1.3270750251038465e-07,1.3414901107503906e-05,8.896224801200114e-12,1.1093472397729776e-10
4.328721374935725e-06,0.11388376482270474,0.0,0.0,0.0,0.0,0.9850188893673718,0.00044825491156449883,0.0001744369940580609,0.0007306008084274092,0.00010770203955413645,0.014203057207391522,0.013899405946991787,1.3550340261872774e-08,1.3640038323727742e-07,1.4031602745089613e-05,9.305197429205112e-12,1.1661852576806308e-10
4.38307600947971e-06,0.11391966783516898,0.0,0.0,0.0,0.0,0.9846927127140205,0.0004482667265504148,0.00017533114198279226,0.0007440093669664771,0.0001081066588058603,0.014520992666550717,0.014212153148133075,1.3849823440162386e-08,1.4010910419683027e-07,1.4664292194289068e-05,9.724772581145328e-12,1.2246370920408252e-10
4.437430644023694e-06,0.11395567510958615,0.0,0.0,0.0,0.0,0.9843656218312267,0.0004482614132290038,0.0001761955148491378,0.0007574304955018709,0.00010849134013136855,0.014839858388953754,0.014525851441849195,1.4149468572275785e-08,1.438325533288929e-07,1.531298675178106e-05,1.0154961727894503e-11,1.2847017550812451e-10
4.491785278567678e-06,0.11399178018888209,0.0,0.0,0.0,0.0,0.9840376747364658,0.0004482404823591757,0.00017703119321056288,0.000770862930770711,0.0001088568594826787,0.015159595141729787,0.014840442402003324,1.4449232787100877e-08,1.475696754016981e-07,1.597769863155273e-05,1.0595772969652593e-11,1.3463776246441003e-10
4.5461399131116625e-06,0.1140279768759099,0.0,0.0,0.0,0.0,0.9837089270928978,0.00044820534839975975,0.0001778392301310323,0.0007843054830707797,0.00010920397118942739,0.015480146089907472,0.01515586995115864,1.474907636420765e-08,1.5131947048946092e-07,1.6658435261805e-05,1.104721123284345e-11,1.409662497417808e-10
4.600494547655647e-06,0.11406425922579244,0.0,0.0,0.0,0.0,0.9833794322797131,0.0004481573344033706,0.0001786206507855022,0.0007977570328357034,0.00010953340780043408,0.01580145672545214,0.01547208029177882,1.5048962469666163e-08,1.5508099236647826e-07,1.7355199572005283e-05,1.1509278460478106e-11,1.4745536400234856e-10
4.709203816743616e-06,0.11413705834999613,0.0,0.0,0.0,0.0,0.9827184036629575,0.000448027529233764,0.00018010760341365725,0.0008246829775646968,0.00011014207692154773,0.016446150235067968,0.01610664514317787,1.5648728770392618e-08,1.6263569022654115e-07,1.879680208306632e-05,1.246529374277261e-11,1.609141440253633e-10
4.79891117749813e-06,0.11419734308689991,0.0,0.0,0.0,0.0,0.9821710951275748,0.00044789164842280103,0.00018126287825730874,0.0008469208899977589,0.00011059709228242351,0.01698000759912937,0.016632219304066696,1.6143513148302124e-08,1.688978528280294e-07,2.003465441563266e-05,1.3286189826301382e-11,1.725010914783549e-10
4.888618538252644e-06,0.1142577943553634,0.0,0.0,0.0,0.0,0.9816223506504211,0.00044773450815391796,0.00018235761881946823,0.0008691714029575852,0.0001110124553940084,0.017515322193352032,0.017159321093538633,1.663803935313126e-08,1.7518177478547786e-07,2.131605983889254e-05,1.4135968711576154e-11,1.8452056157309788e-10
4.978325899007158e-06,0.11431839148865851,0.0,0.0,0.0,0.0,0.9810723554359398,0.00044756002059973796,0.0001833956768567707,0.0008914310692254289,0.0001113908799072958,0.01805190481530921,0.01768776343102506,1.7132204957343775e-08,1.8148448050816572e-07,2.2640935236575826e-05,1.501457527984445e-11,1.969703236627381e-10
5.0680332597616716e-06,0.11437911528210074,0.0,0.0,0.0,0.0,0.980521281457985,0.0004473716458289584,0.00018438070056784724,0.0009136968000562069,0.00011173492627183629,0.01858957976340098,0.018217372492462577,1.7625920554402638e-08,1.878032974688724e-07,2.400917730555471e-05,1.5921941025073047e-11,2.098479775349762e-10
5.157740620516185e-06,0.11443994791555787,0.0,0.0,0.0,0.0,0.9799692882475265,0.0004471724343402071,0.0001853161390154305,0.0009359658340624999,0.00011204700602118684,0.019128184036585203,0.01874798693053019,1.811910801558524e-08,1.9413583492092786e-07,2.542066501263022e-05,1.6857985683206137e-11,2.2315099205403105e-10
5.247447981270699e-06,0.11450087285807244,0.0,0.0,0.0,0.0,0.9794165236482298,0.00044696506579454284,0.00018620524785437827,0.0009582357085864981,0.0001123293869228963,0.019667566565821276,0.019279457125101915,1.8611699834322075e-08,2.0047996234889422e-07,2.687526181385368e-05,1.7822618703941786e-11,2.3687673712615144e-10
5.337155342025213e-06,0.11456187480126688,0.0,0.0,0.0,0.0,0.9788631245463885,0.0004467518852218953,0.00018705109545140132,0.0009805042327967533,0.00011258419831334294,0.020207587471324437,0.019811644458440653,1.910363755760698e-08,2.0683378920719446e-07,2.837281771820869e-05,1.8815740619299988e-11,2.510225133619298e-10
5.426862702779727e-06,0.11462293956966457,0.0,0.0,0.0,0.0,0.9783092175668296,0.00044653493594083086,0.00018785656983534308,0.0010027694629923098,0.00011281343691986124,0.020748117353765236,0.02034442062298893,1.9594869711305356e-08,2.131956456128779e-07,2.991317114276615e-05,1.983724427390329e-11,2.655855805606514e-10
5.516570063534241e-06,0.11468405405990809,0.0,0.0,0.0,0.0,0.977754919739786,0.0004463159900528107,0.0001886243858279071,0.0010250296795936101,0.00011301897274301466,0.021289036614835617,0.02087766695745127,2.0085352030630714e-08,2.195640636873195e-07,3.1496150620231475e-05,2.0887015957358017e-11,2.8056317906243085e-10
5.606277424288755e-06,0.11474520615932046,0.0,0.0,0.0,0.0,0.9772003391324291,0.0004460965761582496,0.00018935709252750378,0.0010472833660552213,0.00011320255513655693,0.021830234813405524,0.021411273817229792,2.057504705092733e-08,2.2593775945382455e-07,3.312157632946665e-05,2.196493641924754e-11,2.9595254640285e-10
5.6959847850432685e-06,0.11480638469021795,0.0,0.0,0.0,0.0,0.9766455754498901,0.00044587800487065437,0.0001900570808125949,0.001069529189344279,0.00011336581878793107,0.022371610052626317,0.02194513997481322,2.1063920875938145e-08,2.3231561674372638e-07,3.478926149080191e-05,2.3070881794469118e-11,3.117509362513855e-10
5.785692145797782e-06,0.114867579337785,0.0,0.0,0.0,0.0,0.976090720602179,0.00044566139196264217,0.00019072659094717542,0.0010917659820890151,0.00011351028971639946,0.022913068401532753,0.022479172053573672,2.1551943711518136e-08,2.386966715855292e-07,3.6499013610204154e-05,2.420472442831365e-11,3.279556350786771e-10
5.866428770476844e-06,0.11492266043374033,0.0,0.0,0.0,0.0,0.975591343403632,0.0004454688969347354,0.00019130482739192233,0.0011117705299279544,0.0001136254241177942,0.023400380322257008,0.0229598715095052,2.1990417459676185e-08,2.4444166877223623e-07,3.8073594972007886e-05,2.5248926995533116e-11,3.428850460147566e-10
5.947165395155906e-06,0.11497774046610386,0.0,0.0,0.0,0.0,0.9750920180385083,0.00044527933272815333,0.0001918615115845886,0.0011317662876377996,0.00011372746064043657,0.023887631122006828,0.023440577551515296,2.2428166091755146e-08,2.501880679482207e-07,3.9681944803758275e-05,2.6315523569708307e-11,3.5813948209701703e-10
6.019828357367062e-06,0.11502730666727158,0.0,0.0,0.0,0.0,0.9746427133031937,0.0004451116358271135,0.00019234521756256686,0.001149754482448323,0.00011380884796902821,0.024326059846224594,0.023873174055994695,2.282150746622733e-08,2.5536065855750976e-07,4.1158209375541625e-05,2.7294526245305877e-11,3.7214481826648786e-10
