Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3)
1.1927564603790471e-09,0.11224539324232419,0.0,0.0,0.0,0.0,0.9999998106649524,3.7841194580562444e-07,8.604987862016607e-11,8.604987862016607e-11
1.6234273404189726e-09,0.11224540091232903,0.0,0.0,0.0,0.0,0.9999997422591206,5.150035589305993e-07,1.594000419279488e-10,1.594000419279488e-10
2.054098220458898e-09,0.11224540858233216,0.0,0.0,0.0,0.0,0.999999673830877,6.515727160104547e-07,2.5517680611478803e-10,2.5517680611478803e-10
2.4847691004988234e-09,0.11224541625233338,0.0,0.0,0.0,0.0,0.9999996053802277,7.88119415417357e-07,3.733764808132342e-10,3.733764808132342e-10
3.3461108605786743e-09,0.11224543159232876,0.0,0.0,0.0,0.0,0.999999468411738,1.0611454347240793e-06,6.770298055158387e-10,6.770298055158387e-10
5.068794380738376e-09,0.11224546227228302,0.0,0.0,0.0,0.0,0.9999991942061717,1.6069279100065607e-06,1.553248911485758e-09,1.553248911485758e-09
6.5964607637416194e-09,0.11224548947904628,0.0,0.0,0.0,0.0,0.9999989507428365,2.0906240853449143e-06,2.6300806275947637e-09,2.6300806275947637e-09
8.624591292504738e-09,0.11224552559865533,0.0,0.0,0.0,0.0,0.9999986270865807,2.7323423947525167e-06,4.494814571033077e-09,4.494814571033077e-09
9.999999999999999e-09,0.11224556171812043,0.0,0.0,0.0,0.0,0.9999984073124211,3.167250085111348e-06,6.0416909638058615e-09,6.0416909638058615e-09
1.0652721821267856e-08,0.11224556171812043,0.0,0.0,0.0,0.0,0.9999983029355868,3.373562119935022e-06,6.855568875815347e-09,6.855568875815347e-09
1.2680852350030974e-08,0.11224559783741078,0.0,0.0,0.0,0.0,0.9999979782905161,4.014283096019402e-06,9.711957316623792e-09,9.711957316623792e-09
1.4708982878794092e-08,0.11224563395649546,0.0,0.0,0.0,0.0,0.9999976531520299,4.65450515978023e-06,1.3063593519358708e-08,1.3063593519358708e-08
1.673711340755721e-08,0.11224567007534371,0.0,0.0,0.0,0.0,0.999997327520789,5.294228149246766e-06,1.6910091003256418e-08,1.6910091003256418e-08
1.876524393632033e-08,0.11224570619392484,0.0,0.0,0.0,0.0,0.9999970013974535,5.9334519036045144e-06,2.125106318451776e-08,2.125106318451776e-08
2.2821504993846566e-08,0.11224577843016308,0.0,0.0,0.0,0.0,0.9999963476771367,7.210401073296394e-06,3.141488447451192e-08,3.141488447451192e-08
2.6472139945620176e-08,0.11224584344155732,0.0,0.0,0.0,0.0,0.9999957576524999,8.35794636254348e-06,4.2249545951599034e-08,4.2249545951599034e-08
