Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31),C4H5(34),C4H5(183)
3.4875149114573806e-11,0.11224537263126157,0.0,0.0,0.0,0.0,0.999999994375955,1.1066876122890206e-08,9.051188045166567e-11,7.371200025698019e-14,9.038138863657472e-11,5.821966399533744e-14,8.660957141236529e-14,1.0747261966084345e-26,2.351338736756735e-26,2.215599920818734e-29,9.406257264848504e-36,5.601973824703599e-44,2.2128277947308938e-46,6.373328303870913e-45,5.556462265034267e-47,3.0090704896284417e-47,3.276385148499934e-51,8.58006450879269e-53,3.304405961314123e-53,7.16395107911936e-42,1.1076164392129188e-58,3.5816732648223224e-63
5.913612285876172e-11,0.11224537307040777,0.0,0.0,0.0,0.0,0.9999999904633873,1.876548596488591e-08,1.5359661091385804e-10,2.1168474915082469e-13,1.5322215048205165e-10,1.672952236332195e-13,2.486830649612883e-13,9.392306647604668e-26,1.2396163073794458e-25,2.097683607427596e-28,1.065392199156153e-34,1.638481502086202e-42,6.527814160750006e-45,1.7221873670358114e-43,3.148275142188953e-45,1.7062708916668373e-45,3.406123498308658e-49,3.4829686942073985e-51,3.448075247477021e-51,2.1686369822889677e-40,1.0926438833954291e-56,3.555200478165747e-61
8.339709660294964e-11,0.11224537350956026,0.0,0.0,0.0,0.0,0.9999999865506647,2.6464024562439786e-08,2.1677973307269392e-10,4.208694262045257e-13,2.1603573187673913e-10,3.327919460719654e-13,4.943578309479798e-13,3.4519606243812165e-25,3.5327470332507296e-25,7.886826258939577e-28,4.245512887213976e-34,1.0555374420803203e-41,4.2120901054129965e-44,9.949354571588758e-43,2.399827775381967e-44,1.301620764359169e-44,2.9662993229672367e-48,2.420385975676932e-50,3.018754408196976e-50,1.306085344022619e-39,1.013228992196734e-55,3.2996139550965156e-60
9.999999999999999e-11,0.11224537394871911,0.0,0.0,0.0,0.0,0.9999999838729192,3.1732448567421336e-08,2.600754961189546e-10,6.050657099179328e-13,2.590063659332005e-10,4.786146800815212e-13,7.106469180012673e-13,6.967325481403374e-25,6.201687657813077e-25,1.6139471807299224e-27,8.929082056646582e-34,3.091412897026065e-41,1.2346466362922328e-43,2.7019350280873247e-42,7.806357883846762e-44,4.2362564369299945e-44,1.0509190425424743e-47,7.410936665324113e-50,1.0751503412261632e-49,3.643443655404538e-39,4.326521136496105e-55,1.4094010589782414e-59
1.0765807034713755e-10,0.11224537394871911,0.0,0.0,0.0,0.0,0.9999999826377876,3.416249191563389e-08,2.8006112772950263e-10,7.012650408744999e-13,2.7882225095664277e-10,5.547931854656906e-13,8.23599051460452e-13,9.08055009413219e-25,7.733865324810575e-25,2.1121025709551673e-27,1.1775973909769118e-33,4.420864869988651e-41,1.765896199237946e-43,3.802558295397852e-42,1.1389923887317641e-43,6.181534357555889e-44,1.5561854079066793e-47,1.0691138579549537e-49,1.5934686223652126e-49,5.1574952333274466e-39,6.59269315083833e-55,2.1477163414633237e-59
1.3191904409132546e-10,0.11224537438788433,0.0,0.0,0.0,0.0,0.9999999787247555,4.186088802427466e-08,3.4344067234080946e-10,1.0528708478687484e-12,3.4158182944545523e-10,8.333851963039503e-13,1.2363712200508635e-12,1.9739270391924112e-24,1.4555002299154303e-24,4.680727331741716e-27,2.674544271294075e-33,1.4376759681881684e-40,5.747269497715047e-43,1.147958238825568e-41,4.134854827998248e-43,2.2451871244162672e-43,6.159360729331824e-47,3.6395779464731554e-49,6.351026903960672e-49,1.603951015733656e-38,3.211399345411773e-54,1.0466196642173835e-58
1.804409915797013e-10,0.11224537526623382,0.0,0.0,0.0,0.0,0.9999999708982275,5.7257466506763696e-08,4.704937591019775e-10,1.969710690727105e-12,4.670206143507125e-10,1.5606610632986226e-12,2.3123780935800416e-12,6.580428972811474e-24,3.913084175493438e-24,1.6299523653213724e-26,9.620834286776466e-33,9.636519359110566e-40,3.8575538841658143e-42,6.799870374365476e-41,3.438385322215128e-42,1.868548913391946e-42,6.030233795892461e-46,2.6660717125587153e-48,6.331866322702474e-48,1.0100053415337228e-37,4.457012181563688e-53,1.45423772241694e-57
2.2896293906807712e-10,0.11224537614460882,0.0,0.0,0.0,0.0,0.9999999630710811,7.265376000746967e-08,5.979380163462306e-10,3.1713838632014653e-12,5.923530579142571e-10,2.515310136248662e-12,3.722097420663966e-12,1.649753068118907e-23,8.433295355628762e-24,4.2636616825161157e-26,2.5668554979386194e-32,3.888890423734787e-39,1.5576243349831577e-41,2.497779052638735e-40,1.586155299497005e-41,8.623892529700385e-42,3.0726179434997096e-45,1.1344973900281465e-47,3.271678219437035e-47,3.889444687261181e-37,2.6808771146981414e-52,8.748028706109966e-57
2.7748488655645293e-10,0.11224537702300942,0.0,0.0,0.0,0.0,0.9999999552433164,8.804976852372001e-08,7.25772419731495e-10,4.657885112053052e-12,7.175801785973846e-10,3.698057893368889e-12,5.46523590445653e-12,3.484240308327628e-23,1.58770607161396e-23,9.417977622039277e-26,5.748989448240976e-32,1.2264189058416112e-38,4.91487990270751e-41,7.256736728832717e-40,5.617735928739814e-41,3.055657774544173e-41,1.1854226237206583e-44,3.753587762412864e-47,1.2815643214108297e-46,1.1769216604514182e-36,1.2143585103620492e-51,3.9640114115590213e-56
3.745287815332046e-10,0.11224537877988773,0.0,0.0,0.0,0.0,0.9999999395859337,1.1884093059190822e-07,9.82607717336926e-10,8.485351938984985e-12,9.67722376573702e-10,6.750658044693781e-12,9.950652456994977e-12,1.1492959647527196e-22,4.3987962084018893e-23,3.5070935800011466e-25,2.1859568223300714e-31,9.300940702364544e-38,3.731904268013315e-40,4.563944357191729e-39,6.562373182990367e-40,3.574160140634645e-40,1.9247895035392454e-43,3.4760333285336898e-46,2.3269229586491967e-45,8.536134878352685e-36,2.1903319269500357e-50,7.159815076134209e-55
