Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69)
2.1392263331961174e-11,0.11224537238721158,0.0,0.0,0.0,0.0,0.9999999965502735,6.7883906379044115e-09,5.549548373185942e-11,2.7803991963436962e-14,5.544624274480169e-11,2.195327048420922e-14,3.267176803136551e-14,1.474922263712705e-27,5.229108325750888e-27,2.9453050270895266e-30,9.949546979849743e-37,2.54022420903587e-45,9.897138933046839e-48,3.0166383362813287e-46,1.4063599779412496e-48,7.612161817963583e-49,4.718697161416715e-53,2.698832198855533e-54,4.8387622741089715e-55
3.2801470764730636e-11,0.11224537259372638,0.0,0.0,0.0,0.0,0.9999999947103702,1.0408843163297568e-08,8.512433244055734e-11,6.520678704993505e-14,8.500889031897151e-11,5.149952158781032e-14,7.661718885579856e-14,8.41332012736624e-27,1.9479114456607653e-26,1.7270303265859453e-29,7.165403011245865e-36,3.8586610967825353e-44,1.5224831356344644e-46,4.432850299954268e-45,3.600448122340937e-47,1.9496230272462316e-47,2.005492137791287e-51,5.705906078662017e-53,2.0251677969649738e-53
5.561988563026955e-11,0.1122453730067602,0.0,0.0,0.0,0.0,0.9999999910304608,1.764970094571757e-08,1.4444737543365051e-10,1.8725967368232422e-13,1.441160867752456e-10,1.4797950187196794e-13,2.1999399423350564e-13,7.354935968606878e-26,1.0239685067610205e-25,1.630478853234017e-28,8.1588511278893e-35,1.1248382720223079e-42,4.4787518038923826e-45,1.2013524806360815e-43,2.0332636791078325e-45,1.1018081673318485e-45,2.0848286714008165e-49,2.3268384630632542e-51,2.1062209877027006e-51
7.843830049580847e-11,0.11224537341979964,0.0,0.0,0.0,0.0,0.9999999873504142,2.4890495704252e-08,2.0385747368672704e-10,3.7230780969914197e-13,2.031992226273391e-10,2.9435891284573817e-13,4.373305376908536e-13,2.70367099424452e-25,2.9119772793735195e-25,6.119715948334665e-28,3.2551788656836734e-34,7.236809865335846e-42,2.8863973898571427e-44,6.945375899497944e-43,1.54810182707387e-44,8.395350426802238e-45,1.8154173381308664e-48,1.6174036942060755e-50,1.841798149319667e-50
9.999999999999999e-11,0.11224537383284469,0.0,0.0,0.0,0.0,0.9999999838729192,3.1732448582894616e-08,2.600754880774728e-10,6.050503447108464e-13,2.5900635861764066e-10,4.785930829646517e-13,7.106326405268871e-13,6.806953796636866e-25,6.131913985926026e-25,1.5649398857119538e-27,8.62705100070968e-34,2.855582292543698e-41,1.1401297979688173e-43,2.5108683970747862e-42,6.903579879774516e-44,3.746085473543503e-44,8.93781819873559e-48,6.728477967208036e-50,9.113910372154828e-50
1.0125671536134738e-10,0.11224537383284469,0.0,0.0,0.0,0.0,0.999999983670231,3.213122743899006e-08,2.633545279549821e-10,6.203503500442872e-13,2.622583962149886e-10,4.907071063730192e-13,7.285978013492789e-13,7.113344276486842e-25,6.362617416850376e-25,1.636329174738134e-27,9.032056573523642e-34,3.0264198419715e-41,1.208370441309416e-43,2.65489809397556e-42,7.338132204462237e-44,3.9819416088704825e-44,9.52088167840567e-48,7.140330024776634e-50,9.7094997503304e-50
1.240751302268863e-10,0.11224537424589534,0.0,0.0,0.0,0.0,0.9999999799899109,3.9371896149777656e-08,3.2293843621671887e-10,9.313866676571068e-13,3.212937088708453e-10,7.370958638002394e-13,1.093766202911816e-12,1.5465524728147923e-24,1.1952865449216152e-24,3.621031012543399e-27,2.051141725381594e-33,9.826418499979018e-41,3.926728786388417e-43,8.014336794898368e-42,2.6603301328454865e-43,1.4443110183967843e-43,3.766636609071417e-47,2.4284593701541993e-49,3.8645631435744264e-49
1.6971195995796415e-10,0.11224537507201357,0.0,0.0,0.0,0.0,0.99999997262886,5.3853044498563136e-08,4.423664381050675e-10,1.742438677038845e-12,4.392931258154833e-10,1.3802610302949128e-12,2.0456978365775696e-12,5.157416334572449e-24,3.2030690777706385e-24,1.2574377270547124e-26,7.371502519307647e-33,6.564106975011124e-40,2.6268767072729614e-42,4.744933405246805e-41,2.2054020031476797e-42,1.198307604247273e-42,3.683117588981365e-46,1.7737421106736156e-48,3.840509643517453e-48
2.15348789689042e-10,0.1122453758981543,0.0,0.0,0.0,0.0,0.999999965267262,6.833394074858988e-08,5.621406658007152e-10,2.805459592303614e-12,5.571982822702549e-10,2.2244292483587287e-12,3.2928912174604305e-12,1.2933866814096644e-23,6.883885878162385e-24,3.281653422915126e-26,1.9644754036776873e-32,2.643151811378972e-39,1.058394092329353e-41,1.7425616312417394e-40,1.0154269204736551e-41,5.51995556576174e-42,1.875455028130067e-45,7.529935794597434e-48,1.9804546937593087e-47
2.6098561942011984e-10,0.1122453767243177,0.0,0.0,0.0,0.0,0.9999999579051171,8.281458489763825e-08,6.822602661448389e-10,4.120445038586402e-12,6.750100264968625e-10,3.270204480587011e-12,4.8351017853289034e-12,2.73242575061033e-23,1.2928170497121821e-23,7.233775065244759e-26,4.3942992823331374e-32,8.318792294808729e-39,3.3330185156017153e-41,5.05979810646298e-40,3.5900594945706654e-41,1.9524212376024045e-41,7.231534700528288e-45,2.484939350216241e-47,7.743355695063503e-47
3.522592788822755e-10,0.11224537837671258,0.0,0.0,0.0,0.0,0.9999999431791875,1.1177511688367922e-07,9.235322950285116e-10,7.506292980355203e-12,9.103565494434079e-10,5.968914926023682e-12,8.803641228542174e-12,9.02010152272471e-23,3.565690297610616e-23,2.681427021279241e-25,1.665215504660485e-31,6.277048426701179e-38,2.518221601323215e-40,3.177290420229942e-39,4.169803090034561e-40,2.27064967290077e-40,1.1736403985673391e-43,2.274626488356589e-46,1.3951567448383683e-45
4.435329383444312e-10,0.11224538002919869,0.0,0.0,0.0,0.0,0.9999999284510729,1.407346404389603e-07,1.1661759899744975e-09,1.189994914988035e-11,1.1453391920492008e-09,9.481041812591706e-12,1.394946620064375e-11,2.2411278344304752e-22,7.885536696234485e-23,7.366707245488388e-25,4.632865640769525e-31,2.7108619331714174e-37,1.0880688154208487e-39,1.224722354171343e-38,2.213222026406909e-39,1.205944026360162e-39,7.118121192137734e-43,1.096131971039733e-45,8.934439266571671e-45
5.348065978065869e-10,0.11224538168177664,0.0,0.0,0.0,0.0,0.9999999137207757,1.6969315554586918e-07,1.4101849122983703e-09,1.7301380417814136e-11,1.3799643558681706e-09,1.3811182790862819e-11,2.0270770797753388e-11,4.671976264258538e-22,1.5151267672398764e-22,1.6809192330226982e-24,1.0658867468448873e-30,8.812880734378029e-37,3.538319263744566e-39,3.634214212601629e-38,8.355865376970929e-39,4.555125600450639e-39,2.945101240525282e-42,3.8953398568785947e-45,3.8722811750064634e-44
6.260802572687426e-10,0.11224538333444684,0.0,0.0,0.0,0.0,0.9999998989882973,1.986506621868215e-07,1.655552683009145e-09,2.3710553668740603e-11,1.6142383827854184e-09,1.8963910007169662e-11,2.7765783285931225e-11,8.65456165795518e-22,2.642397409159263e-22,3.385501560742393e-24,2.159553433485159e-30,2.3988433779396633e-36,9.633293827372715e-39,9.173081608146839e-38,2.5730774051147253e-38,1.4032600082487958e-38,9.745529114701667e-42,1.1486454838954978e-44,1.3375350893000766e-43
7.173539167308983e-10,0.11224538498720983,0.0,0.0,0.0,0.0,0.9999998842536396,2.276071603442353e-07,1.9022729724193446e-09,3.112743575315448e-11,1.8481675653530505e-09,2.494377718885649e-11,3.6432762847554764e-11,1.4722738573265893e-21,4.292638882184613e-22,6.2299249740649056e-24,3.991907871564338e-30,5.746529696774204e-36,2.3080899995366946e-38,2.0571263721454272e-37,6.870135872860711e-38,3.7480796671280353e-38,2.763520752568106e-41,2.9670250189550077e-44,3.951042164370417e-43
8.999012356552095e-10,0.11224538829301625,0.0,0.0,0.0,0.0,0.9999998547777935,2.8551713113813424e-07,2.3997460247499603e-09,4.898419373062017e-11,2.3150163314176293e-09,3.9403055267446304e-11,5.7275805073351976e-11,3.5565527521844876e-21,9.726502310322767e-22,1.740335893706039e-23,1.1223419177577787e-29,2.537675194581892e-35,1.0195287462365486e-37,8.068431639026673e-37,3.7435248226952e-37,2.04388656260376e-37,1.6840333389263576e-40,1.5385697391320926e-43,2.6548356504620647e-42
9.999999999999999e-10,0.11224539159919993,0.0,0.0,0.0,0.0,0.9999998386111915,3.172700154576684e-07,2.674800555696577e-09,6.048683253868145e-11,2.5704529929686055e-09,4.87569453883458e-11,7.068731049054505e-11,5.3542365514486495e-21,1.4290114432010418e-21,2.8212374719775026e-23,1.8241452334788716e-29,5.097527687356033e-35,2.048190947776513e-37,1.5314777608187234e-36,8.309218501678328e-37,4.538403837271771e-37,3.9248714539566075e-40,3.3548592628004543e-43,6.501243002563836e-42
1.082448554579521e-09,0.11224539159919993,0.0,0.0,0.0,0.0,0.999999825293251,3.434230677870106e-07,2.9025544371873212e-09,7.087138881603356e-11,2.7805599888573e-09,5.72250550814183e-11,8.27865848486377e-11,7.277577290852306e-21,1.9112289301373427e-21,4.061967950154479e-23,2.631070292503249e-29,8.548323968285194e-35,3.4349635857468064e-37,2.469279351849736e-36,1.4878661259794162e-36,8.128581963793176e-37,7.240196856028326e-40,5.946041228159134e-43,1.2361874619906532e-41
1.2649958735038323e-09,0.11224539490576477,0.0,0.0,0.0,0.0,0.9999997958000257,4.0132497015044446e-07,3.41064939862402e-09,9.678875538081777e-11,3.2448470514805163e-09,7.844548544885972e-11,1.1295228134875537e-10,1.3285850983773002e-20,3.399866757797124e-21,8.363692319455399e-23,5.4347104242573e-29,2.391975374633545e-34,9.612871558952974e-37,6.38986774477136e-36,4.776982228223754e-36,2.6112579586624136e-36,2.4687103759871006e-39,1.8781260648849074e-42,4.5246896933448165e-41
1.4475431924281437e-09,0.11224539821271479,0.0,0.0,0.0,0.0,0.9999997662981304,4.5922283808816885e-07,3.923982905979283e-09,1.267360277637393e-10,3.7079252251381596e-09,1.0309972798626405e-10,1.4776055455601094e-10,2.2313443396761664e-20,5.618379771678634e-21,1.569713937213501e-22,1.0224681064713452e-28,5.850701394594129e-34,2.3515088756222947e-36,1.4639520294189477e-35,1.316892174675032e-35,7.20237340169787e-36,7.145325392675285e-39,5.127945651329905e-42,1.3984002808495962e-40
1.8126378302767665e-09,0.11224540482778597,0.0,0.0,0.0,0.0,0.9999997072683783,5.750064701261497e-07,4.96617746271767e-09,1.9871922709664076e-10,4.630641812573422e-09,1.6284959428053225e-10,2.3125780587757533e-10,5.2699859486858565e-20,1.3088489755812986e-20,4.538351304783595e-22,2.9664312945624425e-28,2.6879363747997027e-33,1.0804988622989413e-35,5.994430861058426e-35,7.692840201631616e-35,4.212820172879772e-35,4.5666897300035365e-38,2.9737212088061697e-41,1.0497478230117869e-39
2.1777324681253892e-09,0.11224541144444423,0.0,0.0,0.0,0.0,0.999999648204088,6.907739627816851e-07,6.028769697389499e-09,2.86818860531464e-10,5.549075784115354e-09,2.3675140341049567e-10,3.331889299290442e-10,1.0564894870773889e-19,2.62572224387964e-20,1.0863387553288219e-21,7.117298827475848e-28,9.256136083971402e-33,3.721141835336484e-35,1.9011553866484858e-34,3.160817758052695e-34,1.7327908209915018e-34,1.985470318677921e-37,1.2224643390213591e-40,5.131952206803259e-39
2.542827105974012e-09,0.11224541806271997,0.0,0.0,0.0,0.0,0.9999995891053457,8.065253149376708e-07,7.111403291369865e-09,3.9103280094548016e-10,6.463581081718458e-09,3.2507702976612955e-10,4.5347173438410547e-10,1.892696182931679e-19,4.7456388611250987e-20,2.279421498030029e-21,1.4959012091923408e-27,2.6258696118702275e-32,1.0557187340323906e-34,5.06205177436166e-34,1.0336784811476944e-33,5.672182666538797e-34,6.76242792309844e-37,4.0108261409407285e-40,1.9277366005274085e-38
