Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9)
4.539856677827109e-09,0.11224545428526184,0.0,0.0,0.0,0.0,0.999999266668075,1.4393874775337387e-06,1.2017146357398507e-08,1.2461217557784794e-09,1.2766982580112628e-08,9.979789892462976e-10
5.153175590726931e-09,0.11224546541912893,0.0,0.0,0.0,0.0,0.9999991674067258,1.6336523469086923e-06,1.3676216531290564e-08,1.605440765763069e-09,1.4647103542763266e-08,1.288163888617883e-09
5.766494503626753e-09,0.11224547655720371,0.0,0.0,0.0,0.0,0.9999990681000297,1.827871640971534e-06,1.5343141004344262e-08,2.0101867857737945e-09,1.6564785155365034e-08,1.6159154683972786e-09
6.379813416526576e-09,0.1122454876995049,0.0,0.0,0.0,0.0,0.9999989687480051,2.0220453542998703e-06,1.7017733767686376e-08,2.46034992928717e-09,1.8520201945466998e-08,1.981409053533892e-09
6.993132329426398e-09,0.11224549884605076,0.0,0.0,0.0,0.0,0.9999988693506703,2.2161734814622842e-06,1.8699812960229317e-08,2.955920329622313e-09,2.0513524269961022e-08,2.384815819677005e-09
8.219770155226043e-09,0.11224552115194736,0.0,0.0,0.0,0.0,0.9999986704201438,2.6042929555179032e-06,2.2085723420920408e-08,4.083243533827966e-09,2.4614546602189537e-08,3.306033357548543e-09
9.446407981025688e-09,0.11224554347503052,0.0,0.0,0.0,0.0,0.9999984713085965,2.992230019502578e-06,2.549949705477656e-08,5.392077865486389e-09,2.8869134988181335e-08,4.380857899445575e-09
9.999999999999999e-09,0.11224556581543067,0.0,0.0,0.0,0.0,0.9999983813886282,3.1672495456333693e-06,2.7048933022269007e-08,6.042188706343978e-09,3.0839887742314447e-08,4.916571713194702e-09
1.0673045806825332e-08,0.11224556581543067,0.0,0.0,0.0,0.0,0.999998272016175,3.379984629629599e-06,2.8939819252196968e-08,6.8823451153795326e-09,3.327851116879471e-08,5.610518515988634e-09
1.1899683632624977e-08,0.11224558817327135,0.0,0.0,0.0,0.0,0.9999980725430258,3.767556741958538e-06,3.240543346687874e-08,8.553967400822409e-09,3.7843838445312285e-08,6.996186189627976e-09
1.3126321458424621e-08,0.11224561054867027,0.0,0.0,0.0,0.0,0.9999978728892952,4.154946312392681e-06,3.589513864607201e-08,1.040686716823111e-08,4.2566224246486e-08,8.538976384322554e-09
1.4352959284224266e-08,0.11224563294173878,0.0,0.0,0.0,0.0,0.9999976730551299,4.542153296676611e-06,3.940778676547324e-08,1.2440967195496266e-08,4.744672259106946e-08,1.0239951510546234e-08
1.557959711002391e-08,0.11224565535258267,0.0,0.0,0.0,0.0,0.9999974730406758,4.929177650393933e-06,4.294228048295426e-08,1.4656190594216221e-08,5.2486336431600965e-08,1.2100123271431452e-08
1.6806234935823557e-08,0.11224567778130229,0.0,0.0,0.0,0.0,0.9999972728460794,5.316019328965166e-06,4.6497570904703826e-08,1.7052460811778014e-08,5.768601988594332e-08,1.4120454896508755e-08
1.8032872761623203e-08,0.11224570022799259,0.0,0.0,0.0,0.0,0.9999970724714866,5.702678287645822e-06,5.0072655448873186e-08,1.9629701633263995e-08,6.304668037153251e-08,1.6301863277961662e-08
1.925951058742285e-08,0.11224572269274374,0.0,0.0,0.0,0.0,0.9999968719170439,6.089154481524646e-06,5.3666575798795626e-08,2.2387837183190753e-08,6.856918065023028e-08,1.8645221017312705e-08
2.0486148413222495e-08,0.11224574517564097,0.0,0.0,0.0,0.0,0.9999966711828969,6.475447865521997e-06,5.727841594529553e-08,2.5326791927103583e-08,7.425434078422056e-08,2.1151358383014283e-08
2.171278623902214e-08,0.11224576767676503,0.0,0.0,0.0,0.0,0.999996470269192,6.8615583943883554e-06,6.090730031739671e-08,2.844649067304178e-08,8.010294000362842e-08,2.3821065179636722e-08
2.2939424064821788e-08,0.1122457901961922,0.0,0.0,0.0,0.0,0.9999962691760748,7.247486022702955e-06,6.455239199709043e-08,3.17468585728779e-08,8.611571849021173e-08,2.6655092532999594e-08
2.4166061890621434e-08,0.11224581273399464,0.0,0.0,0.0,0.0,0.9999960679036913,7.633230704872554e-06,6.82128910126077e-08,3.522782112353234e-08,9.229337908268124e-08,2.9654154596802942e-08
2.539269971642108e-08,0.11224583529024054,0.0,0.0,0.0,0.0,0.9999958664521875,8.01879239513031e-06,7.188803270617842e-08,3.8889304168069736e-08,9.863658890765644e-08,3.281893018477387e-08
2.6619337542220726e-08,0.11224585786499419,0.0,0.0,0.0,0.0,0.9999956648217088,8.40417104753477e-06,7.557708617369314e-08,4.273123389668622e-08,1.0514598093882722e-07,3.615006433091015e-08
2.7845975368020372e-08,0.11224588045831627,0.0,0.0,0.0,0.0,0.9999954630124012,8.78936661596896e-06,7.927935277366646e-08,4.675353684759453e-08,1.1182215548691696e-07,3.9648169780422504e-08
2.907261319382002e-08,0.11224590307026396,0.0,0.0,0.0,0.0,0.9999952610244099,9.174379054139587e-06,8.299416470232127e-08,5.095613990781192e-08,1.186656816236246e-07,4.331382841455761e-08
3.029925101961966e-08,0.11224592570089104,0.0,0.0,0.0,0.0,0.9999950588578809,9.559208315576297e-06,8.672088363153053e-08,5.533897031385526e-08,1.2567709854280543e-07,4.7147592612565084e-08
3.2752526671218954e-08,0.11224597101838306,0.0,0.0,0.0,0.0,0.999994653989791,1.0328317121477893e-05,9.420762895131518e-08,6.464502386031797e-08,1.4020561971642258e-07,5.5321507312712675e-08
3.4960474757658314e-08,0.11224601186848611,0.0,0.0,0.0,0.0,0.9999942889993699,1.1019888112523492e-05,1.0098057669993893e-07,7.363612678701287e-08,1.5386031745417294e-07,6.325793377062343e-08
3.7168422844097675e-08,0.11224605277980985,0.0,0.0,0.0,0.0,0.9999939234327472,1.1710864880094417e-05,1.07783391385749e-07,8.321005072618133e-08,1.6806613287858063e-07,7.174639610950646e-08
3.9376370930537035e-08,0.11224609375256457,0.0,0.0,0.0,0.0,0.9999935572907696,1.2401247146709077e-05,1.1461325725039532e-07,9.336638402044002e-08,1.8282528896898254e-07,8.078920786951362e-08
4.1584319016976396e-08,0.1122461347869366,0.0,0.0,0.0,0.0,0.9999931905742833,1.3091034632997117e-05,1.2146757828803257e-07,1.0410471870978828e-07,1.9813978468774592e-07,9.038846255475085e-08
4.3792267103415756e-08,0.11224617588308834,0.0,0.0,0.0,0.0,0.9999928232841341,1.378022705769779e-05,1.2834396104491182e-07,1.154246505328445e-07,2.140114121762844e-07,1.0054605083210856e-07
4.600021518985512e-08,0.11224621704116122,0.0,0.0,0.0,0.0,0.9999924554211665,1.4468824137660101e-05,1.3524019877807585e-07,1.2732577892630668e-07,2.304417725937944e-07,1.1126367637101263e-07
4.820816327629448e-08,0.11224625826127695,0.0,0.0,0.0,0.0,0.9999920869862253,1.515682558784454e-05,1.421542568449192e-07,1.398077070228522e-07,2.474322907267328e-07,1.225428704523329e-07
5.041611136273384e-08,0.11224629954353893,0.0,0.0,0.0,0.0,0.9999917179801538,1.5844231121326287e-05,1.4908425926828895e-07,1.5287004164756673e-07,2.6498422842426643e-07,1.343850054017722e-07
5.26240594491732e-08,0.11224634088803383,0.0,0.0,0.0,0.0,0.9999913484037952,1.6531040449299707e-05,1.5602847635394545e-07,1.6651239331308627e-07,2.830986969826898e-07,1.4679130697091536e-07
