Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32)
7.923142504976335e-10,0.11224538634464455,0.0,0.0,0.0,0.0,0.999999872150876,2.513875142599468e-07,2.105904071823596e-09,3.797231560052609e-11,2.040033126473667e-09,3.0476648241464404e-11,4.442596311926905e-11,2.1651120992364404e-21,6.128037464850136e-22,9.717575664166639e-24,6.2446474612345875e-30,1.1180305978036882e-35,4.4910846276394064e-38,3.7487496147751854e-37
9.538050532558275e-10,0.11224538926924928,0.0,0.0,0.0,0.0,0.9999998460723006,3.0261641087186826e-07,2.5476657906151575e-09,5.5027850484196326e-11,2.4526188477047787e-09,4.43141639337986e-11,6.432371015319083e-11,4.454187051707814e-21,1.2013774158821606e-21,2.2639699103884535e-23,1.4620766532962292e-29,3.7801792799826095e-35,1.5187909596939107e-37,1.1475825822460172e-36
9.999999999999999e-10,0.11224539219415015,0.0,0.0,0.0,0.0,0.9999998386111912,3.172700154613645e-07,2.6748005395000606e-09,6.048682897169454e-11,2.5704530056047823e-09,4.875694177119672e-11,7.068729424053854e-11,5.351475425071964e-21,1.4282152153416628e-21,2.813397615145895e-23,1.818972752710456e-29,5.172247526736526e-35,2.0781908530295025e-37,1.530241322701237e-36
1.1152958560140214e-09,0.11224539219415015,0.0,0.0,0.0,0.0,0.9999998199869227,3.5384215029433184e-07,2.9935916532767543e-09,7.523757911248162e-11,2.8641944662081963e-09,6.079165835095044e-11,8.787146234044797e-11,8.167233879775607e-21,2.132780335376881e-21,4.653259967658036e-23,3.015891929856794e-29,1.06110568989995e-34,4.263898047197754e-37,2.96843732342938e-36
1.2767866587722153e-09,0.11224539511934994,0.0,0.0,0.0,0.0,0.9999997938947511,4.0506473243014913e-07,3.4436480001494575e-09,9.860131759003499e-11,3.274793435839284e-09,7.993379899134075e-11,1.1506042237062985e-10,1.3768192489045218e-20,3.518270287319896e-21,8.718910945702802e-23,5.66636944654923e-29,2.603038730039694e-34,1.0461081187916871e-36,6.796684425132082e-36
1.5997682642886033e-09,0.11224540097065713,0.0,0.0,0.0,0.0,0.999999741690063,5.075004244535478e-07,4.356019943560078e-09,1.5479008835622625e-10,4.0931928083755016e-09,1.2630970515383872e-10,1.803282286134977e-10,3.272131861532719e-20,8.172815769412023e-21,2.5135684457661453e-22,1.6399477336998358e-28,1.2043151229196385e-33,4.840736736142724e-36,2.780933754490667e-35
1.922749869804991e-09,0.11224540682319246,0.0,0.0,0.0,0.0,0.9999996894583032,6.099234861663973e-07,5.284522058016176e-09,2.235926909402993e-10,4.908074882188031e-09,1.8363530047704633e-10,2.600625430126476e-10,6.59364698265873e-20,1.6360426247057336e-20,6.002992395733521e-22,3.926884563849122e-28,4.173451069221639e-33,1.6776956223085995e-35,8.818227944879891e-35
2.245731475321379e-09,0.11224541267697699,0.0,0.0,0.0,0.0,0.9999996371995344,7.12333916794352e-07,6.228902330270543e-09,3.0500765298608023e-10,5.71969002487008e-09,2.5210095952910177e-10,3.5420328590173733e-10,1.186495979274553e-19,2.952003856835807e-20,1.2572981707547396e-21,8.240212554946934e-28,1.1910675090151803e-32,4.7883567208351915e-35,2.348932561788111e-34
2.568713080837767e-09,0.11224541853203177,0.0,0.0,0.0,0.0,0.9999995849138151,8.147317155643414e-07,7.188916069711616e-09,3.990335016645445e-10,6.528281281621692e-09,3.318941048009756e-10,4.626947482890543e-10,1.9660716799244133e-19,4.933282503774389e-20,2.3911694292875577e-21,1.5693851314298937e-27,2.9597500396054624e-32,1.1899521309401257e-34,5.5201900762557625e-34
2.8916946863541547e-09,0.11224542438837734,0.0,0.0,0.0,0.0,0.9999995326011997,9.171168817045528e-07,8.164325691472505e-09,5.056687637179502e-10,7.334084592091975e-09,4.231992927113806e-10,5.85485460973688e-10,3.059884285085872e-19,7.772070470926176e-20,4.223477938956272e-21,2.775072856451775e-27,6.623497756893362e-32,2.6630609229853772e-34,1.1786025047650752e-33
