Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11)
2.712795259959276e-08,0.11224586872712154,0.0,0.0,0.0,0.0,0.9999955303141415,8.563914684249889e-06,1.1463462369928392e-07,4.4373704871626426e-08,7.037339742731134e-08,5.090704032821207e-08,5.0850801028385135e-08
2.8074775645943397e-08,0.11224588632244745,0.0,0.0,0.0,0.0,0.9999953707716126,8.861199254640774e-06,1.1987299614100456e-07,4.751981727855278e-08,7.318821610616337e-08,5.4995855412175624e-08,5.457833679031979e-08
2.9021598692294035e-08,0.11224590393831281,0.0,0.0,0.0,0.0,0.999995210975512,9.158374755954399e-06,1.2518187891915798e-07,5.0773298132099e-08,7.603974465823712e-08,5.926858218780933e-08,5.845300025222025e-08
2.996842173864467e-08,0.11224592157498904,0.0,0.0,0.0,0.0,0.9999950509239863,9.45544116963187e-06,1.3056070367623922e-07,5.4134111117079924e-08,7.892850871742658e-08,6.372766965488456e-08,6.247671157575093e-08
3.091524478499531e-08,0.11224593923274559,0.0,0.0,0.0,0.0,0.9999948906151566,9.752398477125112e-06,1.3600894717149077e-07,5.76022199680794e-08,8.185498873303942e-08,6.8375547792451e-08,6.665141702763697e-08
3.1862067831345946e-08,0.11224595691184966,0.0,0.0,0.0,0.0,0.9999947300471193,1.0049246659896653e-05,1.4152612752632333e-07,6.11775884696545e-08,8.48196237241129e-08,7.321462906573706e-08,7.097908673201499e-08
3.280889087769658e-08,0.11224597461256683,0.0,0.0,0.0,0.0,0.9999945692179494,1.0345985699419429e-05,1.471118007814321e-07,6.48601804564994e-08,8.782281472207446e-08,7.824730980782624e-08,7.546171260925533e-08
3.375571392404722e-08,0.11224599233516101,0.0,0.0,0.0,0.0,0.9999944081257023,1.064261557717666e-05,1.5276555774035194e-07,6.864995981357378e-08,9.086492792700089e-08,8.347597148625705e-08,8.010130648614565e-08
3.470253697039786e-08,0.1122460100798944,0.0,0.0,0.0,0.0,0.9999942467684145,1.0939136274661721e-05,1.5848702107579177e-07,7.254689047620004e-08,9.39462976011287e-08,8.890298186405132e-08,8.489989836328282e-08
3.5649360016748494e-08,0.11224602784702803,0.0,0.0,0.0,0.0,0.9999940851441066,1.123554777337807e-05,1.64275842676667e-07,7.655093643013278e-08,9.706722872169515e-08,9.453069606404291e-08,8.985953482646245e-08
3.659618306309913e-08,0.11224604563682135,0.0,0.0,0.0,0.0,0.999993923250783,1.1531850054839194e-05,1.7013170121559096e-07,8.066206171160456e-08,1.0022799941334476e-07,1.0036145754463784e-07,9.498227758995865e-08
3.754300610944977e-08,0.11224606344953286,0.0,0.0,0.0,0.0,0.9999937610864356,1.1828043100568542e-05,1.7605429991848393e-07,8.488023040735034e-08,1.0342886317843936e-07,1.0639759899437443e-07,1.0027020216072154e-07
3.8489829155800406e-08,0.11224608128541966,0.0,0.0,0.0,0.0,0.9999935986490429,1.212412689209955e-05,1.820433645196054e-07,8.920540665461377e-08,1.0667005094196418e-07,1.1264144315199116e-07,1.0572539661350486e-07
3.943665220215104e-08,0.11224609914473807,0.0,0.0,0.0,0.0,0.9999934359365723,1.2420101410975603e-05,1.8809864138666603e-07,9.363755464113724e-08,1.0995177292637019e-07,1.1909530355816578e-07,1.1134996046774507e-07
4.038347524850168e-08,0.11224611702774327,0.0,0.0,0.0,0.0,0.9999932729469801,1.2715966638750055e-05,1.942198958018663e-07,9.817663860513837e-08,1.1327422037050448e-07,1.2576148524461266e-07,1.1714600365772437e-07
4.133029829485232e-08,0.11224613493468968,0.0,0.0,0.0,0.0,0.9999931096782143,1.3011722556986272e-05,2.0040691038585256e-07,1.0282262283527424e-07,1.1663756710563554e-07,1.3264228536576395e-07,1.2311564558823538e-07
4.2277121341202954e-08,0.11224615286583087,0.0,0.0,0.0,0.0,0.9999929461282131,1.330736914725764e-05,2.066594836526873e-07,1.075754716705952e-07,1.2004197100047453e-07,1.3973999377781766e-07,1.2926101426862645e-07
4.417076743390423e-08,0.11224618880170789,0.0,0.0,0.0,0.0,0.999992618176221,1.3898334270249838e-05,2.1936057219250487e-07,1.174016207645962e-07,1.2697450949710725e-07,1.5459526143884164e-07,1.4208748240424234e-07
4.587504891733537e-08,0.11224622122927179,0.0,0.0,0.0,0.0,0.9999923220367738,1.442982879465439e-05,2.3101402219566112e-07,1.2661027517793527e-07,1.333555110248946e-07,1.6872966891590098e-07,1.542537869123167e-07
4.757933040076652e-08,0.11224625373913828,0.0,0.0,0.0,0.0,0.9999920249537501,1.4960968810346067e-05,2.428773463077007e-07,1.3616461860966824e-07,1.3987139227937544e-07,1.8360218916994806e-07,1.6702285687927659e-07
4.928361188419766e-08,0.11224628633276243,0.0,0.0,0.0,0.0,0.9999917269149062,1.5491754210230908e-05,2.549497929854756e-07,1.4606444489853345e-07,1.4652264792974025e-07,1.992259732812234e-07,1.8040732335982435e-07
5.0987893367628805e-08,0.11224631901159543,0.0,0.0,0.0,0.0,0.9999914279079573,1.602218488732531e-05,2.672306971603272e-07,1.5630954840635935e-07,1.533096854465856e-07,2.156141278853714e-07,1.9441985953906247e-07
5.269217485105995e-08,0.11224635177708327,0.0,0.0,0.0,0.0,0.9999911279205829,1.655226073475755e-05,2.797194675966324e-07,1.6689972401635229e-07,1.6023283774410634e-07,2.3277972022418115e-07,2.09073173142268e-07
