Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14)
2.6582376421578146e-11,0.11224537248115612,0.0,0.0,0.0,0.0,0.9999999957132946,8.435356733181254e-09,6.897141818448736e-11,4.3086398238193793e-14,6.889512292445253e-11,3.402373489455288e-14,5.0628165792895617e-14,3.443701237255185e-27,1.0078372555363358e-26
4.1879587716968905e-11,0.11224537275804777,0.0,0.0,0.0,0.0,0.9999999932463643,1.328956565702969e-08,1.0871538962400141e-10,1.0644080500948506e-13,1.0852699723999346e-10,8.408362700302278e-14,1.250594165023418e-13,2.2512269953622216e-26,4.148603528678452e-26
7.247401030775042e-11,0.1122453733118386,0.0,0.0,0.0,0.0,0.9999999883123194,2.2997898533357952e-08,1.883207248976375e-10,3.180825382001845e-13,1.877582856084883e-10,2.51465194292997e-13,3.736435697680632e-13,2.1435143516532813e-25,2.3681632070619227e-25
9.999999999999999e-11,0.11224537386563953,0.0,0.0,0.0,0.0,0.9999999838729186,3.17324483585036e-08,2.6007575113504347e-10,6.0527428698361e-13,2.5900631947269703e-10,4.788036379054681e-13,7.108823255885446e-13,7.307017031128519e-25,6.38688078496612e-25
1.0306843289853194e-10,0.11224537386563953,0.0,0.0,0.0,0.0,0.9999999833780283,3.2706118113880635e-08,2.6808241345358096e-10,6.429675085229794e-13,2.66946462778197e-10,5.086492909364933e-13,7.551408743688086e-13,8.084325462246509e-25,6.967556745212079e-25
1.3366285548931345e-10,0.11224537441945057,0.0,0.0,0.0,0.0,0.9999999784434912,4.241422439748912e-08,3.4800021853597855e-10,1.081095003249083e-12,3.4609176464774115e-10,8.558038291248313e-13,1.2694832716234851e-12,2.1572120768719104e-24,1.5572379656845312e-24
1.6425727808009497e-10,0.11224537497327168,0.0,0.0,0.0,0.0,0.9999999735087082,5.212221738337091e-08,4.280738955523069e-10,1.6324639523033763e-12,4.2519443459028893e-10,1.2931018759149063e-12,1.916600380781452e-12,4.732607989967575e-24,2.977356677968911e-24
2.25446123261658e-10,0.11224537608094438,0.0,0.0,0.0,0.0,0.9999999636384042,7.153786345943947e-08,5.886879613183491e-10,3.074921748613243e-12,5.832727777450839e-10,2.438768385519838e-12,3.6088992978740575e-12,1.5949348818352322e-23,8.198564062514891e-24
2.8663496844322105e-10,0.11224537718865774,0.0,0.0,0.0,0.0,0.9999999537671169,9.095305633663225e-08,7.499226587897404e-10,4.970331254145966e-12,7.411834333657485e-10,3.947031518841452e-12,5.831478603831691e-12,4.0221822614595787e-23,1.798927977552159e-23
3.478238136247841e-10,0.11224537829641194,0.0,0.0,0.0,0.0,0.9999999438948473,1.1036779600933781e-07,9.117759430592483e-10,7.318682186880544e-12,8.98928434820369e-10,5.819342732631256e-12,8.583755758767367e-12,8.524481625530132e-23,3.436746779635585e-23
