Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5)
4.8191615491801456e-08,0.11224623019265215,0.0,0.0,0.0,0.0,0.9999923543159293,1.5291368141614574e-05,0.0
7.139610495760687e-08,0.11224664329048313,0.0,0.0,0.0,0.0,0.9999886740053466,2.2651989306585814e-05,0.0
9.228014547683174e-08,0.11224701495555595,0.0,0.0,0.0,0.0,0.9999853628214179,2.92743571638714e-05,0.0
9.999999999999998e-08,0.11224738646880496,0.0,0.0,0.0,0.0,0.9999841391575324,3.172168493535763e-05,0.0
1.1316418599605662e-07,0.11224738646880496,0.0,0.0,0.0,0.0,0.9999820529896721,3.5894020655701635e-05,0.0
1.340482265152815e-07,0.11224775779635651,0.0,0.0,0.0,0.0,0.9999787448126449,4.251037470997224e-05,0.0
1.5493226703450637e-07,0.11224812890427988,0.0,0.0,0.0,0.0,0.9999754385922647,4.91228154709394e-05,0.0
1.7581630755373124e-07,0.11224849975877012,0.0,0.0,0.0,0.0,0.9999721346297382,5.5730740523729315e-05,0.0
1.967003480729561e-07,0.11224887032618847,0.0,0.0,0.0,0.0,0.9999688332255798,6.233354884059336e-05,0.0
2.230752596081974e-07,0.11224933786122178,0.0,0.0,0.0,0.0,0.9999646679310599,7.066413788058085e-05,0.0
2.4945017114343866e-07,0.11224980481722703,0.0,0.0,0.0,0.0,0.9999605077952243,7.898440955184997e-05,0.0
2.758250826786799e-07,0.11225027112704873,0.0,0.0,0.0,0.0,0.9999563534157833,8.72931684339231e-05,0.0
3.0219999421392116e-07,0.11225073672406588,0.0,0.0,0.0,0.0,0.9999522053871394,9.558922572185533e-05,0.0
