Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40)
1.843815776220168e-06,0.11252506375584333,0.0,0.0,0.0,0.0,0.997406559256485,0.0003728531680268764,8.32854576430987e-05,0.00017475640252366444,5.399899921875283e-05,0.0022359711606312754,0.0021639858692051564,1.792897833107456e-09,1.0822726801733045e-08,3.6582478461975476e-07,2.425978880109926e-13,1.4266893730221771e-12,5.738349555949948e-15
1.8624052060907274e-06,0.11253161491462048,0.0,0.0,0.0,0.0,0.9973463891163206,0.00037462378606375535,8.438125034506334e-05,0.00017801098968717793,5.4701400749346024e-05,0.0022925140943190862,0.002219135514777008,1.8469139895054219e-09,1.1231322799232112e-08,3.841461418756371e-07,2.5474780043784183e-13,1.5187782588140668e-12,6.10874432383626e-15
1.8809946359612867e-06,0.1125382443755597,0.0,0.0,0.0,0.0,0.9972855109574563,0.00037636296172871515,8.5473087150773e-05,0.0001812886334723021,5.540069105017728e-05,0.002349772503114618,0.002274990063039176,1.9017754921944597e-09,1.1649523424236578e-08,4.0314898005157754e-07,2.67349642720594e-13,1.6154943720316215e-12,6.4977504696614014e-15
1.899584065831846e-06,0.11254495174465547,0.0,0.0,0.0,0.0,0.997223928451965,0.0003780710386474473,8.656080051142204e-05,0.0001845890947436213,5.609675599000821e-05,0.0024077428146849064,0.002331546065633307,1.9574773816998058e-09,1.20773734762224e-08,4.2284882566268833e-07,2.804137114590707e-13,1.7169961495683814e-12,6.906005249637723e-15
1.9181734957024053e-06,0.11255173661537408,0.0,0.0,0.0,0.0,0.9971616453832227,0.00037974836156401447,8.76442277790252e-05,0.00018791213364788628,5.678948493285978e-05,0.0024664213402456198,0.0023887999589063567,2.0140144421470764e-09,1.2514913977861762e-08,4.4326125567105345e-07,2.9395033670897503e-13,1.8234441719233293e-12,7.334154541874073e-15
1.9367629255729648e-06,0.11255859856905726,0.0,0.0,0.0,0.0,0.9970986656422707,0.000381395276197096,8.872321118321477e-05,0.00019125750968874427,5.74787707215864e-05,0.0025258042782651006,0.002446748067560671,2.07138120101089e-09,1.2962182183810455e-08,4.644018908760466e-07,3.0796987759858913e-13,1.9350010811587086e-12,7.78285251639026e-15
1.9739417853140833e-06,0.1125725519924685,0.0,0.0,0.0,0.0,0.996970632224607,0.00038459926751561324,9.08672395440071e-05,0.00019801430842669637,5.8846601484972396e-05,0.0026466676438317896,0.002564711693288805,2.1885807271560977e-09,1.3886031976218421e-08,5.089304400201859e-07,3.3749926215062545e-13,2.1741019242340272e-12,8.74455059214754e-15
2.011120645055202e-06,0.11258680843837998,0.0,0.0,0.0,0.0,0.9968398613437707,0.0003876857925001328,9.299171992944344e-05,0.00020485755696012184,6.019945984451715e-05,0.002770300383554937,0.002685405444851447,2.3090274984889808e-09,1.4849146136365032e-08,5.565600678245327e-07,3.690851548554982e-13,2.435637781286776e-12,9.796485541895275e-15
2.0482995047963205e-06,0.11260136416185072,0.0,0.0,0.0,0.0,0.9967063876381468,0.00039065763774899173,9.509556277866001e-05,0.0002117853157758023,6.153661163155172e-05,0.002896668399097745,0.002808796267931107,2.4326696047786368e-09,1.5851688919292155e-08,6.074166546530624e-07,4.0281103489616944e-13,2.720975115504302e-12,1.0944153479374806e-14
2.085478364537439e-06,0.11261621526146193,0.0,0.0,0.0,0.0,0.9965702471277131,0.0003935175923042241,9.717775340378671e-05,0.00021879564221886596,6.28573760546387e-05,0.0030257361359875196,0.002934849664468362,2.5594519534502627e-09,1.689376651268284e-08,6.61626163607041e-07,4.3876043634388044e-13,3.0315047773653606e-12,1.2193148607622025e-14
2.1226572242785577e-06,0.11263135769236436,0.0,0.0,0.0,0.0,0.9964314771041614,0.00039626844353957916,9.923735059862183e-05,0.00022588659284169507,6.416112469104107e-05,0.0031574666959629247,0.0030635298032485013,2.6893165572436575e-09,1.7975428200778706e-08,7.193144421358017e-07,4.770168165932807e-13,3.3686389445503967e-12,1.3549150910842235e-14
2.1598360840196762e-06,0.11264678727742894,0.0,0.0,0.0,0.0,0.9962901160233275,0.00039891297319914764,0.00010127348511230783,0.00023305622571494886,6.544728037754059e-05,0.003291821947087409,0.003194799628266654,2.8222028114590498e-09,1.9096667718098553e-08,7.806070287779282e-07,5.176634281997857e-13,3.733808000369305e-12,1.501791359899189e-14
2.197014943760795e-06,0.11266249971938404,0.0,0.0,0.0,0.0,0.9961462034001141,0.0004014539535943312,0.00010328535800122579,0.00024030260269135122,6.671531600992713e-05,0.003428762631429072,0.003328620964679463,2.958047763510908e-09,2.0257424785912086e-08,8.456289656261442e-07,5.607831945126256e-13,4.128457363552493e-12,1.660525035673705e-14
2.2341938035019134e-06,0.11267849061204335,0.0,0.0,0.0,0.0,0.9959997797061103,0.0004038941439684138,0.00010527223886546326,0.0002476237916143964,6.796475325685976e-05,0.0035682484700984203,0.0034649546221401637,3.0967863806957627e-09,2.1457586806312675e-08,9.145046171147752e-07,6.064585895007342e-13,4.5540442931418244e-12,1.8317022492258713e-14
2.271372663243032e-06,0.11269475545134892,0.0,0.0,0.0,0.0,0.9958508862700861,0.00040623628703557454,0.00010723346398060832,0.0002550178684640728,6.919516119659334e-05,0.0037102382654503534,0.0036037604953295154,3.23835181066857e-09,2.2696990690190938e-08,9.873574956584484e-07,6.547715221220851e-13,5.012034690025631e-12,2.015912607256037e-14
2.3085515229841506e-06,0.11271128964611722,0.0,0.0,0.0,0.0,0.9956995651815125,0.00040848310569796585,0.00010916843434081304,0.00026248291943189973,7.04061548878826e-05,0.0038546900002912254,0.003744997661530419,3.3826756337917884e-09,2.397542480739359e-08,1.0643100945665108e-06,7.058032255179705e-13,5.503899913501037e-12,2.2137479119216977e-14
2.345730382725269e-06,0.11272808852841923,0.0,0.0,0.0,0.0,0.9955458591972149,0.0004106372999430748,0.00011107661362839548,0.00027001704291865805,7.15973938861422e-05,0.0040015609339637695,0.00388862447512511,3.529688107792645e-09,2.5292631044607384e-08,1.1454837285855184e-06,7.596341512659039e-13,6.0311136307695135e-12,2.4258008936585928e-14
