Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16)
2.1498625047953906e-05,0.12426870307603788,0.0,0.0,0.0,0.0,0.8904411846805848,0.0004484969635937791,0.00023156609592528573,0.00475693387827767,0.000104050743136974,0.10672439369130887,0.10440977783606131,9.34074970434283e-08
2.1924016992769586e-05,0.12449161493939495,0.0,0.0,0.0,0.0,0.8884075483244475,0.0004485309110388769,0.0002323091119075356,0.004851371970738764,0.00010382989375354924,0.10871004864924187,0.10634869725529246,9.49823429376901e-08
2.2349408937585267e-05,0.12471315125914445,0.0,0.0,0.0,0.0,0.8863862873954252,0.0004485603627611118,0.00023304156516888591,0.004945582919608391,0.00010361205288980688,0.11068345458636851,0.10827547442393895,9.654123501339022e-08
2.2774800882400948e-05,0.1249333306809236,0.0,0.0,0.0,0.0,0.8843772345714992,0.00044858542486629367,0.00023376367208774657,0.005039568353675071,0.00010339714300688665,0.11264477774052814,0.11019027491264054,9.808440944585287e-08
2.320019282721663e-05,0.12515217140341414,0.0,0.0,0.0,0.0,0.8823802263295806,0.00044860620010825114,0.000234475642792276,0.005133329876293839,0.00010318508936746403,0.11459418057128572,0.11209326052194486,9.96120935950418e-08
2.362558477203231e-05,0.12536969135090018,0.0,0.0,0.0,0.0,0.8803951029901911,0.000448622787924733,0.00023517768128745203,0.0052268690651235995,0.0001029758199132863,0.11653182171522537,0.11398458923786535,1.0112451463433911e-07
2.405097671684799e-05,0.1255859077295182,0.0,0.0,0.0,0.0,0.8784217089043135,0.00044863528430300796,0.0002358699852748883,0.005320187470549178,0.00010276926521262861,0.11845785580014351,0.11586441504679473,1.0262189464700305e-07
2.4433829467182102e-05,0.1257794022080491,0.0,0.0,0.0,0.0,0.8766555563107492,0.00044864311033774364,0.00023648489519400082,0.005403986531847531,0.00010258563174824578,0.12018148803768226,0.11754654836033601,1.0395685457132396e-07
2.4816682217516214e-05,0.12597186719663564,0.0,0.0,0.0,0.0,0.8748986722667854,0.0004486477640331362,0.00023709221255197662,0.005487609093854323,0.00010240409555383609,0.12189594917177936,0.11921959396331105,1.0527995971441604e-07
2.5199534967850326e-05,0.12616331358006336,0.0,0.0,0.0,0.0,0.8731509494675177,0.00044864930986175124,0.00023769207044792304,0.0055710562445665905,0.00010222461123764252,0.12360134579777601,0.12088365799646077,1.0659136286954573e-07
2.558238771818444e-05,0.1263537541397746,0.0,0.0,0.0,0.0,0.8714122835291332,0.0004486478102695479,0.0002382845981680623,0.005654329051615527,0.00010204713470357395,0.12529778160493737,0.1225388437020745,1.078912126007778e-07
2.596524046851855e-05,0.12654319953037,0.0,0.0,0.0,0.0,0.8696825716062666,0.00044864332603124023,0.0002388699226224172,0.005737428571918436,0.00010187162258714902,0.12698535875265432,0.12418525279636743,1.0917965464844789e-07
2.6348093218852663e-05,0.12673166137200564,0.0,0.0,0.0,0.0,0.8679617126525976,0.00044863591653457373,0.0002394481672854151,0.005820355849770756,0.00010169803335130285,0.12866417761171534,0.12582298521062987,1.1045683281865595e-07
2.6730945969186775e-05,0.12691915092712094,0.0,0.0,0.0,0.0,0.8662496081982349,0.00044862563911858116,0.00024001945236435757,0.005903111911219464,0.00010152632632826346,0.13033433598989927,0.12745213832019592,1.1172288831452477e-07
2.7113798719520888e-05,0.12710567846101775,0.0,0.0,0.0,0.0,0.8645461618671153,0.0004486125494872659,0.00024058389460261816,0.0059856977673305445,0.0001013564623725014,0.13199592961293544,0.12907280742334387,1.1297795858927105e-07
2.7496651469855e-05,0.12729125491517204,0.0,0.0,0.0,0.0,0.862851278950417,0.0004485967020728591,0.0002411416081739728,0.006068114417120883,0.0001011884033802828,0.13364905254854367,0.13068508616455923,1.1422217908833348e-07
2.7879504220189112e-05,0.12747589056313324,0.0,0.0,0.0,0.0,0.8611648663345497,0.00044857815006616163,0.00024169270465250613,0.006150362848031236,0.00010102211238336712,0.13529379727822485,0.1322890666060269,1.1545568301432405e-07
2.8645209720857333e-05,0.12784237987034383,0.0,0.0,0.0,0.0,0.8578170880609325,0.00044853313826274883,0.00024277547951577188,0.00631435894093987,0.00010069469171554957,0.1385585135833574,0.1354724923978498,1.1789106214226484e-07
2.9410915221525558e-05,0.12820522571211376,0.0,0.0,0.0,0.0,0.8545021154852288,0.0004484779132263263,0.00024383306027284983,0.006477693701861127,0.00010037392520318057,0.14179078521928187,0.13862378822100146,1.202851152746109e-07
3.0176620722193782e-05,0.12856450478727025,0.0,0.0,0.0,0.0,0.8512192628507118,0.0004484128540021143,0.0002448662488588816,0.006640374595850175,0.00010005955288887959,0.1449912932172643,0.1417436319061503,1.2263882597095261e-07
3.0942326222862007e-05,0.12892029058771182,0.0,0.0,0.0,0.0,0.8479678688105968,0.0004483383210783401,0.0002458758105040417,0.006802408905162955,9.975132898831195e-05,0.14816069433606288,0.14483267707738318,1.2495314382545617e-07
3.170803172353023e-05,0.12927265457664294,0.0,0.0,0.0,0.0,0.8447472950014181,0.00044825465784120857,0.000246862476152736,0.0069638037377509595,9.944902091976766e-05,0.15129962248115394,0.14789155456888126,1.272289862670863e-07
3.2473737224198456e-05,0.12962166544885048,0.0,0.0,0.0,0.0,0.8415569248366651,0.00044816219166324636,0.0002478269445275934,0.007124566034531064,9.915240842811788e-05,0.15440868990485007,0.1509208736228744,1.2946724005338544e-07
3.323944272486668e-05,0.1299673897204507,0.0,0.0,0.0,0.0,0.83839616256402,0.0004480612347260004,0.00024876988386920745,0.007284702575061612,9.88612827522873e-05,0.15748848814407337,0.15392122282586362,1.316687625189688e-07
3.4005148225534905e-05,0.13030989136945992,0.0,0.0,0.0,0.0,0.8352644321323032,0.0004479520850452401,0.00024969193390204773,0.007444219984378425,9.857544575971019e-05,0.1605395891475085,0.15689317123377355,1.3383438300660823e-07
3.477085372620313e-05,0.13064923275665785,0.0,0.0,0.0,0.0,0.8321611762924772,0.00044783502727946867,0.00025059370722057894,0.007603124738490679,9.829470942727425e-05,0.16356254617006108,0.15983726926461653,1.3596490407026515e-07
3.5536559226871353e-05,0.13098547388181875,0.0,0.0,0.0,0.0,0.8290858557721023,0.00044771033347807353,0.0002514757908627857,0.007761423169503122,9.801889507745685e-05,0.16655789459389073,0.16275404951813444,1.3806110256145296e-07
3.630226472753958e-05,0.1313186730368017,0.0,0.0,0.0,0.0,0.8260379484800008,0.0004475782637809544,0.00025233874767534835,0.00791912147061455,9.774783278384862e-05,0.16952615271953023,0.16564402756539948,1.4012373071123286e-07
3.70679702282078e-05,0.13164888659366206,0.0,0.0,0.0,0.0,0.8230169487105854,0.0004474390671553035,0.000253183117628372,0.008076225701134266,9.748136085786759e-05,0.17246782255736576,0.16850770273870125,1.4215351720789972e-07
