Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26)
1.796321392115062e-09,0.11224540453211834,0.0,0.0,0.0,0.0,0.9999997099072135,5.698323300935158e-07,4.91916284048482e-09,1.9515842136694168e-10,4.589498846233867e-09,1.5987960033706702e-10,2.2713238684986298e-10,5.094420438207303e-20,1.2652058003582223e-20,4.340651312328236e-22
1.9460149901629973e-09,0.1122454072448123,0.0,0.0,0.0,0.0,0.9999996856948834,6.173007708901432e-07,5.3520204540332926e-09,2.2903593900661313e-10,4.966643720151803e-09,1.8819282308032278e-10,2.6636322061376716e-10,6.904888643762451e-20,1.7125918844585273e-20,6.341435421413199e-22
2.0957085882109325e-09,0.1122454099577749,0.0,0.0,0.0,0.0,0.9999996614767527,6.647664984140395e-07,5.788284896657557e-09,2.656226722277462e-10,5.343090734558392e-09,2.189019810477667e-10,3.08687726110735e-10,9.142151595390575e-20,2.2689008076444037e-20,9.019500946928977e-22
2.245402186258868e-09,0.11224541267100835,0.0,0.0,0.0,0.0,0.9999996372528271,7.12229512588219e-07,6.2279316821700625e-09,3.0491847440653306e-10,5.71886421182437e-09,2.520257840934875e-10,3.541002822284559e-10,1.186256725161145e-19,2.950447036206281e-20,1.2534165909132759e-21
2.5447893823547388e-09,0.11224541809829575,0.0,0.0,0.0,0.0,0.999999588787614,8.071474005797578e-07,7.117275894210971e-09,3.9163669904396113e-10,6.468486287355782e-09,3.255915370011061e-10,4.541679911725626e-10,1.898815770337345e-19,4.759771005183979e-20,2.282271511292487e-21
2.8441765784506097e-09,0.11224542352669095,0.0,0.0,0.0,0.0,0.9999995402992875,9.020544342500009e-07,8.01986360251989e-09,4.891894395347018e-10,7.215698124014388e-09,4.090371789521071e-10,5.665251988424115e-10,2.8772154859007636e-19,7.292764773236924e-20,3.895449035734221e-21
3.1435637745464807e-09,0.1122454289562101,0.0,0.0,0.0,0.0,0.9999994917878876,9.969506129850973e-07,8.935510450358851e-09,5.975755222076199e-10,7.960682768289327e-09,5.02507737066402e-10,6.911338175881044e-10,4.1733800686192726e-19,1.0719354113762221e-19,6.311014266588809e-21
3.4429509706423516e-09,0.11224543438686924,0.0,0.0,0.0,0.0,0.999999443253452,1.091835936172076e-06,9.864037084368442e-09,7.167937731359115e-10,8.703618263381302e-09,6.061462195519927e-10,8.279587443097791e-10,5.841744733321413e-19,1.522714401890923e-19,9.795509815442389e-21
3.742338166738222e-09,0.11224543981868393,0.0,0.0,0.0,0.0,0.9999993946960144,1.1867104031988117e-06,1.0805268993764709e-08,8.468430181669273e-10,9.444677809974016e-09,7.200936804560436e-10,9.769677644064763e-10,7.938944797737875e-19,2.1021245926913932e-19,1.466878473825743e-20
4.041725362834093e-09,0.1122454452516698,0.0,0.0,0.0,0.0,0.9999993461156067,1.2815740134539917e-06,1.1759036363806249e-08,9.87722082949817e-10,1.0184029912738163e-08,8.444892786366616e-10,1.1381314642156325e-09,1.0523589027091458e-18,2.8324123098777493e-19,2.1308612228558773e-20
4.640499755025835e-09,0.11224545612121598,0.0,0.0,0.0,0.0,0.9999992488859939,1.471268661208359e-06,1.3703521015113595e-08,1.3019649735260509e-09,1.165826301721164e-08,1.1251723240921059e-09,1.4968188388298389e-09,1.739865372063796e-18,4.84322940169065e-19,4.1715463255736294e-20
5.179396707998402e-09,0.11224546590796426,0.0,0.0,0.0,0.0,0.9999991613010459,1.6419567079116314e-06,1.5494816727862692e-08,1.6218097743564867e-09,1.2980831959258142e-08,1.4148786667984953e-09,1.8609661677667732e-09,2.587624403250722e-18,7.427314106299609e-19,7.126123848859028e-20
5.718293660970969e-09,0.11224547569873917,0.0,0.0,0.0,0.0,0.9999990736420453,1.8126095692024151e-06,1.7324288146338507e-08,1.9767249213135684e-09,1.4300287594530648e-08,1.7405197186826606e-09,2.2641575394915064e-09,3.691950985953285e-18,1.0924458405641319e-18,1.1554073211773712e-19
6.257190613943536e-09,0.1122454854936241,0.0,0.0,0.0,0.0,0.9999989859090839,1.983227241541659e-06,1.9191098930042673e-08,2.36670356170562e-09,1.561745862100896e-08,2.1028448662683535e-09,2.706313247712645e-09,5.0924558005286765e-18,1.5525808779331495e-18,1.7945971165408042e-19
