Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42)
3.2080471274355034e-11,0.1122453725806757,0.0,0.0,0.0,0.0,0.9999999948266428,1.0180050842689157e-08,8.325129892915733e-11,6.237171520269341e-14,8.314087368396101e-11,4.925958418357474e-14,7.328634918043001e-14,7.698621336865938e-27,1.8195194093908465e-26,1.577963248105492e-29,6.491098783512577e-36,3.3710389425767004e-44,1.3295181938563082e-46,3.8858761161099394e-45,3.0765311194817153e-47,1.6658702203952956e-47,1.6799342568347685e-51,5.145253633740072e-53
5.439732126778089e-11,0.11224537298463054,0.0,0.0,0.0,0.0,0.9999999912276261,1.7261752082871268e-08,1.412667522447676e-10,1.7911797797116593e-13,1.409498557330131e-10,1.415414773521483e-13,2.1043074424402233e-13,6.730884401680921e-26,9.555081691741729e-26,1.488264473722211e-28,7.405875051682297e-35,9.815391044799168e-43,3.9072980242946714e-45,1.0542238731675655e-43,1.735372768071684e-45,9.40334416149261e-46,1.7464100522256428e-49,2.1398161522560814e-51
7.671417126120674e-11,0.11224537338859068,0.0,0.0,0.0,0.0,0.9999999876284783,2.4343393039351296e-08,1.9936548128178631e-10,3.5612059356398245e-13,1.987358178490323e-10,2.8154940300038775e-13,4.1832082259606713e-13,2.4744312968753384e-25,2.715256941381611e-25,5.582568574504813e-28,2.9561852391691986e-34,6.311924677685417e-42,2.5170365132031726e-44,6.096385510399673e-43,1.3207535301898243e-44,7.162052702802017e-45,1.520649567603509e-48,1.4943233346013773e-50
9.903102125463259e-11,0.11224537379255625,0.0,0.0,0.0,0.0,0.9999999840291995,3.1424973712220077e-08,2.5754739317356337e-10,5.933787640408238e-13,2.5649885204458506e-10,4.693482390595041e-13,6.969294215297875e-13,6.510600235429618e-25,5.928760604990796e-25,1.4918886498683938e-27,8.20372982814189e-34,2.63823687546845e-41,1.0532077504638994e-43,2.3305285898334266e-42,6.257662007041825e-44,3.395450698539515e-44,7.973911407438024e-48,6.617388369520535e-50
9.999999999999999e-11,0.11224537419652718,0.0,0.0,0.0,0.0,0.999999983872919,3.1732448588049864e-08,2.600754846739177e-10,6.050452199084334e-13,2.5900635689867374e-10,4.785863955786434e-13,7.10627673247987e-13,6.767601549817271e-25,6.1133318785350505e-25,1.5522280380203815e-27,8.548887587753836e-34,2.8140860752880596e-41,1.1234805513288017e-43,2.472834344031798e-42,6.732083034263498e-44,3.65302233358224e-44,8.641764200459617e-48,7.084950285552257e-50
1.2134787124805846e-10,0.11224537419652718,0.0,0.0,0.0,0.0,0.99999998042979,3.8506494101335924e-08,3.158123924581845e-10,8.908919003253065e-13,3.1423905313452e-10,7.050051418667396e-13,1.0462288535393918e-12,1.4155880679512026e-24,1.113075484683263e-24,3.299691416453794e-27,1.8630191836900963e-33,8.561239777215483e-41,3.4206608129866843e-43,7.035066980254637e-42,2.2675343690721165e-43,1.2309902307700778e-43,3.1540646626307713e-47,2.2561605070306477e-49
1.6598157123491016e-10,0.11224537500448517,0.0,0.0,0.0,0.0,0.9999999732305781,5.266935402743243e-08,4.325913007940254e-10,1.6666812375342961e-12,4.2965130636186497e-10,1.320141986462699e-12,1.9567985837849658e-12,4.721225331464522e-24,2.9793247755513284e-24,1.1447229600824723e-26,6.693483807411179e-33,5.712054811256423e-40,2.2856416559060234e-42,4.16452885555681e-41,1.8777194972909347e-42,1.0202011391996524e-42,3.0826540716791895e-46,1.6547814056333997e-48
2.1061527122176186e-10,0.1122453758124647,0.0,0.0,0.0,0.0,0.9999999660308428,6.68319728157557e-08,5.497014449988159e-10,2.683484630223547e-12,5.449733343820722e-10,2.1274977766914393e-12,3.149810769973049e-12,1.1841227323507323e-23,6.396670719426848e-24,2.9850458813563416e-26,1.783102839548127e-32,2.2982496994111736e-39,9.201959547891763e-42,1.5293189136223131e-40,8.639656606220759e-42,4.6963161329189324e-42,1.569288161430244e-45,7.040430023112727e-48
2.552489712086136e-10,0.11224537662046591,0.0,0.0,0.0,0.0,0.9999999588305845,8.099435046423072e-08,6.671420266555109e-10,3.9412979842743186e-12,6.602059310294562e-10,3.127637632399047e-12,4.625036453332456e-12,2.5018559224925792e-23,1.2002595717455773e-23,6.575092503932498e-26,3.986867593767336e-32,7.228079172250786e-39,2.8957686379408144e-41,4.439819795574675e-40,3.0526547899197646e-41,1.6600574079497837e-41,6.049626423083344e-45,2.3268159103451306e-47
3.44516371182317e-10,0.11224537823653336,0.0,0.0,0.0,0.0,0.9999999444284989,1.0931838233309873e-07,9.030114230512409e-10,7.179939104393229e-12,8.904058921093137e-10,5.708458310177409e-12,8.42125422907705e-12,8.261211364042778e-23,3.305055692299064e-23,2.433276125155666e-25,1.5090261485758342e-31,5.444150935701765e-38,2.183956667073303e-40,2.7865785718366265e-39,3.5383495513886985e-40,1.926663574006143e-40,9.815328844111508e-44,2.1364248308828163e-46
4.337837711560204e-10,0.11224537985268813,0.0,0.0,0.0,0.0,0.9999999300243234,1.3764144961745342e-07,1.140193373008222e-09,1.1382573397128066e-11,1.1202572715983593e-09,9.06695505537456e-12,1.3343719062057934e-11,2.053080806361286e-22,7.299916854558825e-23,6.676805335376443e-25,4.194304931526924e-31,2.3485888330912416e-37,9.426186772191746e-40,1.0735063453081007e-38,1.876150524828651e-39,1.0222074234902922e-39,5.952568199026565e-43,1.0298175129458042e-45
5.230511711297238e-10,0.11224538146893062,0.0,0.0,0.0,0.0,0.9999999156180599,1.6596355230081732e-07,1.3786818484066055e-09,1.6549169870764625e-11,1.3497660628809892e-09,1.3207430870935417e-11,1.9390738699002362e-11,4.28095622561028e-22,1.4011770728126696e-22,1.5220056755775748e-24,9.642079242107078e-31,7.628577180539906e-37,3.062708394934478e-39,3.183559119442559e-38,7.077629634368941e-39,3.858022900703286e-39,2.4627245932134407e-42,3.658651238015391e-45
6.123185711034272e-10,0.11224538308526133,0.0,0.0,0.0,0.0,0.9999999012097097,1.9428469036673915e-07,1.6184708758835728e-09,2.2679697546600072e-11,1.578938204607428e-09,1.8134165338386073e-11,2.6560652204323956e-11,7.931999478437457e-22,2.4415944942989934e-22,3.0629027565363122e-24,1.9521731777217672e-30,2.074916107521405e-36,8.332177769931272e-39,8.030366074946594e-38,2.177943777276708e-38,1.187678499881285e-38,8.148860506918557e-42,1.0783433440689005e-44
