Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30)
9.999999999999999e-10,0.11224539042020748,0.0,0.0,0.0,0.0,0.9999998386111915,3.1727001547709886e-07,2.6747998695886865e-09,6.048680823865622e-11,2.570453654380232e-09,4.8757385162191743e-11,7.068708865463663e-11,5.3485032611115446e-21,1.427359301705488e-21,2.8017772729129006e-23,1.8112951955592624e-29
1.017354177487592e-09,0.11224539042020748,0.0,0.0,0.0,0.0,0.9999998358081131,3.227749070075115e-07,2.722648803176127e-09,6.260428861564917e-11,2.6146995243362326e-09,5.048235199260388e-11,7.31548471127855e-11,5.71784883026768e-21,1.5203072836374221e-21,3.033248585868533e-23,1.961738609088373e-29
1.2060231080650423e-09,0.11224539383752165,0.0,0.0,0.0,0.0,0.9999998053288989,3.826199308516411e-07,3.2459311775249615e-09,8.797534097835852e-11,3.0949920477769208e-09,7.121677916137267e-11,1.0269867356166465e-10,1.1047379048706615e-20,2.846677511285598e-21,6.673180297015249e-23,4.33188406804645e-29
1.3946920386424927e-09,0.11224539725524586,0.0,0.0,0.0,0.0,0.999999774840419,4.4246064519743164e-07,3.7748257662938465e-09,1.176512033015705e-10,3.5739769117798964e-09,9.560703758259359e-11,1.372058632157209e-10,1.9342161123683763e-20,4.8878963524562064e-21,1.3148446506033988e-22,8.558629371420056e-29
1.583360969219943e-09,0.11224540067338444,0.0,0.0,0.0,0.0,0.999999744342687,5.022970498902074e-07,4.309280220428239e-09,1.5163158247856989e-10,4.0517061375369726e-09,1.2369191627026222e-10,1.7666316652034734e-10,3.146747572330159e-20,7.86154621876024e-21,2.385682982340209e-22,1.5561689049489375e-28
1.830192956907671e-09,0.11224540514590331,0.0,0.0,0.0,0.0,0.9999997044291344,5.805733770199041e-07,5.0168063104595605e-09,2.0258654338694273e-10,4.67489936023869e-09,1.6607745636591915e-10,2.357376598588771e-10,5.468810291192463e-20,1.3572887614852672e-20,4.733427843521687e-22,3.094194013331685e-28
2.0770249445953986e-09,0.1122454096191483,0.0,0.0,0.0,0.0,0.9999996644997972,6.58842327140291e-07,5.733647590270584e-09,2.6090795324446784e-10,5.296143209464004e-09,2.149376688830154e-10,3.0323588278706335e-10,8.837227196216024e-20,2.192789644259937e-20,8.641344679558971e-22,5.658082871393244e-28
2.5706889199708544e-09,0.11224541856785403,0.0,0.0,0.0,0.0,0.9999995845938746,8.153580949725639e-07,7.194835968624309e-09,3.996474901747931e-10,6.533219600021241e-09,3.3241789862699286e-10,4.6340233811731227e-10,1.9716590449599506e-19,4.947746849371686e-20,2.400053924148555e-21,1.5752289637989766e-27
3.000658845792529e-09,0.11224542636442482,0.0,0.0,0.0,0.0,0.9999995149464574,9.516556693354556e-07,8.496830999855734e-09,5.444885811476481e-10,7.605350255030015e-09,4.5663239026706203e-10,6.301284726016684e-10,3.510629349252152e-19,8.960356673327612e-20,5.051295622509055e-21,3.320101403672736e-27
3.430628771614204e-09,0.112245434163331,0.0,0.0,0.0,0.0,0.9999994452514901,1.0879308539212938e-06,9.825567831189207e-09,7.116729853276818e-10,8.673079398898973e-09,6.016783262991489e-10,8.220860506013605e-10,5.764008405131863e-19,1.501717010032079e-19,9.638888169718377e-21,6.3422827951595786e-27
3.817601704853712e-09,0.11224544118438212,0.0,0.0,0.0,0.0,0.9999993824854506,1.2105593752899682e-06,1.1043864457223118e-08,8.812396075143569e-10,9.630699890205992e-09,7.503773022857313e-10,1.0163397832640103e-09,8.53974629375452e-19,2.270553874328405e-19,1.6168285237748728e-20,1.0646757924531283e-26
4.204574638093219e-09,0.1122454482073963,0.0,0.0,0.0,0.0,0.9999993196810475,1.333169758150135e-06,1.228303421457285e-08,1.0688989604977202e-09,1.0585536911923775e-08,9.165896142292054e-10,1.2308887870672628e-09,1.2155073037361045e-18,3.30141645427579e-19,2.5829582873434785e-20,1.7019461629771544e-26
4.591547571332727e-09,0.11224545523240635,0.0,0.0,0.0,0.0,0.9999992568383407,1.4557620011840662e-06,1.3542724079060976e-08,1.2746485078392201e-09,1.1537940659194034e-08,1.1006102449406338e-09,1.4656777034050728e-09,1.674181989576742e-18,4.6475411303888235e-19,3.963155092512792e-20,2.6127595994267246e-26
4.978520504572235e-09,0.11224546225944465,0.0,0.0,0.0,0.0,0.9999991939573829,1.578336103076093e-06,1.4822593291637198e-08,1.4984857127029175e-09,1.2488249061914508e-08,1.3027292279491837e-09,1.7206584897753043e-09,2.2436405387498973e-18,6.36694018542811e-19,5.877665138455044e-20,3.8766652941812574e-26
5.365493437811742e-09,0.11224546928854295,0.0,0.0,0.0,0.0,0.9999991310382197,1.7008920625125529e-06,1.6122312919479722e-08,1.7404080379776773e-09,1.3436788223582046e-08,1.5232318210357411e-09,1.9957901543813816e-09,2.9379314673606543e-18,8.522362145691936e-19,8.467830481340352e-20,5.587186602117579e-26
