Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42),S(52),S(53)
9.999999999999999e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951510175664e-25,2.614209655541958e-25,1.146894823843775e-25,2.3155867213423715e-27,7.927311585235458e-26,3.477836171569211e-26,1.1719187453750239e-27,5.141391699281778e-28,1.1763878960410844e-28,1.747242928335549e-30
1.6777215e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.264374661195664e-25,3.871340674973517e-25,1.698417871083999e-25,3.8403543862011736e-27,1.8441908045463253e-25,8.090754732277798e-26,3.784359385664915e-27,1.6602579132336026e-27,2.9462935020306997e-28,5.911785426223646e-30
3.3554431e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6528749674244997e-24,5.79101728968526e-25,2.540609919619359e-25,7.584143606125211e-27,5.636886742135033e-25,2.4729906769293217e-25,2.355171250552759e-26,1.0332505948232303e-26,1.14036098147707e-27,4.581448441067161e-29
6.7108863e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.305749970034366e-24,7.680999983946292e-25,3.3697746986035283e-25,1.5308028541900833e-26,1.515905724530572e-24,6.650516352259915e-25,1.2987083908733055e-25,5.697637557998269e-26,4.407113480919921e-27,3.5423563433754885e-28
9.999999999999998e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951383508345e-24,8.551937778914643e-25,3.751868733897366e-25,2.3478606962017095e-26,2.5449976339506267e-24,1.1165304918362624e-24,3.7844046429517265e-25,1.6602778341006814e-25,1.0563999478238295e-26,1.5183094705538863e-27
1.34217727e-07,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.611499975254102e-24,9.458002890078451e-25,4.149373672325396e-25,3.197872727745739e-26,3.615595649897725e-24,1.586218732220364e-24,6.370355860100064e-25,2.794775343899607e-25,1.6969209618172438e-26,2.729333605581307e-27
2.68435455e-07,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.322299998569359e-23,1.183069573825746e-24,5.190311774258252e-25,6.835843538241446e-26,7.916357700034172e-24,3.4730317246176496e-24,2.8579131056523177e-24,1.2538117388909408e-24,6.315137440778551e-26,2.0407316801281816e-26
5.36870911e-07,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.6446000006572707e-23,1.6198911080318587e-24,7.106718036920286e-25,1.4555672902982375e-25,1.6511282933617087e-23,7.243765257100184e-24,1.212215771844069e-23,5.3181847818095166e-24,2.1483217510172238e-25,1.4068338733683646e-25
9.999999999999997e-07,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951370841762e-23,2.3680360985240875e-24,1.038895070655329e-24,2.8199904888735e-25,3.1272159131770495e-23,1.371960636234645e-23,4.4669901982192075e-23,1.9597411754569997e-23,5.788179962339057e-25,7.557571661220773e-25
1.0737418230000002e-06,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.289200004833209e-23,2.4871596361674227e-24,1.0911564868171835e-24,3.0372410490222527e-25,3.362246263414702e-23,1.4750723473971453e-23,4.9852323154935205e-23,2.1871024561478214e-23,6.367737123267882e-25,8.53692413128604e-25
2.1474836470000003e-06,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0578400013186023e-22,4.221089926425145e-24,1.851859675729292e-24,6.218302733538566e-25,6.773958093074021e-23,2.9718475682888083e-23,2.0188316175983062e-22,8.856947055198773e-23,1.6311636427236156e-24,4.506589438527237e-24
4.294967295e-06,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.1156800029899177e-22,7.688902298505643e-24,3.373244910759051e-24,1.2584828384548714e-24,1.3589634694424816e-22,5.961999748983098e-23,8.118791288266714e-22,3.5618489100366907e-22,3.731025817193065e-24,2.1217424271202093e-23
8.589934591e-06,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.231360006338583e-22,1.4624520946255085e-23,6.4160127079568336e-24,2.5318440228347135e-24,2.7217871305585986e-22,1.1940937012125366e-22,3.2553284344008998e-21,1.4281671163070715e-21,7.975539779698322e-24,9.266047210313577e-23
9.999999999999997e-06,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951369594691e-22,1.6901529048983707e-23,7.414972898987798e-24,2.949897277556804e-24,3.1692000881261614e-22,1.3903813127313066e-22,4.8608469980346464e-21,2.1325351261493604e-21,9.370597648193996e-24,1.4110889851563568e-22
1.7179869183e-05,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.462720013084261e-22,2.849575737475818e-23,1.2501547922279516e-23,5.07856993435268e-24,5.447368523158126e-22,2.3898522336921766e-22,1.3035938156354377e-20,5.71908517913183e-21,1.6474050392004822e-23,3.878019678893786e-22
3.4359738367e-05,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.692544002696265e-21,5.623823015039827e-23,2.4672618315257485e-23,1.0172021861161938e-23,1.0898524147893942e-21,4.781366157701189e-22,5.217197633061403e-20,2.2888724474656955e-20,3.3472101809935e-23,1.587143472888496e-21
6.8719476735e-05,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200752,3.3850880057816727e-21,1.117231757074661e-22,4.9014759103754113e-23,2.035892571762571e-23,2.1800835005177395e-21,9.564393833685246e-22,2.0874332478378368e-19,9.157921450963319e-20,6.746826136657192e-23,6.4220646013231594e-21
9.999999999999998e-05,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200747,4.925951371424102e-21,1.6223572947126683e-22,7.117543138990214e-23,2.963291028352876e-23,3.1726113970920376e-21,1.3918781138033632e-21,4.938478855207286e-19,2.166593930485452e-19,9.841778938405112e-23,1.525951468637468e-20
0.000137438953471,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200742,6.77017601443074e-21,2.2269306690271356e-22,9.76990407163325e-23,4.0732733445442116e-23,4.360545672478421e-21,1.913044918786516e-21,8.350831101802732e-19,3.663650403866894e-19,1.3546058210140675e-22,2.5836859564321017e-20
0.000274877906943,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200705,1.3540352051556545e-20,4.446328499431326e-22,1.9506760422662138e-22,8.148034902034761e-23,8.721470029156286e-21,3.826255995218992e-21,3.3405510385917436e-18,1.465556076973995e-18,2.714452239910137e-22,1.0364626043499496e-19
0.000549755813887,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200557,2.708070428443613e-20,8.885124212239026e-22,3.8980473352849327e-22,1.6297558112464637e-22,1.744331884469079e-20,7.652678192911495e-21,1.3362640384541673e-17,5.862415715213452e-18,5.434145109558836e-22,4.15184307779701e-19
0.0009999999999999998,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713797,0.0008041951286200074,4.925951532183784e-20,1.6155777859553164e-21,7.087800392270188e-22,2.964630504454676e-22,3.172952303270509e-20,1.39202769534428e-20,4.619493753355477e-17,2.0266498276674307e-17,9.888944600589542e-22,1.4362618906901221e-18
0.001099511627775,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713797,0.0008041951286199968,5.416141001924559e-20,1.7762716053866434e-21,7.792790103833553e-22,3.259660529702942e-22,3.488701729320517e-20,1.5305522946923573e-20,5.345143397184705e-17,2.3450045663861943e-17,1.087353110372864e-21,1.6619374140926108e-18
0.002199023255551,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713795,0.000804195128619761,1.0832283164137378e-19,3.5517903065286075e-21,1.558227710105039e-21,6.519470577625649e-22,6.977442072985194e-20,3.061121532398848e-20,2.138074957540207e-16,9.380095484197094e-17,2.1752305131175074e-21,6.650152140710423e-18
0.003298534883327,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713792,0.0008041951286194073,1.6248426849231076e-19,5.327309506900019e-21,2.337176628846736e-21,9.779281542088159e-22,1.04661833975975e-19,4.5916912004636086e-20,4.543420546845083e-16,1.9932752318989964e-16,3.263108221735211e-21,1.4133076082637204e-17
0.005497558138879,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804871378,0.0008041951286182285,2.7080724371993405e-19,8.878351235855946e-21,3.895075926470914e-21,1.6298909581397582e-21,1.7443672586484132e-19,7.652833405653169e-20,1.2561254617010152e-15,5.510834284267763e-16,5.438865678157273e-21,3.907777017934492e-17
0.0074766790688758,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713764,0.000804195128616787,3.682980325913849e-19,1.2074292436179384e-20,5.297186893129693e-21,2.2166581507445123e-21,2.372342001714186e-19,1.0407864531826e-19,2.236789785337323e-15,9.813174092029448e-16,7.397049621774704e-21,6.958847915470228e-17
0.0094557999988726,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713746,0.0008041951286149424,4.657889744489948e-19,1.5270238651688117e-20,6.699300060031173e-21,2.8034262641135656e-21,3.0003177302202233e-19,1.3162899981291498e-19,3.491663491910337e-15,1.5318516717055953e-15,9.355236638204631e-21,1.0863106012597492e-16
0.009999999999999998,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804871374,0.0008041951286143304,4.925961615483378e-19,1.6149031353109472e-20,7.084840596245632e-21,2.9647705110671616e-21,3.1729928785693903e-19,1.3920454984373272e-19,3.907939779709369e-15,1.7144791009895128e-15,9.893681387264087e-21,1.2158268321302675e-16
0.0114349209288694,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713724,0.000804195128612717,5.632800897608996e-19,1.846619055339397e-20,8.101415721559071e-21,3.390195421443428e-21,3.6282945760125033e-19,1.5917940332480208e-19,5.0055574870181504e-15,2.196022504007186e-15,1.1313427138577249e-20,1.5573291289317719e-16
0.015393162788863,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804871367,0.0008041951286073981,7.582627995446034e-19,2.485811006465766e-20,1.090565393590295e-20,4.56373662000035e-21,4.884251354042814e-19,2.1428034575615764e-19,8.624038077559972e-15,3.783510976323333e-15,1.5229817763550198e-20,2.683156891972169e-16
0.0193514046488566,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713604,0.000804195128600672,9.532463944979027e-19,3.1250058593631553e-20,1.370990488078446e-20,5.737283146096471e-21,6.140213833787078e-19,2.6938153833132215e-19,1.3199968047573242e-14,5.791048641908144e-15,1.9146226167763747e-20,4.1068896887573537e-16
0.0233096465088502,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804871352,0.0008041951285924431,1.1482311350837942e-18,3.764204467883272e-20,1.6514172302188784e-20,6.910836567378612e-21,7.396183692978326e-19,3.244830546552736e-19,1.8798293965500175e-14,8.247128655872104e-15,2.3062657582798182e-20,5.848735281773179e-16
0.0312261302288374,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804871331,0.000804195128571392,1.538205404169285e-18,5.042617380701342e-20,2.2122776004907118e-20,9.257972226868689e-21,9.908154252109594e-19,4.346874403388483e-19,3.311978750447711e-14,1.4530209449568052e-14,3.089561658162017e-20,1.0304703533173955e-15
0.0391426139488246,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713038,0.000804195128544236,1.9281872656566907e-18,6.32105518300484e-20,2.773148890181359e-20,1.1605153582655873e-20,1.2420173716745746e-18,5.44893971589417e-19,5.1594801128419094e-14,2.2635509567149187e-14,3.872872807948022e-20,1.6053016390349194e-15
0.054975581388799,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048712312,0.0008041951284715964,2.7081835565434765e-18,8.878037552067058e-20,3.894938308851654e-20,1.6299712310576812e-20,1.744442242816923e-18,7.653162375873923e-19,1.0101422804243488e-13,4.431664577278194e-14,5.43956052267918e-20,3.14294262549104e-15
0.0866415162687478,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048710126,0.0008041951282529943,4.268369225926395e-18,1.399263527182146e-19,6.138794845445593e-20,2.5689991902773833e-20,2.7494163600510124e-18,1.2062153349716303e-18,2.4973813292257206e-13,1.0956433155406874e-13,8.573323783716335e-20,7.770370134936307e-15
0.09999999999999998,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804870891,0.0008041951281314432,4.926671848000983e-18,1.615068168780673e-19,7.085564625222955e-20,2.96521137200927e-20,3.1734537739647623e-18,1.3922477012242734e-18,3.3243454209273074e-13,1.4584464120001045e-13,9.89557959687111e-20,1.0343408504822086e-14
0.1499733860286454,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048702819,0.0008041951275223788,7.390020899144927e-18,2.422602791614466e-19,1.0628349300101622e-19,4.4478257041952564e-20,4.760189305829435e-18,2.088375344503346e-18,7.468084416111292e-13,3.276374606784981e-13,1.4843421959634078e-19,2.3236367850185824e-14
0.213305255788543,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048691598,0.0008041951264003477,1.0514041071503559e-17,3.4467185001383904e-19,1.5121310140256022e-19,6.328077748834129e-20,6.772487890512785e-18,2.971204677557513e-18,1.5101783772129612e-12,6.625407281381973e-13,2.1118277456064558e-19,4.698812989734765e-14
0.2766371255484406,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048676461,0.0008041951248865457,1.3641354663109525e-17,4.471913861239279e-19,1.9619007590452552e-19,8.21031200730969e-20,8.786907889649882e-18,3.854964710917094e-18,2.540089732044781e-12,1.1143802123011217e-12,2.7399748050251927e-19,7.903317949928321e-14
0.33996899530833824,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048657401,0.0008041951229804992,1.6772918779283516e-17,5.498502634340123e-19,2.4122818163900626e-19,1.0095104534005001e-19,1.0804065810451415e-17,4.739925916694816e-18,3.8368647277941436e-12,1.683297277256919e-12,3.3689756165991716e-19,1.1938154239174634e-13
0.4033008650682358,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048634414,0.0008041951206817343,1.9909525925318615e-17,6.526744619823878e-19,2.863388164679546e-19,1.1982932315786695e-19,1.2824472135265501e-17,5.6263122521077436e-18,5.400825795287469e-12,2.3694333788479847e-12,3.9989893614750956e-19,1.6804325081831303e-13
