Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189)
1.692631212120577e-10,0.11224537200236866,0.0,0.0,0.0,0.0,0.329999999897936,0.6699999999190384,1.0190813233192515e-10,8.080590354465557e-11,1.558344728523898e-13,2.1258027099778058e-11,4.932953927994474e-22,3.380226170273002e-17,2.1829985782556475e-17,1.3131820151205556e-20,9.889034097543211e-23,1.649651373056788e-17,2.5099502184448527e-17,1.0450588539302294e-24,1.645530009542393e-27,9.331764545730598e-36,7.816831743554212e-32,3.1329637233731285e-20,4.2065199959489275e-18,1.2182625276525687e-32,1.7022714346209144e-35,2.7301276751624288e-42,8.60320619105405e-37,7.66766992602968e-50,6.675140713131851e-55
2.0608174569136393e-10,0.11224537200284883,0.0,0.0,0.0,0.0,0.3299999998757347,0.6699999999011154,1.2404098688681398e-10,9.86605759943815e-11,2.242345434156174e-13,2.560459876854511e-11,7.098184440333662e-22,5.597163609287449e-17,3.8292107573032636e-17,2.590060770165215e-20,1.769309761070079e-22,2.566158557325792e-17,3.726915206685507e-17,2.196270497913673e-24,4.0828200151575305e-27,2.3153955747512698e-35,2.2565929465828755e-31,5.354844082611112e-20,7.309153002856235e-18,2.60029854227391e-32,4.277445016204115e-35,6.77477168405529e-42,2.1348803725021496e-36,2.6770550396477696e-49,3.0551606766535474e-54
2.4290037017067016e-10,0.11224537200331736,0.0,0.0,0.0,0.0,0.3299999998535334,0.6699999998830879,1.4616404273871753e-10,1.1660966392260693e-10,3.02428155680556e-13,2.9856751476263583e-11,9.573436129228719e-22,8.564281147975258e-17,6.119828006830064e-17,4.604644877166166e-20,2.8838079140742943e-22,3.7275380309912e-17,5.186431104857098e-17,4.100387203698089e-24,8.794025550347858e-27,4.987212214203631e-35,5.53810543717418e-31,8.337597800838223e-20,1.156989227382102e-17,4.9290621202576247e-32,9.326576170212446e-35,1.4593665926252933e-41,4.598798631156691e-36,7.692851733914172e-49,1.1176152209333866e-53
2.7971899464997636e-10,0.11224537200377453,0.0,0.0,0.0,0.0,0.3299999998313321,0.6699999998649594,1.6827826203225974e-10,1.346510441219293e-10,3.8945218172830943e-13,3.401660845315469e-11,1.2328220529967768e-21,1.236543415527881e-16,9.142196151679863e-17,7.589479348959183e-20,4.393649143262197e-22,5.151159535904245e-17,6.889716835283813e-17,7.028723004068007e-24,1.714237706555168e-26,9.721767282556793e-35,1.2162418239247032e-30,1.2130825858316473e-19,1.7115508088162922e-17,8.579724391109923e-32,1.8407002847059027e-34,2.8449909277657726e-41,8.965236546085961e-36,1.9524677288484617e-48,3.536176315772111e-53
3.1653761912928257e-10,0.11224537200422065,0.0,0.0,0.0,0.0,0.3299999998091308,0.6699999998467326,1.903844698857092e-10,1.5278270761983536e-10,4.844806618662174e-13,3.808617869925882e-11,1.5336391330675708e-21,1.707258749317886e-16,1.2972189082518834e-16,1.179819305760246e-19,6.3582886371965355e-22,6.851961329248733e-17,8.837923064009923e-17,1.1283437991858912e-23,3.095044784912188e-26,1.755271854281289e-34,2.453255715561156e-30,1.6761256388419352e-19,2.4045197955724707e-17,1.398906322264591e-31,3.3657605336976053e-34,5.136929222957738e-41,1.6187700315408243e-35,4.501164491888925e-48,9.937769847768803e-53
3.7063549309206776e-10,0.11224537200485676,0.0,0.0,0.0,0.0,0.3299999997765103,0.6699999998197794,2.228522911510269e-10,1.7958339550533073e-10,6.370839124337487e-13,4.3905919605628166e-11,2.0167121025845834e-21,2.576697440302901e-16,2.0208145795523263e-16,2.0774876412542981e-19,1.0193693183494246e-21,9.881778704415611e-17,1.214707448421688e-16,2.0633167684804082e-23,6.617906913190418e-26,3.75320173018138e-34,6.11202746612884e-30,2.511156915770859e-19,3.6907195999490377e-17,2.6181316584534717e-31,7.338741591076779e-34,1.098470567211446e-40,3.461551677098382e-35,1.3493320585504902e-47,3.90789678071412e-52
4.2473336705485296e-10,0.11224537200547058,0.0,0.0,0.0,0.0,0.32999999974388977,0.6699999997926275,2.5530652089651626e-10,2.0656874366639342e-10,8.032598359825044e-13,4.954099300064822e-11,2.5427502850440755e-21,3.6740664232335787e-16,2.953441441208269e-16,3.390671320261727e-19,1.5325691436000804e-21,1.3577321154591159e-16,1.5990825294462776e-16,3.4686803052897554e-23,1.2768722477573382e-25,7.241550969331463e-34,1.351073019210447e-29,3.530640075392564e-19,5.314182470928465e-17,4.504104376242576e-31,1.4439988962928776e-33,2.1195266347097386e-40,6.679160776264546e-35,3.4898927992701097e-47,1.2688728421269617e-51
4.788312410176382e-10,0.11224537200606305,0.0,0.0,0.0,0.0,0.32999999971126925,0.6699999997652851,2.8774900485165997e-10,2.3373287486307665e-10,9.811608347144508e-13,5.499727624175681e-11,3.1059049848406265e-21,5.015497721550666e-16,4.1127569633503485e-16,5.218981565971628e-19,2.194207612764965e-21,1.7972306443441422e-16,2.037251657635181e-16,5.467595081801492e-23,2.2749464168766613e-25,1.290201586339613e-33,2.717071117596707e-29,4.731843114966447e-19,7.290330732461599e-17,7.263284278333464e-31,2.6231714094987544e-33,3.7764267795276555e-40,1.1900482647308526e-34,8.030827607428873e-47,3.534370219548793e-51
5.870269889432085e-10,0.11224537200718711,0.0,0.0,0.0,0.0,0.3299999996460282,0.669999999710058,3.526049783735075e-10,2.8857479776109665e-10,1.3658887845720121e-12,6.539616137142956e-11,4.323781440231199e-21,8.485176906405924e-16,7.172530578796174e-16,1.085022669431939e-18,4.038127724925352e-21,2.8975253493012044e-16,3.076256885483961e-16,1.1783174785712589e-22,6.046774005499104e-25,3.4293626420592664e-33,8.903826297873618e-29,7.655690626401098e-19,1.233946885509359e-16,1.6364749689275846e-30,7.245359280739914e-33,1.0038306444632028e-39,3.1633311976523607e-34,3.3271940926185844e-46,2.0545191691114416e-50
6.844031620762219e-10,0.11224537200813342,0.0,0.0,0.0,0.0,0.32999999958731124,0.6699999996597713,4.109491397610076e-10,3.3848850162365806e-10,1.7382738628289233e-12,7.419916170456538e-11,5.502586287227664e-21,1.2564807791178181e-15,1.0840387469952535e-15,1.8799758020591617e-18,6.394176374968321e-21,4.1527292517233555e-16,4.198469769996584e-16,2.0907459852419823e-22,1.2572083829826813e-24,7.130155494436043e-33,2.164549944798857e-28,1.0833691851961884e-18,1.815426556253867e-16,3.018003821716596e-30,1.5571255988933156e-32,2.0871844304744654e-39,6.577267218729372e-34,9.603176998286784e-46,7.494175347902488e-50
7.817793352092353e-10,0.11224537200902195,0.0,0.0,0.0,0.0,0.32999999952859427,0.6699999996089699,4.692743185838637e-10,3.8889795118705163e-10,2.1295553179615486e-12,8.250639535996893e-11,6.7412088913824134e-21,1.7602414089810196e-15,1.5435986150318752e-15,3.021839388885872e-18,9.523778755621453e-21,5.669877899809032e-16,5.499677371154585e-16,3.4237021495850524e-22,2.362433360279833e-24,1.3398396924185332e-32,4.650140837978893e-28,1.4467091201933189e-18,2.5164170416510603e-16,5.1300779677330414e-30,3.020124009125571e-32,3.922163846711429e-39,1.2359779571633915e-33,2.3870674319289563e-45,2.2596174422019325e-49
8.791555083422487e-10,0.11224537200985629,0.0,0.0,0.0,0.0,0.3299999994698773,0.6699999995576861,5.275848586316815e-10,4.3977505246625774e-10,2.5353851151111315e-12,9.034595712606023e-11,8.025885254709663e-21,2.363625633496053e-15,2.1007450788730197e-15,4.585134040359157e-18,1.3536435143916682e-20,7.457200599234942e-16,6.98144209297374e-16,5.273452583602054e-22,4.110456204059417e-24,2.3312266322019015e-32,9.10901025708632e-28,1.849613025369781e-18,3.334029945225227e-16,8.192968340255154e-30,5.418880328290702e-32,6.824423934759327e-39,2.1505584461888936e-33,5.331899395954305e-45,5.996628006062791e-49
