Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58)
4.657015382725119e-07,0.11224537184422538,0.0,0.0,0.0,0.0,0.3299997176764682,0.66999971586938,2.7873058656150705e-07,2.801850049213549e-07,2.1684429403475386e-09,5.1105826771887e-10,6.864327374692839e-18,7.558855866290729e-10,1.4191481622069994e-09,1.0608738837299435e-09,1.9959811178728034e-12,1.4725292544948587e-10,8.473558607970006e-11,4.628430850969553e-14,1.600831271670658e-13,9.07923523551623e-22,2.6214893468982572e-14,3.960090696590486e-15,1.125956034396441e-12,6.785138346918482e-19
4.861173787071096e-07,0.11224537183797216,0.0,0.0,0.0,0.0,0.32999970519662114,0.6699997033271606,2.9098696426287253e-07,2.924723156376181e-07,2.263869726597384e-09,5.238491248362983e-10,7.166406203164905e-18,8.046004580372879e-10,1.5465596377262622e-09,1.1853904846923192e-09,2.270488665839796e-12,1.5596468616711344e-10,8.947439797846922e-11,5.13539329978174e-14,1.8202870464398276e-13,1.0323895217732488e-21,3.120003354458244e-14,4.1859479979902424e-15,1.1757859389159226e-12,8.078847801728853e-19
5.065332191417073e-07,0.11224537183186499,0.0,0.0,0.0,0.0,0.32999969270670915,0.6699996907784805,3.032478297898548e-07,3.0475918414413064e-07,2.3593314425539195e-09,5.366395720328202e-10,7.468595603576816e-18,8.536913670892024e-10,1.67946224760138e-09,1.3177123293676854e-09,2.5691269177837505e-12,1.6471452636628556e-10,9.422246461082413e-11,5.6739528203893284e-14,2.058019041055338e-13,1.1672210160553696e-21,3.6851812780786205e-14,4.416209973663606e-15,1.2256478770090736e-12,9.551682095461524e-19
5.26949059576305e-07,0.11224537182590386,0.0,0.0,0.0,0.0,0.32999968020667053,0.6699996782233364,3.155132399375073e-07,3.170456108462948e-07,2.4548285315559625e-09,5.49429610097268e-10,7.770896979342407e-18,9.031126531284061e-10,1.8178581557755394e-09,1.4578957085474589e-09,2.8929218536676534e-12,1.734973650032267e-10,9.897813672356684e-11,6.244721907926275e-14,2.31461090610452e-13,1.3127490282385368e-21,4.322439573531603e-14,4.650879616685465e-15,1.2755420881509037e-12,1.1219966735831425e-18
5.473649000109027e-07,0.11224537182008877,0.0,0.0,0.0,0.0,0.3299996676964512,0.6699996656617252,3.2778324398069385e-07,3.2933159615355597e-07,2.5503613782494143e-09,5.622192397771208e-10,8.073311548079804e-18,9.52824215863656e-10,1.9617495500793523e-09,1.6059900780919548e-09,3.2429006894079897e-12,1.823088426170164e-10,1.0374005439792029e-10,6.848297771426012e-14,2.5906315409652293e-13,1.4692962139033905e-21,5.037362779662931e-14,4.889959847845443e-15,1.3254687811647797e-12,1.3100822005615733e-18
5.677807404455004e-07,0.11224537181441967,0.0,0.0,0.0,0.0,0.3299996551760041,0.6699996530936437,3.4005788460801284e-07,3.4161714047886093e-07,2.645930315875309e-09,5.750084617812116e-10,8.375840364682141e-18,1.0027908795704042e-09,2.1111386390662247e-09,1.762038895160318e-09,3.6200918789585815e-12,1.911452189694596e-10,1.0850709641276745e-10,7.485262729099581e-14,2.886635483595019e-13,1.6371770834425292e-21,5.835699272502083e-14,5.1334535231317265e-15,1.3754281380222346e-12,1.5212172899297789e-18
5.881965808800981e-07,0.11224537180889653,0.0,0.0,0.0,0.0,0.3299996426452873,0.6699996405190888,3.5233719874512063e-07,3.5390224423818254e-07,2.741535632694955e-09,5.877972767846298e-10,8.678484341656725e-18,1.0529818218798474e-09,2.2660276492431057e-09,1.926080357868702e-09,4.025525115532758e-12,2.0000328524975052e-10,1.1327833851556825e-10,8.156184606812102e-14,3.203163288104372e-13,1.8166982162040284e-21,6.723357132049702e-14,5.381363440521371e-15,1.4254203171937938e-12,1.757275907014203e-18
6.086124213146958e-07,0.1122453718035192,0.0,0.0,0.0,0.0,0.3299996301042643,0.669999627938057,3.6462121827961374e-07,3.661869078501016e-07,2.837177577646996e-09,6.005856854338064e-10,8.981244267032761e-18,1.1033700629248378e-09,2.4264188226475802e-09,2.0981480583456994e-09,4.460231332162587e-12,2.0888028859943359e-10,1.180530188295279e-10,8.861617119049319e-14,3.5407418926848526e-13,2.0081584691646654e-21,7.706400117591285e-14,5.633692346122415e-15,1.475445456599969e-12,2.0202144790123264e-18
6.290282617492935e-07,0.11224537179828768,0.0,0.0,0.0,0.0,0.32999961755290297,0.6699996153505459,3.7690997069864945e-07,3.784711317354438e-07,2.9328563653235844e-09,6.133736883496887e-10,9.284120820113718e-18,1.1539320092367131e-09,2.592314414729571e-09,2.2782715587317706e-09,4.925242701744254e-12,2.177738672736052e-10,1.228305092477809e-10,9.602100230052797e-14,3.899884978498659e-13,2.2118491804768455e-21,8.791043748479605e-14,5.8904429397135376e-15,1.525503676207702e-12,2.312072892438633e-18
6.494441021838911e-07,0.1122453717932019,0.0,0.0,0.0,0.0,0.3299996049911751,0.6699996027565521,3.8920347964911516e-07,3.9075491631696134e-07,3.028572180342217e-09,6.261612861307582e-10,9.587114585316612e-18,1.2046470470736716e-09,2.763716692501768e-09,2.4664768985938506e-09,5.421592636683131e-12,2.2668199504920342e-10,1.2761029191535158e-10,1.0378160507245798e-13,4.281093318607306e-13,2.428054367366136e-21,9.983651488068241e-14,6.151617879729515e-15,1.575595080312017e-12,2.6349754921818833e-18
6.698599426184888e-07,0.1122453717882617,0.0,0.0,0.0,0.0,0.3299995924190557,0.6699995901560725,4.0150176542900354e-07,4.030382620190565e-07,3.1243251811807417e-09,6.389484793561043e-10,9.890226064311939e-18,1.2554971808183394e-09,2.9406279329265225e-09,2.6627870411549572e-09,5.95031578823551e-12,2.3560293358407445e-10,1.3239193991217444e-10,1.1190311472005325e-13,4.684855116744987e-13,2.6570509182691466e-21,1.1290731028217675e-13,6.417219787740705e-15,1.6257197595379813e-12,2.991132082340077e-18
6.902757830530865e-07,0.11224537178346701,0.0,0.0,0.0,0.0,0.32999957983652284,0.6699995775491043,4.138048454178657e-07,4.153211692675388e-07,3.22011550353697e-09,6.517352685878573e-10,1.0193455686658716e-17,1.3064667125055848e-09,3.1230504215097615e-09,2.867222265063559e-09,6.512448045632383e-12,2.445351915423128e-10,1.3717510132181572e-10,1.2039053942202843e-13,5.111646336840128e-13,2.8991087797241564e-21,1.271893067139914e-13,6.687251252470179e-15,1.6758777925948924e-12,3.3828389289697678e-18
7.106916234876842e-07,0.1122453717788177,0.0,0.0,0.0,0.0,0.3299995672435569,0.669999564935644,4.261127344535523e-07,4.27603638489415e-07,3.3159432632691097e-09,6.645216543732595e-10,1.0496803819112583e-17,1.3575419584508798e-09,3.3109864510758175e-09,3.0798005079563093e-09,7.109026535055018e-12,2.5347748949446296e-10,1.419594860565971e-10,1.2924876362239104e-13,5.561931024038742e-13,3.154491138441947e-21,1.4275035807551976e-13,6.961714833388399e-15,1.726069247811936e-12,3.8124797648347995e-18
7.311074639222819e-07,0.11224537177431364,0.0,0.0,0.0,0.0,0.32999955464014086,0.6699995523156891,4.384254451617028e-07,4.3988567011270617e-07,3.4118085589674584e-09,6.773076372466047e-10,1.0800270773766647e-17,1.4087109989827059e-09,3.5044383207005036e-09,3.300537667504424e-09,7.741089618514534e-12,2.6242872978975656e-10,1.4674485498231208e-10,1.3848255123038458e-13,6.036161617265491e-13,3.423454598577163e-21,1.5965965483221503e-13,7.240613063923738e-15,1.776294184481541e-12,4.282526796210126e-18
7.515233043568796e-07,0.11224537176995482,0.0,0.0,0.0,0.0,0.32999954202625925,0.6699995396892363,4.507429882436622e-07,4.5216726456628724e-07,3.507711474201643e-09,6.900932177309078e-10,1.1103856815165238e-17,1.4599634576680866e-09,3.7034083347827115e-09,3.5294478649660107e-09,8.40967689267455e-12,2.7138797071784697e-10,1.5153101096826355e-10,1.4809654875540054e-13,6.534779253232585e-13,3.706249354149259e-21,1.7798769060644444e-13,7.523948454325862e-15,1.8265526540334983e-12,4.7955417117940254e-18
7.719391447914773e-07,0.112245371765741,0.0,0.0,0.0,0.0,0.3299995294018987,0.6699995270562827,4.6306537272782023e-07,4.6444842227974867e-07,3.603652079482411e-09,7.028783963393221e-10,1.140756216651407e-17,1.5112903068893215e-09,3.907898802237117e-09,3.766543675658012e-09,9.115829187648325e-12,2.8035440435179847e-10,1.5631779152215257e-10,1.580952883746444e-13,7.058214062186233e-13,4.003119356777333e-21,1.9780622964376821e-13,7.811723494216672e-15,1.8768447010601493e-12,5.3541766937779185e-18
7.92354985226075e-07,0.11224537176167212,0.0,0.0,0.0,0.0,0.3299995167670468,0.6699995144168251,4.753926061888287e-07,4.7672914368327577e-07,3.6996304339727074e-09,7.156631735764049e-10,1.171138701509676e-17,1.5626836969388957e-09,4.1179120357924965e-09,4.011836330289507e-09,9.860588565796196e-12,2.893273375378072e-10,1.6110506271498983e-10,1.6848319091445753e-13,7.606885455846949e-13,4.314302478987648e-21,2.1918827513049772e-13,8.103940654859857e-15,1.9271703642107355e-12,5.961175431102952e-18
8.127708256606727e-07,0.11224537175774806,0.0,0.0,0.0,0.0,0.3299995041216929,0.6699995017708609,4.877246949386747e-07,4.89009429207544e-07,3.795646586979102e-09,7.284475499392255e-10,1.2015331516996024e-17,1.614136805988469e-09,4.333450351382085e-09,4.26533589070263e-09,1.0644998320542996e-11,2.9830617557964443e-10,1.6589271416414237e-10,1.7926456874405002e-13,8.181202407805537e-13,4.64003067324233e-21,2.422080383396633e-13,8.400602391177192e-15,1.9775296769711045e-12,6.61937413491028e-18
8.331866660952704e-07,0.11224537175396869,0.0,0.0,0.0,0.0,0.3299994914658271,0.6699994891183868,5.00061644193127e-07,5.01289279283628e-07,3.891700579251003e-09,7.41231525918319e-10,1.2319395801206378e-17,1.6656437085006876e-09,4.554516067614096e-09,4.527051403177442e-09,1.1470102975229188e-11,3.0729040823926464e-10,1.7068065489535322e-10,1.904436285954118e-13,8.781563726470776e-13,4.980530126743716e-21,2.6694090858379053e-13,8.70171114353737e-15,2.0279226683430314e-12,7.331702556183008e-18
8.740183469644659e-07,0.1122453717468436,0.0,0.0,0.0,0.0,0.32999946612252534,0.6699994637938974,5.247501404003448e-07,5.258476748170999e-07,4.083922208067365e-09,7.667982786594035e-10,1.292788411692738e-17,1.76879903247211e-09,5.013238987271416e-09,5.075162132284246e-09,1.3246581220696872e-11,3.2527337276429784e-10,1.8025711902873789e-10,2.1401110937509032e-13,1.0061965440205829e-12,5.706719623617426e-21,3.218532448108992e-13,9.31727939347061e-15,2.1288097837832876e-12,8.930941382523677e-18
9.107668597467418e-07,0.11224537174092458,0.0,0.0,0.0,0.0,0.32999944327752273,0.6699994409795635,5.469864445204598e-07,5.479487458945725e-07,4.2570513547886e-09,7.898069916285062e-10,1.3475934112858322e-17,1.8617779302461247e-09,5.445016625230331e-09,5.596634666835364e-09,1.4995092000934576e-11,3.4147271192599223e-10,1.8887630255506104e-10,2.3662204941565796e-13,1.1307200673568034e-12,6.412964185989462e-21,3.7791258110702663e-13,9.886523849097798e-15,2.2197235869691365e-12,1.0586722508057684e-17
9.460336716345748e-07,0.11224537173568332,0.0,0.0,0.0,0.0,0.3299994213214967,0.6699994190652279,5.683410305115307e-07,5.691573808814538e-07,4.423315540967356e-09,8.118867798440004e-10,1.4002252692279676e-17,1.9511137080016124e-09,5.876259001186181e-09,6.122212763151035e-09,1.6812337472691294e-11,3.5703047129843397e-10,1.9714806106380442e-10,2.595899019016681e-13,1.2586972381284136e-12,7.13879637074719e-21,4.3807516840318e-13,1.0446400010687169e-14,2.3070746337365334e-12,1.238736807997228e-17
9.81300483522408e-07,0.11224537173087139,0.0,0.0,0.0,0.0,0.329999399333968,0.669999397131409,5.897101666541719e-07,5.903647249056104e-07,4.589693002431757e-09,8.339653825376902e-10,1.452892985095263e-17,2.040540113049091e-09,6.324040382240327e-09,6.672432238564207e-09,1.877145182101071e-11,3.7259852165610964e-10,2.0541977197417092e-10,2.83819139472777e-13,1.3951532308209708e-12,7.912716834322811e-21,5.048990316758372e-13,1.101959278620943e-14,2.3945265163578002e-12,1.4413721845610773e-17
9.999999999999997e-07,0.11224537172648821,0.0,0.0,0.0,0.0,0.32999938766273473,0.6699993854935344,6.010466241655079e-07,6.016089688424594e-07,4.677957259891157e-09,8.456716366582627e-10,1.4808335293985263e-17,2.0879899385843772e-09,6.5681811988741405e-09,6.974179866788026e-09,1.9869645912706164e-11,3.808570641841094e-10,2.0980562482465984e-10,2.971840724252624e-13,1.4710040536696289e-12,8.342910502160719e-21,5.431807361516531e-13,1.1328923260981719e-14,2.440937039712593e-12,1.5586218183399762e-17
1.0165672954102411e-06,0.11224537172648821,0.0,0.0,0.0,0.0,0.32999937731491097,0.669999375178092,6.110938549519675e-07,6.115707801946093e-07,4.756183754996537e-09,8.560428020859157e-10,1.505596563893962e-17,2.1300472132161964e-09,6.788372766511149e-09,7.2473166303223356e-09,2.0877869018000262e-11,3.8817607457367017e-10,2.1369133395663316e-10,3.0932762117447187e-13,1.5402568192669214e-12,8.735682790259119e-21,5.788156766028636e-13,1.1606114385190938e-14,2.4820792824128023e-12,1.668487700987572e-17
1.0518341072980743e-06,0.11224537172253309,0.0,0.0,0.0,0.0,0.32999935526430296,0.6699993532052616,6.324920947990613e-07,6.327755489757006e-07,4.922787794105966e-09,8.781190408480899e-10,1.5583360041819228e-17,2.2196272705605408e-09,7.269268153406791e-09,7.846887051962273e-09,2.3137033914123538e-11,4.0376252423163497e-10,2.2196267461439577e-10,3.3613246913148916e-13,1.694169690092159e-12,9.608611256471438e-21,6.602649330493591e-13,1.2205976970419118e-14,2.5697329687665764e-12,1.9220844456239558e-17
1.0871009191859074e-06,0.1122453717190054,0.0,0.0,0.0,0.0,0.329999333182123,0.6699993312129024,6.539048835763633e-07,6.539790334754984e-07,5.089505099488003e-09,9.001941011701462e-10,1.6111112995419185e-17,2.3092742463679388e-09,7.766738541763623e-09,8.471162748222369e-09,2.5554402228854574e-11,4.1935740302984216e-10,2.3023374161701777e-10,3.642501014755224e-13,1.8570467597222255e-12,1.053238085317226e-20,7.496946052463457e-13,1.2819192665403017e-14,2.6574876040073783e-12,2.2042568742630624e-17
