Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416)
3.427490562547337e-05,0.1122454383071229,0.0,0.0,0.0,0.0,0.32996291106350684,0.6699682065369588,2.533569577155546e-05,2.0283127437447394e-05,1.9725054782820104e-07,2.1398967968618063e-08,6.244076411078144e-16,1.0299799205873953e-07,9.18129941292349e-06,1.3084011218544731e-05,1.1323724003957249e-06,1.7283815188327577e-08,7.937421507719492e-09,9.02041238838408e-10,6.58980446618057e-09,3.7374572226040706e-17,1.0194501963658255e-07,7.665144463369486e-12,1.2600500166087028e-10,7.52342516353976e-13,1.8695238652189452e-10,1.0077345409003198e-20,3.459247432247251e-18,1.0231315569048627e-17,1.1839171649037231e-18,1.6519289871233023e-17,7.23916729572849e-15,4.800742336492762e-21,4.2146741193809e-22,3.978092411641983e-27,8.45719525510078e-26,9.01840425007819e-25,2.6589681503878207e-19,1.0807419491594674e-25,9.958603652809947e-24
3.571192789232991e-05,0.11224543770600114,0.0,0.0,0.0,0.0,0.32996057192167133,0.6699663267609384,2.6497217347855528e-05,2.1126248323978192e-05,2.0629308428486575e-07,2.228168487562762e-08,6.530322960980209e-16,1.0780808631916023e-07,1.0015509284920097e-05,1.426817571631864e-05,1.291995233698349e-06,1.805948896611294e-08,8.271228866320455e-09,9.867759641537375e-10,7.2120958951353495e-09,4.0903944922975246e-17,1.1626385954209719e-07,8.338584552396566e-12,1.3281142581469948e-10,8.936797338716705e-13,2.3122763272844646e-10,1.2028410132718714e-20,3.786926878619363e-18,1.3234639199649722e-17,1.5326986244606551e-18,2.1353655384310393e-17,9.742729110406142e-15,6.461010275999138e-21,5.932319840000499e-22,5.576381488684489e-27,1.1856584296713136e-25,1.2643372535167224e-24,3.880017230664997e-19,1.5770349550472033e-25,1.5147735762478375e-23
3.7148950159186455e-05,0.112245436216231,0.0,0.0,0.0,0.0,0.3299581668916504,0.6699643997887754,2.7656039582956498e-05,2.1969132505328344e-05,2.1531454320274266e-07,2.3164270682105896e-08,6.815902289739089e-16,1.1262691918137443e-07,1.0887767836838342e-05,1.550644987728107e-05,1.4662110029545095e-06,1.8833875008196825e-08,8.60521820956656e-09,1.0756233920012693e-09,7.864756275568176e-09,4.4605557415008266e-17,1.3190587041373025e-07,9.03928231055531e-12,1.3969421966714094e-10,1.0542171952586416e-12,2.83631017797824e-10,1.425554899420964e-20,4.130777262745079e-18,1.694415481436234e-17,1.9641080075806807e-18,2.7323192408623897e-17,1.2961599904968664e-14,8.595644284592536e-21,8.237394541738781e-22,7.714647047819518e-27,1.6404982047358603e-25,1.7493596323096516e-24,5.579759815383335e-19,2.26788973223229e-25,2.2668915838357717e-23
3.8585972426043e-05,0.11224543377247877,0.0,0.0,0.0,0.0,0.32995569595508967,0.669962425556045,2.8810992837160515e-05,2.2811778093706026e-05,2.2430581687088756e-07,2.4046714209612727e-08,7.100526087676922e-16,1.1745102976991094e-07,1.179802214946721e-05,1.679891496782086e-05,1.6556120280426715e-06,1.960639303617829e-08,8.939394229794486e-09,1.1685947701720665e-09,8.547872198710282e-09,4.847990081083257e-17,1.4893418339838022e-07,9.766730591966348e-12,1.4664708179376652e-10,1.2355504382167746e-12,3.452402454369025e-10,1.6784105808919913e-20,4.490868940960989e-18,2.148620080589758e-17,2.4931665043303034e-18,3.463146712929433e-17,1.705979010828778e-14,1.1313409942587331e-20,1.1294838197288916e-21,1.0543420184121423e-26,2.2422849070550086e-25,2.3910801543180732e-24,7.916157061530449e-19,3.2175074861550193e-25,3.3419097081715636e-23
4.0022994692899544e-05,0.1122454303117322,0.0,0.0,0.0,0.0,0.3299531591376612,0.6699604040417966,2.9960945001837556e-05,2.3654177771459074e-05,2.332580899125305e-07,2.492899868041062e-08,7.383915299117501e-16,1.2227703021715983e-07,1.2746180704293435e-05,1.8145613897388795e-05,1.8607688610036044e-06,2.0376479746925836e-08,9.273759399674538e-09,1.265697120159543e-09,9.261498972495405e-09,5.2527288793563914e-17,1.6741207686928395e-07,1.0520375956940905e-11,1.5366371324271287e-10,1.4393050121232826e-12,4.1721988672159063e-10,1.9640449052074215e-20,4.867257018407384e-18,2.7002507346434626e-17,3.1367964132429395e-18,4.350715663004801e-17,2.2229965614572438e-14,1.474207606639876e-20,1.5305535699595728e-21,1.4246195379255228e-26,3.030085008529087e-25,3.2311576940973026e-24,1.1090029152486639e-18,4.507508545991515e-25,4.858011836232565e-23
4.146001695975609e-05,0.11224542577366035,0.0,0.0,0.0,0.0,0.32995055650790056,0.6699583352672781,3.1104805361648877e-05,2.449631905807559e-05,2.421628693567169e-07,2.5811102032590094e-08,7.665801074321206e-16,1.271016183236705e-07,1.3732114533149844e-05,1.9546552139507454e-05,2.0822283766788022e-06,2.1143590804218577e-08,9.608314063141158e-09,1.3669333059495278e-09,1.0005661113854104e-08,5.674786041282612e-17,1.874029119803654e-07,1.1299622150267518e-11,1.6073784410674727e-10,1.6671289969051417e-12,5.008227259024195e-10,2.2851930324858725e-20,5.259981597138638e-18,3.365103895151562e-17,3.913944100275609e-18,5.4205531336675125e-17,2.869692293827761e-14,1.9030719302230563e-20,2.0512306367478147e-21,1.904512267993025e-26,4.0511978075016433e-25,4.320030272804621e-24,1.5354464379270612e-18,6.240756320679925e-25,6.96964343741152e-23
4.289703922661263e-05,0.11224542010068041,0.0,0.0,0.0,0.0,0.3299478881759453,0.669956219294567,3.22415281411306e-05,2.533818458482268e-05,2.510120122501356e-07,2.6692997244845827e-08,7.945925643552015e-16,1.3192158957601668e-07,1.4755658451774584e-05,2.100169874277838e-05,2.3205120303457947e-06,2.1907202679736744e-08,9.943056530844278e-09,1.472302115725122e-09,1.0780352932810605e-08,6.114158339749846e-17,2.0897006928793928e-07,1.2103834403408148e-11,1.6786326145734236e-10,1.9206843830872483e-12,5.973907839626785e-10,2.6446831339425585e-20,5.669068066609543e-18,4.1606786359159594e-17,4.845702850007592e-18,6.700989226724273e-17,3.6721192095152213e-14,2.435211342302938e-20,2.7207415772255073e-21,2.5208153835166046e-26,5.362677069324928e-25,5.718537672945879e-24,2.102555317857574e-18,8.545719608354501e-25,9.877593079658763e-23
4.433406149346918e-05,0.11224541323821918,0.0,0.0,0.0,0.0,0.3299451542920907,0.6699540562250311,3.337011564838215e-05,2.617975238598687e-05,2.597977501344702e-07,2.757465267040879e-08,8.224043091921818e-16,1.367338479451119e-07,1.5816612444546638e-05,2.2510987502309795e-05,2.576114333126748e-06,2.2666814296775745e-08,1.0277983181719673e-08,1.5817983611951922e-09,1.1585539258748368e-08,6.570825827478535e-17,2.3217688681175105e-07,1.293234246555952e-11,1.7503383164049488e-10,2.2016404171347703e-12,7.083558763771041e-10,3.045432987943659e-20,6.094527475489484e-18,5.10625174880229e-17,5.955425506542273e-18,8.223291224492719e-17,4.6602868194317336e-14,3.0905270298167197e-20,3.573819315569993e-21,3.305461822045385e-26,7.032519170370305e-25,7.499188426151438e-24,2.8494887934789372e-18,1.1581552730172622e-24,1.3839062705184053e-22
4.577108376032572e-05,0.11224540513477303,0.0,0.0,0.0,0.0,0.32994235504525427,0.6699518461977059,3.44896210507723e-05,2.702099619545684e-05,2.685127106573922e-07,2.8456032374908426e-08,8.499920043499894e-16,1.4153541565667616e-07,1.6914743124830488e-05,2.4074318214836995e-05,2.8495015205375216e-06,2.342194849334747e-08,1.0613088567723168e-08,1.6954129890055195e-09,1.2421156255189616e-08,7.044752299130344e-17,2.5708659963906246e-07,1.3784443788248458e-11,1.822435215669572e-10,2.5116671288673374e-12,8.352398171668886e-10,3.4904461196841505e-20,6.536356946810745e-18,6.222938234915207e-17,7.268824279645721e-18,1.0021777530446449e-16,5.868556340974537e-14,3.89180606943589e-20,4.651364377706773e-21,4.2961874812736584e-26,9.14107994690719e-25,9.747670682391042e-24,3.824377716637889e-18,1.5543872257776648e-24,1.9180241660666723e-22
4.7208106027182266e-05,0.11224539574209676,0.0,0.0,0.0,0.0,0.3299394906612929,0.669949589387535,3.559915071929042e-05,2.786188575462893e-05,2.7714993581867264e-07,2.933709649467107e-08,8.773336238902426e-16,1.463234421637611e-07,1.804978531673651e-05,2.5691558065263453e-05,3.141110450567171e-06,2.4172153281107126e-08,1.0948365525470893e-08,1.8131332108390775e-09,1.328711235602654e-08,7.535885822298429e-17,2.8376228142960517e-07,1.465940929095968e-11,1.8948642645704562e-10,2.8524254951621284e-12,9.79654174571597e-10,3.982804327379869e-20,6.99454013996028e-18,7.533744960261477e-17,8.814078484871868e-18,1.213392996771612e-16,7.336055201991437e-14,4.8649963112258664e-20,6.001530989505983e-21,5.537595574889959e-26,1.1783340065984381e-24,1.2565267908055268e-23,5.085952751144536e-18,2.0671373706839717e-24,2.6313582834378373e-22
4.864512829403881e-05,0.11224538501523836,0.0,0.0,0.0,0.0,0.32993656140124206,0.669947286003545,3.669786617880481e-05,2.8702387123111925e-05,2.8570289715256614e-07,3.021780158622665e-08,9.044085015898021e-16,1.510952119229739e-07,1.922144370011019e-05,2.7362543085947768e-05,3.451347707341361e-06,2.4917002908069048e-08,1.1283805289085078e-08,1.93494264276771e-09,1.418328928769931e-08,8.044159317243033e-17,3.122667878647507e-07,1.5556486975404725e-11,1.9675678924038285e-10,3.2255604321220357e-12,1.1432996658160768e-09,4.5256635517499245e-20,7.469047770415172e-18,9.063623349331974e-17,1.062193001191676e-17,1.4600497860121188e-16,9.107101991194316e-14,6.03948819000634e-20,7.680482840003526e-21,7.081940390725652e-26,1.5070574292453417e-24,1.6070638923472615e-23,6.705382731058825e-18,2.7253302649030138e-24,3.575559778109559e-22
