Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166)
1.8754373788920922e-10,0.11224537200260849,0.0,0.0,0.0,0.0,0.32999999988691314,0.6699999999101522,1.1289839508307559e-10,8.965904160374406e-11,1.8859760134361127e-13,2.3427909463206065e-11,5.970082998920861e-22,4.3843803131877425e-17,2.917044632507756e-17,1.853753162859669e-20,1.3335095879908233e-22,2.073489445073953e-17,3.083759189514731e-17,1.5218159265584377e-24,2.5778633077918066e-27,1.4619115298663834e-35,1.2851811704685394e-31,4.1370017334127574e-20,5.596831981831886e-18,1.7859836069660413e-32,2.6801638039071604e-35
2.2552733191086837e-10,0.11224537200309768,0.0,0.0,0.0,0.0,0.3299999998640094,0.6699999998916065,1.3572626097727827e-10,1.0812882831996352e-10,2.6444845613365825e-13,2.7861829427452122e-11,8.371172487667457e-22,7.058344517136551e-17,4.945752586275466e-17,3.525073451447765e-20,2.307006793581425e-22,3.146421908211593e-17,4.467268010213803e-17,3.0645822652616954e-24,6.0658890374614626e-27,3.4400265889423466e-35,3.479358092090854e-31,6.829069010653294e-20,9.396951097042788e-18,3.65220717447181e-32,6.383891527068047e-35
2.6351092593252753e-10,0.11224537200357465,0.0,0.0,0.0,0.0,0.3299999998411057,0.6699999998729518,1.5854427692912617e-10,1.2669786420884167e-10,3.5014316844791855e-13,3.219649652460371e-11,1.1083875934312424e-21,1.0581132331813096e-16,7.71260801124119e-17,6.10939739069596e-20,3.6713810696049634e-22,4.4904046870169575e-17,6.109629400723995e-17,5.556453943974779e-24,1.2644611411778336e-26,7.170964352113755e-35,8.245818731189027e-31,1.036412912790476e-19,1.4507950997378206e-17,6.725923932409091e-32,1.347417072805265e-34
3.014945199541867e-10,0.11224537200403971,0.0,0.0,0.0,0.0,0.32999999981820194,0.669999999854191,1.81353389543073e-10,1.4536391471200897e-10,4.447341678204874e-13,3.6434145341705143e-11,1.4078197355824895e-21,1.5035286976329027e-16,1.130430257657306e-16,9.876777218559098e-20,5.492169298951242e-22,6.122560139770786e-17,8.012124470333323e-17,9.317112640644182e-24,2.4091052181634006e-26,1.3662546077080672e-34,1.7711463860951304e-30,1.4777904570443903e-19,2.104712954553106e-17,1.145984031847382e-31,2.6005141269517873e-34
3.3947811397584585e-10,0.11224537200449317,0.0,0.0,0.0,0.0,0.3299999997952982,0.6699999998353274,2.0415441695905815e-10,1.6412484752523716e-10,5.474024813861945e-13,4.057690821611273e-11,1.7328211613072467e-21,2.0492201640165996e-16,1.5796779863149976e-16,1.5120232719062845e-19,7.833626905721785e-22,8.057731391473669e-17,1.017597244854205e-16,1.46996446792632e-23,4.280953588287847e-26,2.42783693995225e-34,3.533720178323793e-30,2.0086445889173754e-19,2.9105834541789654e-17,1.8381427929058743e-31,4.68518552193218e-34
3.77461707997505e-10,0.1122453720049354,0.0,0.0,0.0,0.0,0.32999999977239447,0.6699999998163636,2.2694812480549786e-10,1.8297855984737183e-10,6.573817023542244e-13,4.46268879842731e-11,2.0809657581506342e-21,2.7018711899993286e-16,2.1261634919266861e-16,2.214771761027727e-19,1.076019447858083e-21,1.0309831981448152e-16,1.2602373600595485e-16,2.2078308942327038e-23,7.170831365316826e-26,4.066783574811911e-34,6.589169900923397e-30,2.62988078471002e-19,3.876434037216711e-17,2.8072088753984683e-31,7.958741418834933e-34
4.1544530201916416e-10,0.11224537200536673,0.0,0.0,0.0,0.0,0.32999999974949074,0.6699999997973025,2.497352549428423e-10,2.019229432457103e-10,7.739292167980589e-13,4.858619311580953e-11,2.4499027315765513e-21,3.467959374426033e-16,2.776857692849498e-16,3.128127904545585e-19,1.4337340555282511e-21,1.2892358521118586e-16,1.5292529853888984e-16,3.1846709812045165e-23,1.141872051584711e-25,6.47591415415553e-34,1.1566827342231928e-29,3.3420813983285497e-19,5.0097087693307355e-17,4.116435401945088e-31,1.2850640712943875e-33
4.534288960408233e-10,0.11224537200578749,0.0,0.0,0.0,0.0,0.329999999726587,0.669999999778147,2.725164853084284e-10,2.209559197331299e-10,8.963664003477546e-13,5.24569016376673e-11,2.8374838503116633e-21,4.353407931996002e-16,3.5382055157527723e-16,4.286256946965037e-19,1.8630953397033335e-21,1.5817677721157914e-16,1.8247623437887372e-16,4.442597573818964e-23,1.7428016920223664e-25,9.884013741876844e-34,1.9297268257841652e-29,4.1448235437823365e-19,6.316473376327149e-17,5.835945540540479e-31,1.9884139483925994e-33
4.914124900624825e-10,0.1122453720061979,0.0,0.0,0.0,0.0,0.32999999970368327,0.6699999997588995,2.95292392712005e-10,2.400754882798381e-10,1.0241158610419588e-12,5.624101462293539e-11,3.241881341108764e-21,5.363262344986361e-16,4.4158059289499396e-16,5.725476005459309e-19,2.3706360338734745e-21,1.9096362541177468e-16,2.1468789518655202e-16,6.026836861335735e-23,2.567986810073336e-25,1.456396454095923e-33,3.0864552719935146e-29,5.036238283256835e-19,7.800749607321027e-17,8.04400610377302e-31,2.969857924414282e-33
5.293960840841417e-10,0.11224537200659825,0.0,0.0,0.0,0.0,0.32999999968077953,0.6699999997395624,3.1806347103000006e-10,2.592797228061724e-10,1.1566832261152098e-12,5.994045819676613e-11,3.661530233591641e-21,6.501847689602997e-16,5.414556451260269e-16,7.483714386309545e-19,2.962822708807198e-21,2.2737511648544944e-16,2.4957117544086677e-16,7.985008967718238e-23,3.67353102553117e-25,2.0833957995987132e-33,4.764429374917336e-29,6.013533570321306e-19,9.464956786736826e-17,1.082638238952513e-30,4.305763119415719e-33
6.0536327212746e-10,0.11224537200736989,0.0,0.0,0.0,0.0,0.32999999963497195,0.6699999997006295,3.6359302154549856e-10,2.979345804832448e-10,1.4343886457372985e-12,6.709294660672208e-11,4.5406213850463804e-21,9.18168885748217e-16,7.794275437232532e-16,1.211296742003039e-18,4.42720401780147e-21,3.114191090782152e-16,3.273955409432232e-16,1.3219583370309519e-22,6.985971301867116e-25,3.9620221215262e-33,1.0405867050015795e-28,8.215345550757371e-19,1.3341241096282346e-16,1.8485558703349693e-30,8.408823989329834e-33
6.684730771876569e-10,0.11224537200798268,0.0,0.0,0.0,0.0,0.3299999995969173,0.6699999996680337,4.01405793669637e-10,3.3028831698110325e-10,1.6759949755222103e-12,7.279369118638127e-11,5.305439125141174e-21,1.1832408023156082e-15,1.0177710553823011e-15,1.7279718103005562e-18,5.9583190544953364e-21,3.929583821463426e-16,4.0026683929941137e-16,1.914984462687379e-22,1.1216092325815905e-24,6.361111477885266e-33,1.850674640565182e-28,1.0279389336677387e-18,1.711928390891126e-16,2.745809501154899e-30,1.3795021441123219e-32
7.315828822478538e-10,0.11224537200857089,0.0,0.0,0.0,0.0,0.3299999995588626,0.6699999996352196,4.3921028304413703e-10,3.6285227028173986e-10,1.9258481554797695e-12,7.82842100947715e-11,6.096362826404454e-21,1.4882787652265638e-15,1.2947404498080233e-15,2.385223063230032e-18,7.806772968030132e-21,4.85441719083781e-16,4.806455257538401e-16,2.6780278868430136e-22,1.722730507172254e-24,9.770344485831178e-33,3.1198007434686848e-28,1.253940559731139e-18,2.1401373935733567e-16,3.9354010325113945e-30,2.1641377836185548e-32
7.946926873080507e-10,0.11224537200913567,0.0,0.0,0.0,0.0,0.32999999952080794,0.669999999602196,4.770077790906599e-10,3.9561863578707646e-10,2.1826574978562557e-12,8.357230814991466e-11,6.909306729586797e-21,1.834417533948805e-15,1.611740844366692e-15,3.203072224944113e-18,1.000238698160265e-20,5.891123453073623e-16,5.685751089320203e-16,3.6368767218383543e-22,2.550079101406039e-24,1.4462624433144623e-32,5.029342768926026e-28,1.4978915032856862e-18,2.61812669734181e-16,5.474627940881895e-30,3.270565340960344e-32
9.209122974284445e-10,0.11224537201019846,0.0,0.0,0.0,0.0,0.3299999994446986,0.6699999995355544,5.525860620411052e-10,4.617287727986005e-10,2.712869679593397e-12,9.357107317778294e-11,8.587722371292898e-21,2.653763114640167e-15,2.370660510800463e-15,5.402952654885999e-18,1.5554418072770478e-20,8.308288158244972e-16,7.672523318831871e-16,6.248789745640953e-22,5.110890334236905e-24,2.8986213378413754e-32,1.1744884309024058e-27,2.0333074173087002e-18,3.7196676069433836e-16,9.856382411374909e-30,6.825962581813121e-32
9.999999999999999e-10,0.11224537201106805,0.0,0.0,0.0,0.0,0.32999999939700936,0.6699999994934169,5.999335884722939e-10,5.035244329340413e-10,3.053937830608445e-12,9.946432705438678e-11,9.667392359361317e-21,3.2556416815710424e-15,2.933965480738563e-15,7.225897842977057e-18,1.9908160018317825e-20,1.0061117020308691e-15,9.07358092484667e-16,8.436879873861394e-22,7.522367445879554e-24,4.2662882426235383e-32,1.8831305785789058e-27,2.396661794960885e-18,4.505121891756478e-16,1.3690480676104796e-29,1.0297634052137601e-31
1.0324081415649136e-09,0.11224537201106805,0.0,0.0,0.0,0.0,0.3299999993774675,0.6699999994760695,6.193337833480973e-10,5.207301359564277e-10,3.1953053424350583e-12,1.0180033211426851e-10,1.0114899012284188e-20,3.5222885549162338e-15,3.1847920648082826e-15,8.084172527698941e-18,2.1903889830964694e-20,1.0833117488819304e-15,9.68266286895632e-16,9.47243086011227e-22,8.73259542540938e-24,4.952668455888421e-32,2.2591989663489824e-27,2.550915778312427e-18,4.847287174142361e-16,1.5547276625838037e-29,1.2073005599864471e-31
1.1439039857013828e-09,0.11224537201187725,0.0,0.0,0.0,0.0,0.3299999993102364,0.669999999416047,6.860716553876053e-10,5.802591171835956e-10,3.687462867410249e-12,1.0950194909728447e-10,1.1672850864429043e-20,4.5296952790629795e-15,4.138277093733139e-15,1.1582963272314754e-17,2.978054670082644e-20,1.3730329937608204e-15,1.1934208887063139e-15,1.3720328791929092e-21,1.4085055489357867e-23,7.988316715758595e-32,4.0504931977152464e-27,3.1024613841873754e-18,6.11099267803909e-16,2.3401234528240316e-29,2.0131888033404415e-31
