Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19)
2.2360805129039068e-11,0.11224537200032883,0.0,0.0,0.0,0.0,0.32999999998651663,0.669999999989446,1.3480177371304226e-11,1.055095727556917e-11,3.1642243859369273e-15,2.932384379869199e-12,5.974820638284928e-20
2.8029784959195414e-11,0.11224537200041133,0.0,0.0,0.0,0.0,0.3299999999830983,0.6699999999867632,1.6896774971302672e-11,1.32319433411504e-11,4.9046593439318e-15,3.669736403818604e-12,1.1432239954339798e-19
3.936774461950811e-11,0.11224537200057554,0.0,0.0,0.0,0.0,0.3299999999762616,0.6699999999813891,2.3728854977446762e-11,1.8601364784931275e-11,9.500634871405457e-15,5.136991138953254e-12,3.1156636250082467e-19
5.0705704279820803e-11,0.1122453720007384,0.0,0.0,0.0,0.0,0.3299999999694249,0.6699999999760038,3.0559477877388095e-11,2.3980673836598922e-11,1.5553573269429227e-14,6.594358266006327e-12,6.519477188342923e-19
6.20436639401335e-11,0.11224537200090007,0.0,0.0,0.0,0.0,0.3299999999625882,0.6699999999706072,3.7388685775372866e-11,2.936980674780681e-11,2.302133398022886e-14,8.041901533323628e-12,1.171777346865194e-18
7.338162360044619e-11,0.11224537200106048,0.0,0.0,0.0,0.0,0.3299999999557515,0.6699999999651995,4.421652079966694e-11,3.4768698045776205e-11,3.1861752491290205e-14,9.479686413683185e-12,1.907301157599832e-18
9.605754292107158e-11,0.11224537200137755,0.0,0.0,0.0,0.0,0.3299999999420782,0.669999999954351,5.786822157752178e-11,4.559551536844446e-11,5.3511084345741634e-14,1.232622144708152e-11,4.1536584613421224e-18
9.999999999999999e-11,0.11224537200168977,0.0,0.0,0.0,0.0,0.3299999999397009,0.6699999999524605,6.024119754914253e-11,4.748179674896674e-11,5.77967541094243e-14,1.2817202219630748e-11,4.6653455238162194e-18
1.1873346224169696e-10,0.11224537200168977,0.0,0.0,0.0,0.0,0.32999999992840484,0.6699999999434593,7.151489692970176e-11,5.646060803986428e-11,8.018457834573892e-14,1.513448113093513e-11,7.66275191433713e-18
1.4140938156232235e-10,0.11224537200199726,0.0,0.0,0.0,0.0,0.3299999999147315,0.6699999999325251,8.515686220742414e-11,6.73634375930678e-11,1.1156661329187835e-13,1.7905003932206123e-11,1.2704557892814851e-17
1.8676122020357312e-10,0.1122453720025982,0.0,0.0,0.0,0.0,0.3299999998873848,0.6699999999105324,1.1242773349259004e-10,8.928027319790601e-11,1.8738444129848594e-13,2.3334873033898634e-11,2.829791610592497e-17
2.27546534927162e-10,0.11224537200312325,0.0,0.0,0.0,0.0,0.32999999986279166,0.6699999998906169,1.3693922460416637e-10,1.0911412962452821e-10,2.690083168748188e-13,2.8094153101818017e-11,4.9805305064359695e-17
2.6833184965075087e-10,0.1122453720036342,0.0,0.0,0.0,0.0,0.3299999998381985,0.6699999998705756,1.6143936285261654e-10,1.2906233532474946e-10,3.6197679724123397e-13,3.2739083893472724e-11,7.956836438774685e-17
3.091171643743397e-10,0.11224537200413148,0.0,0.0,0.0,0.0,0.32999999981360534,0.6699999998504127,1.859293386930733e-10,1.491221294733188e-10,4.650984269592877e-13,3.727242623408539e-11,1.1858737159542686e-16
3.4990247909792856e-10,0.1122453720046155,0.0,0.0,0.0,0.0,0.3299999997890122,0.6699999998301317,2.1041021463948608e-10,1.6929081800118647e-10,5.773098054894192e-13,4.16968741926784e-11,1.6774888943660404e-16
