Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6)
3.6416964845705823e-09,0.1122453720203729,0.0,0.0,0.0,0.0,0.3299999978040941,0.6699999979855958,2.180646009679545e-09,1.999143888165611e-09,1.5260504198119887e-11,1.9676262571205432e-10
3.719530791266866e-09,0.11224537202046393,0.0,0.0,0.0,0.0,0.3299999977571608,0.6699999979394738,2.227216342886761e-09,2.0449028316724345e-09,1.5623478245762977e-11,1.9793698946009024e-10
3.797365097963149e-09,0.11224537202054925,0.0,0.0,0.0,0.0,0.32999999771022753,0.6699999978933007,2.273786625780292e-09,2.0907131229611994e-09,1.598650259483705e-11,1.9906000541392946e-10
3.875199404659433e-09,0.11224537202062909,0.0,0.0,0.0,0.0,0.32999999766329424,0.6699999978470784,2.3203569383041102e-09,2.1365723994691102e-09,1.6349497301365427e-11,2.0013403613636583e-10
3.9530337113557165e-09,0.11224537202070367,0.0,0.0,0.0,0.0,0.32999999761636095,0.6699999978008095,2.3669273135771484e-09,2.18247841575629e-09,1.6712429246413967e-11,2.01161327067272e-10
4.030868018052e-09,0.11224537202077323,0.0,0.0,0.0,0.0,0.32999999756942766,0.669999997754496,2.413497700148245e-09,2.2284290514418085e-09,1.7075349881141628e-11,2.0214399858757853e-10
4.1087023247482836e-09,0.11224537202083798,0.0,0.0,0.0,0.0,0.32999999752249437,0.6699999977081398,2.46006803687176e-09,2.2744222895684944e-09,1.743832035118786e-11,2.0308406765445384e-10
4.186536631444567e-09,0.1122453720208982,0.0,0.0,0.0,0.0,0.3299999974755611,0.6699999976617428,2.5066383320447683e-09,2.3204561898283127e-09,1.780133235947592e-11,2.0398347457593112e-10
4.296640932523981e-09,0.11224537202097598,0.0,0.0,0.0,0.0,0.3299999974091693,0.6699999975960439,2.572516610927434e-09,2.3856415159605096e-09,1.831484396420813e-11,2.0518993893113268e-10
4.406745233603394e-09,0.11224537202104565,0.0,0.0,0.0,0.0,0.3299999973427775,0.6699999975302724,2.6383949211141176e-09,2.4508995228909956e-09,1.8828324240375548e-11,2.063237224634968e-10
4.516849534682808e-09,0.1122453720211076,0.0,0.0,0.0,0.0,0.32999999727638574,0.669999997464433,2.704273269826748e-09,2.516225559541975e-09,1.9341765966047098e-11,2.073894762508192e-10
4.6269538357622216e-09,0.11224537202116247,0.0,0.0,0.0,0.0,0.32999999720999396,0.6699999973985299,2.7701516255767373e-09,2.5816152903377423e-09,1.9855200629808912e-11,2.0839153586880476e-10
4.7804296703123754e-09,0.11224537202122781,0.0,0.0,0.0,0.0,0.32999999711744954,0.6699999973065678,2.8619803260283644e-09,2.672861535186043e-09,2.0570890693593037e-11,2.0968968153591493e-10
4.933905504862529e-09,0.11224537202128135,0.0,0.0,0.0,0.0,0.3299999970249051,0.6699999972145002,2.9538090063053218e-09,2.764213491854556e-09,2.1286600884348626e-11,2.1088211533511324e-10
5.087381339412683e-09,0.11224537202132402,0.0,0.0,0.0,0.0,0.3299999969323607,0.6699999971223362,3.0456376737993837e-09,2.85566187323584e-09,2.2002323810301774e-11,2.1197812437384475e-10
5.240857173962837e-09,0.11224537202135683,0.0,0.0,0.0,0.0,0.3299999968398163,0.6699999970300842,3.1374663404027647e-09,2.947198200801941e-09,2.2718047579240388e-11,2.129861871800638e-10
5.394333008512991e-09,0.11224537202138064,0.0,0.0,0.0,0.0,0.3299999967472719,0.6699999969377517,3.2292950098760825e-09,3.038814739386953e-09,2.343376843055168e-11,2.1391403891968076e-10
5.547808843063145e-09,0.11224537202139623,0.0,0.0,0.0,0.0,0.32999999665472746,0.6699999968453465,3.3211236799476966e-09,3.1305044360254516e-09,2.4149488635874843e-11,2.1476873255811974e-10
5.701284677613299e-09,0.11224537202140436,0.0,0.0,0.0,0.0,0.32999999656218304,0.6699999967528744,3.4129523483083414e-09,3.222260862774981e-09,2.4865210504480335e-11,2.1555669603783902e-10
6.0082363467136065e-09,0.11224537202140067,0.0,0.0,0.0,0.0,0.32999999637709426,0.6699999965677528,3.5966096758293106e-09,3.4059509602948406e-09,2.6296663298946826e-11,2.169553788334163e-10
6.315188015813914e-09,0.11224537202137425,0.0,0.0,0.0,0.0,0.3299999961920055,0.669999996382428,3.78026700527729e-09,3.5898440341730365e-09,2.7728113975647855e-11,2.181510850799024e-10
6.622139684914222e-09,0.11224537202132881,0.0,0.0,0.0,0.0,0.3299999960069167,0.6699999961969348,3.9639243456320445e-09,3.773905949567936e-09,2.915955355479735e-11,2.1917794961890632e-10
6.92909135401453e-09,0.11224537202126764,0.0,0.0,0.0,0.0,0.32999999582182793,0.6699999960113009,4.147581688673185e-09,3.958108304660601e-09,3.059099025673971e-11,2.2006437426932408e-10
7.2360430231148375e-09,0.11224537202119335,0.0,0.0,0.0,0.0,0.32999999563673915,0.6699999958255503,4.331239025070109e-09,4.142427488303223e-09,3.202243341201126e-11,2.2083397017889588e-10
7.542994692215145e-09,0.11224537202110814,0.0,0.0,0.0,0.0,0.3299999954516504,0.6699999956397026,4.514896356636327e-09,4.32684387011613e-09,3.3453881207012943e-11,2.215063677272103e-10
7.849946361315453e-09,0.11224537202101387,0.0,0.0,0.0,0.0,0.3299999952665616,0.6699999954537738,4.698553689685005e-09,4.511341116949571e-09,3.4885327328474415e-11,2.2209790006390825e-10
8.15689803041576e-09,0.11224537202091202,0.0,0.0,0.0,0.0,0.3299999950814728,0.6699999952677778,4.8822110253295125e-09,4.695905634410491e-09,3.631677066289535e-11,2.2262216158191539e-10
8.463849699516069e-09,0.11224537202080391,0.0,0.0,0.0,0.0,0.32999999489638404,0.6699999950817257,5.065868360379934e-09,4.880526111967204e-09,3.774821440004314e-11,2.2309046281277218e-10
8.770801368616376e-09,0.11224537202069056,0.0,0.0,0.0,0.0,0.32999999471129526,0.6699999948956272,5.249525693357451e-09,5.065193143329196e-09,3.917966001856957e-11,2.23512210046825e-10
9.077753037716684e-09,0.11224537202057289,0.0,0.0,0.0,0.0,0.3299999945262065,0.6699999947094901,5.433183025783296e-09,5.24989890514947e-09,4.061110599706442e-11,2.2389522663088972e-10
9.384704706816992e-09,0.1122453720204516,0.0,0.0,0.0,0.0,0.3299999943411177,0.6699999945233206,5.616840359018185e-09,5.434636888186972e-09,4.2042550974609313e-11,2.2424602180582128e-10
9.6916563759173e-09,0.1122453720203273,0.0,0.0,0.0,0.0,0.32999999415602893,0.6699999943371245,5.800497692573422e-09,5.619401675946982e-09,4.3473995439695285e-11,2.2457001206613334e-10
9.998608045017607e-09,0.11224537202020046,0.0,0.0,0.0,0.0,0.32999999397094015,0.6699999941509059,5.98415502549667e-09,5.804188762277718e-09,4.490544034443358e-11,2.2487170356338414e-10
9.999999999999999e-09,0.1122453720200716,0.0,0.0,0.0,0.0,0.3299999939701008,0.6699999941500614,5.984987869115717e-09,5.805026773901982e-09,4.4911931618412e-11,2.2487302683214478e-10
1.0305559714117915e-08,0.1122453720200716,0.0,0.0,0.0,0.0,0.3299999937858514,0.6699999939646688,6.16781235779438e-09,5.988994399124707e-09,4.633688568214517e-11,2.2515484435181558e-10
1.0612511383218223e-08,0.11224537201994095,0.0,0.0,0.0,0.0,0.3299999936007626,0.6699999937784162,6.351469690034231e-09,6.173815468747156e-09,4.776833088490457e-11,2.2542255217197714e-10
1.091946305231853e-08,0.11224537201980886,0.0,0.0,0.0,0.0,0.3299999934156738,0.6699999935921508,6.535127022381438e-09,6.358649377220185e-09,4.919977578724935e-11,2.2567742094849988e-10
1.1226414721418838e-08,0.11224537201967562,0.0,0.0,0.0,0.0,0.32999999323058504,0.6699999934058748,6.718784354547535e-09,6.543493966355584e-09,5.0631220677386104e-11,2.2592160886933578e-10
1.1533366390519146e-08,0.11224537201954139,0.0,0.0,0.0,0.0,0.32999999304549626,0.66999999321959,6.902441686347949e-09,6.728347440738898e-09,5.206266573962562e-11,2.2615691134867524e-10
1.1840318059619454e-08,0.11224537201940628,0.0,0.0,0.0,0.0,0.3299999928604075,0.6699999930332978,7.086099017898785e-09,6.913208306882985e-09,5.349411085759126e-11,2.2638482187338877e-10
