Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75)
3.4567147640774667e-09,0.11224537202013352,0.0,0.0,0.0,0.0,0.3299999979156236,0.6699999980949476,2.0699370686710193e-09,1.8905960577213626e-09,1.438680116847218e-11,1.937510512612505e-10,4.554220370502808e-20,5.813885772691007e-14,5.2701784551231375e-14,4.831149478865977e-16,8.185993493064483e-19,5.579114491978918e-15,1.1530598688135829e-14,5.685747096419436e-20,1.8998288203412946e-21,1.750327489546162e-24
3.6312457198674884e-09,0.11224537202036218,0.0,0.0,0.0,0.0,0.3299999978103818,0.6699999979917377,2.1743596691136238e-09,1.9929847901196818e-09,1.5199919519390605e-11,1.9660088407521048e-10,4.8116175316767855e-20,6.474606665688493e-14,5.874178557037469e-14,5.669022735618377e-16,9.488514056369537e-19,6.174722587467142e-15,1.276014548985668e-14,6.668401624865952e-20,2.347574686790796e-21,2.2778871717607215e-24
3.80577667565751e-09,0.1122453720205603,0.0,0.0,0.0,0.0,0.32999999770514,0.6699999978882553,2.278781992733937e-09,2.0956457533676084e-09,1.601305864440147e-11,1.9917838814461273e-10,5.069021269032312e-20,7.171282250429861e-14,6.511377924054315e-14,6.599493477295756e-16,1.092234550943463e-18,6.80138738246833e-15,1.4053589959098739e-14,7.758031359340782e-20,2.8703719306325462e-21,2.9261396967563297e-24
3.980307631447532e-09,0.11224537202073089,0.0,0.0,0.0,0.0,0.3299999975998981,0.6699999977845271,2.3832040504641913e-09,2.198551890589358e-09,1.6826208299182106e-11,2.0151062009863121e-10,5.326428339659866e-20,7.903897467733953e-14,7.181777353689201e-14,7.627466067692396e-16,1.2493793615108007e-18,7.459148697858029e-15,1.5410992914850214e-14,8.959967364894036e-20,3.476138652373122e-21,3.714745017212428e-24
4.154838587237554e-09,0.11224537202087671,0.0,0.0,0.0,0.0,0.3299999974946561,0.6699999976805779,2.487625847875692e-09,2.301678833004164e-09,1.7639363588272283e-11,2.0362194849594428e-10,5.583837193868435e-20,8.672436041695519e-14,7.885377181940445e-14,8.757842776842684e-16,1.4209164096319871e-18,8.148038327100643e-15,1.6832398556636117e-14,1.027950273112993e-19,4.173172349358786e-21,4.6653795096587765e-24
4.329369543027576e-09,0.11224537202100014,0.0,0.0,0.0,0.0,0.32999999738941405,0.6699999975764294,2.592047387584295e-09,2.405004633189095e-09,1.8452522559125675e-11,2.0553432055948806e-10,5.841247213566291e-20,9.476880761949346e-14,8.622177490973903e-14,9.995523623339842e-16,1.6074762640302852e-18,8.868080838094492e-15,1.8317836131230788e-14,1.1721892794769292e-19,4.9701467864010966e-21,5.801829627741101e-24
4.503900498817598e-09,0.11224537202110349,0.0,0.0,0.0,0.0,0.32999999728417184,0.6699999974721011,2.696468671735092e-09,2.5085095244326764e-09,1.9265683716736453e-11,2.072675028206381e-10,6.098657925499246e-20,1.0317213765586777e-13,9.392178323666343e-14,1.134540622358998e-15,1.8096894896403317e-18,9.619294296584212e-15,1.9867321436315522e-14,1.329235535647967e-19,5.876108891417449e-21,7.150084774738841e-24
4.67843145460762e-09,0.11224537202118876,0.0,0.0,0.0,0.0,0.32999999717892964,0.6699999973676113,2.800889702673451e-09,2.6121757038559143e-09,2.0078845353335904e-11,2.0883929799620243e-10,6.356068789061558e-20,1.1193416655349551e-13,1.0195379741465466e-13,1.2812385695213158e-15,2.0281866469959102e-18,1.0401690918116571e-14,2.148085817558165e-14,1.4996070957682313e-19,6.900475665967096e-21,8.738429392279153e-24
4.852962410397642e-09,0.11224537202125766,0.0,0.0,0.0,0.0,0.3299999970736874,0.6699999972629757,2.9053104823540525e-09,2.7159871372117763e-09,2.0892006141052793e-11,2.1026574018715906e-10,6.613479383906627e-20,1.210547050247551e-13,1.1031781773225485e-13,1.4401354600236305e-15,2.2635982919083986e-18,1.1215277654817624e-14,2.3158439178330707e-14,1.6838183198649529e-19,8.053031113963243e-21,1.0597534253683637e-23
5.027493366187664e-09,0.11224537202131192,0.0,0.0,0.0,0.0,0.32999999696844495,0.669999997158209,3.009731011932566e-09,2.819929383229049e-09,2.1705165541654534e-11,2.1156127053319909e-10,6.87088953965329e-20,1.3053355859964377e-13,1.190138437983276e-13,1.6117202890920298e-15,2.516554975639203e-18,1.2060056723410374e-14,2.4900047496918817e-14,1.8823799048093566e-19,9.343923196292092e-21,1.27605469621688e-23
