Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255)
3.477445679360175e-10,0.1122453720045904,0.0,0.0,0.0,0.0,0.3299999997903135,0.6699999998312087,2.0911569587206504e-10,1.6822000152457857e-10,5.707045891290167e-13,4.146633592505646e-11,1.8065851099331945e-21,2.1823767085287452e-16,1.6906313482854816e-16,1.6549437149789952e-19,8.427735631548043e-22,8.521443112727881e-17,1.0681989748437772e-16,1.6201356436281005e-23,4.892403646614798e-26,2.7746112272851853e-34,4.266688808039667e-30,2.135098235303086e-19,3.106708497810922e-17,2.03662376004125e-31,5.383569525467899e-34,8.120422519479645e-41,2.5589436367748664e-35,8.663108829896742e-48,2.226383705366648e-52,3.545185948090875e-45,1.6889682054797336e-47,1.0094315762532423e-53,4.30226732839112e-61,7.4124705935178656e-65,5.148520864843563e-62
4.047883657751654e-10,0.11224537200524679,0.0,0.0,0.0,0.0,0.3299999997559166,0.6699999998026601,2.433426799601884e-10,1.9659847289028136e-10,7.404930230386263e-13,4.748464873997095e-11,2.3440587785659424e-21,3.2423453366868493e-16,2.584593754898112e-16,2.8543881949700394e-19,1.3275295058053733e-21,1.2136121571092644e-16,1.451146746697115e-16,2.891139227212986e-23,1.0151271223128366e-25,5.757098076830922e-34,1.0254310071329318e-29,3.1334334166450823e-19,4.675794887158737e-17,3.7233105064211235e-31,1.1399746173418561e-33,1.6850163025469207e-40,5.30990708318682e-35,2.4887021891619356e-47,8.290645113467658e-52,8.665115456777333e-45,4.753534117074028e-47,2.878738937973978e-53,1.674596157309174e-60,2.5280565416354188e-64,2.0272956248416024e-61
4.6183216361431327e-10,0.11224537200587917,0.0,0.0,0.0,0.0,0.3299999997215197,0.669999999773897,2.775558802820635e-10,2.2517810301648298e-10,9.240429225434594e-13,5.3301794830977095e-11,2.925095295911033e-21,4.56735254134243e-16,3.723647636825928e-16,4.585238129595503e-19,1.9696743303373676e-21,1.6515255089365103e-16,1.893772011480812e-16,4.7708082451768834e-23,1.9142547308285772e-25,1.0856391306865003e-33,2.2057809586803423e-29,4.335193185716867e-19,6.631302170510344e-17,6.293339419901623e-31,2.1940545428265055e-33,3.1776377473493537e-40,1.0013542703683392e-34,6.239604609575994e-47,2.5916530942616596e-51,1.8965161379060568e-44,1.1849288206604268e-46,7.253487718887184e-53,5.506143856522722e-60,7.216439660211545e-64,6.76451687535846e-61
5.188759614534611e-10,0.11224537200648838,0.0,0.0,0.0,0.0,0.32999999968712285,0.6699999997449274,3.117572591828754e-10,2.5395215398112785e-10,1.1193899610924285e-12,5.892451226430199e-11,3.5434764536121074e-21,6.174561011420904e-16,5.126803254199435e-16,6.969231718443303e-19,2.79119761178428e-21,2.1694797019785837e-16,2.3964569874017887e-16,7.410719252357239e-23,3.3498301108802543e-25,1.8998117019027638e-33,4.342559961848087e-29,5.734852381179293e-19,8.987280704183074e-17,1.0010226619161092e-30,3.91795820852592e-33,5.56088545718132e-40,1.752377845683722e-34,1.401926868198186e-46,7.010031959279848e-51,3.797827361667781e-44,2.661633923076608e-46,1.6431361598561894e-52,1.551748549416582e-59,1.814624556376871e-63,1.930602852462633e-60
5.75919759292609e-10,0.11224537200707534,0.0,0.0,0.0,0.0,0.329999999652726,0.6699999997157597,3.4594852233562734e-10,2.8291406172356615e-10,1.324826750749821e-12,6.435936525340589e-11,4.1937973998518545e-21,8.078904770692139e-16,6.810923837830262e-16,1.0135562046433746e-18,3.814203800467555e-21,2.770614910151637e-16,2.959572835181947e-16,1.0973161313843144e-22,5.520647015195876e-25,3.1309733709387653e-33,7.952611572016459e-29,7.324041145775947e-19,1.1752583075863621e-16,1.5170914735447998e-30,6.586146832241359e-33,9.1648295571075e-40,2.8880755299072245e-34,2.885349746645675e-46,1.698504246341846e-50,7.071372245816085e-44,5.488547723387323e-46,3.411354043169034e-52,3.8935106539855196e-59,4.17404177957861e-63,4.901798765248432e-60
6.329635571317568e-10,0.112245372007641,0.0,0.0,0.0,0.0,0.3299999996183291,0.6699999996864018,3.80131116762283e-10,3.120575087668409e-10,1.5389048225060486e-12,6.961267143323801e-11,4.871472908159419e-21,1.0293069365618479e-15,8.790667190412711e-16,1.4219564925875891e-18,5.060733981035444e-21,3.4576108358244937e-16,3.58347541124114e-16,1.5629582575342564e-22,8.666797027968523e-25,4.9152922778480155e-33,1.3738948671987145e-28,9.092498766093612e-19,1.493123191155502e-16,2.210756645528604e-30,1.0542769702223221e-32,1.4388115169779971e-39,4.534071316250219e-34,5.5391376299748055e-46,3.773362756556655e-50,1.2416436289131196e-43,1.056605663345844e-45,6.603910751451121e-52,8.927216646206697e-59,8.890110423491377e-63,1.1364438010226453e-59
6.900073549709046e-10,0.1122453720081861,0.0,0.0,0.0,0.0,0.3299999995839321,0.6699999996568612,4.1430628574506384e-10,3.4137637166052494e-10,1.7603796581868697e-12,7.46905544158815e-11,5.5725633722069016e-21,1.2827968872128136e-15,1.107894981648228e-15,1.936208569400609e-18,6.5528685363287864e-21,4.2327843193309466e-16,4.2685083948761726e-16,2.1559608867959863e-22,1.306915480629795e-24,7.41206691316399e-33,2.2613554425164157e-28,1.1028688255438613e-18,1.852348467338226e-16,3.118615319485755e-30,1.6204801228761476e-32,2.169710785513689e-39,6.8373298012891065e-34,1.0045220555038075e-45,7.816108245254771e-50,2.076463794576123e-43,1.9216920617527535e-45,1.2067025936862669e-51,1.9041316993422934e-58,1.770970860337673e-62,2.4501985278144585e-59
7.470511528100525e-10,0.11224537200871146,0.0,0.0,0.0,0.0,0.3299999995495352,0.6699999996271445,4.484750826722976e-10,3.7086476264474825e-10,1.98819682982185e-12,7.959890212349367e-11,6.2937309290441575e-21,1.5692864228454881e-15,1.3687032322558335e-15,2.570823509424664e-18,8.312609659238019e-21,5.098112563177992e-16,5.01500087492118e-16,2.8949484816727483e-22,1.9053475236880062e-24,1.0806049865884575e-32,3.5745311123531694e-28,1.3120594447960963e-18,2.252641097261168e-16,4.280721780108973e-30,2.4073646593516717e-32,3.1632697490490256e-39,9.968300282297183e-34,1.7371421791360707e-45,1.5266964721378076e-49,3.334113597350787e-43,3.3338156367836333e-45,2.1017885570169826e-51,3.824229273382344e-58,3.3386863209940414e-62,4.9730261495899206e-59
8.040949506492003e-10,0.11224537200921783,0.0,0.0,0.0,0.0,0.32999999951513825,0.6699999995972585,4.826384161712457e-10,4.005169740082709e-10,2.2214468202450324e-12,8.434342242961866e-11,7.032096440658942e-21,1.8895755773007525e-15,1.6624908372738393e-15,3.340712373645139e-18,1.0361998345000846e-20,6.055313666822383e-16,5.823270640326084e-16,3.799156901270012e-22,2.6989564789341072e-24,1.5306977855014555e-32,5.458354075941576e-28,1.5356027797611984e-18,2.6934695037438366e-16,5.740478442808318e-30,3.4738073941206593e-32,4.4808922376276464e-39,1.4120483175110726e-33,2.885159712420869e-45,2.8373186171331277e-49,5.170444126851562e-43,5.5549805531570507e-45,3.514194450044432e-51,7.299361845908252e-58,6.014464406157489e-62,9.591380709012938e-59
8.611387484883481e-10,0.11224537200970594,0.0,0.0,0.0,0.0,0.3299999994807413,0.6699999995672098,5.167970602581419e-10,4.303275086606095e-10,2.459354862215222e-12,8.89296125849186e-11,7.785207329026018e-21,2.2443470126796524e-15,1.990136809421873e-15,4.261091272285928e-18,1.272302309821283e-20,7.105863659327903e-16,6.693622416618217e-16,4.88831250735797e-22,3.7294458732306756e-24,2.1151373722996497e-32,8.09083718150715e-28,1.772307958099983e-18,3.1741052168200096e-16,7.544691416375721e-30,4.8885287066558694e-32,6.191824543098828e-39,1.9512092694132276e-33,4.627626303005633e-45,5.050421288537429e-49,7.78172566749413e-43,8.940861757724275e-45,5.673223413283985e-51,1.3331694349467534e-57,1.0409283567159149e-61,1.7699374084715856e-58
9.752263441666438e-10,0.11224537201062985,0.0,0.0,0.0,0.0,0.32999999941194746,0.6699999995066463,5.851028868130384e-10,4.904023935820756e-10,2.946535984448743e-12,9.764815732041745e-11,9.327405902013887e-21,3.0596402480961313e-15,2.750076429561171e-15,6.615573785681725e-18,1.846811247359434e-20,9.49203155568313e-16,8.621738576147058e-16,7.702573331845086e-22,6.691523853039688e-24,3.7950757663789695e-32,1.6503105788907122e-27,2.2806509441086407e-18,4.2512266311317114e-16,1.2390441840247207e-29,9.0907047057087e-32,1.1109864903122265e-38,3.501017131754023e-33,1.09254754418516e-44,1.4433595725769097e-48,1.635810677182418e-42,2.1268812243021066e-44,1.3564121841177865e-50,4.010230737268362e-57,2.82600261217302e-61,5.4395043823986186e-58
9.999999999999999e-10,0.11224537201140529,0.0,0.0,0.0,0.0,0.32999999939700914,0.6699999994934169,5.999335278982061e-10,5.035242956291294e-10,3.0539984578617718e-12,9.946446436745051e-11,9.667584279025984e-21,3.2556024673232063e-15,2.9339380447623814e-15,7.226932485807414e-18,1.9909212494019086e-20,1.0061048465761349e-15,9.073611758214142e-16,8.438259825638267e-22,7.525589499203128e-24,4.268115467966716e-32,1.9048443922872198e-27,2.3965377705334596e-18,4.504910662724443e-16,1.3693810650435966e-29,1.0302254285935898e-31,1.2494705695492353e-38,3.937418119796222e-33,1.2993083957983145e-44,1.7839128495356382e-48,1.900362949476726e-42,2.5338044989504253e-44,1.617474305554431e-50,5.011157333990423e-57,3.4585188234468525e-61,6.829393058237846e-58
1.07790518027711e-09,0.11224537201140529,0.0,0.0,0.0,0.0,0.32999999935003294,0.6699999994516393,6.465678589831528e-10,5.449596716929035e-10,3.3951579975147874e-12,1.050049439797687e-10,1.0747543627966002e-20,3.916437217371504e-15,3.5568165311246844e-15,9.407274073644364e-18,2.4925360939343933e-20,1.1970033919350976e-15,1.0572197844120475e-15,1.1074394053054683e-21,1.0683959340124927e-23,6.059383947242196e-32,2.9223255386613264e-27,2.7721790051584073e-18,5.346863238918435e-16,1.8467961865775455e-29,1.497586950675131e-31,1.773873842418496e-38,5.589955701042666e-33,2.1784392342354316e-44,3.343174440710918e-48,2.9740685959843365e-42,4.271742144529404e-44,2.734268206358445e-50,9.698033106976915e-57,6.309252813260491e-61,1.3401556986836252e-57
1.1805840163875761e-09,0.11224537201213096,0.0,0.0,0.0,0.0,0.3299999992881184,0.6699999993961895,7.080254694339369e-10,5.999523661958644e-10,3.851032775086439e-12,1.11926294355826e-10,1.2190640469779572e-20,4.891900988253192e-15,4.4830728381702166e-15,1.2934257378977236e-17,3.273462188155605e-20,1.4765834941389686e-15,1.2728045987494141e-15,1.53701377593527e-21,1.63137970011105e-23,9.252348429848835e-32,4.9023281837813545e-27,3.290197301860521e-18,6.554933712421058e-16,2.6542922847663357e-29,2.357240143329949e-31,2.7086389769578285e-38,8.535656064372807e-33,4.0709507703624706e-44,7.129916137568896e-48,5.1180333064287006e-42,8.041139009940762e-44,5.162473299047368e-50,2.149569301533905e-56,1.3038629685826295e-60,3.022967219387208e-57
1.2832628524980423e-09,0.11224537201281012,0.0,0.0,0.0,0.0,0.3299999992262039,0.6699999993403244,7.694774746205533e-10,6.553544759610092e-10,4.312402317961399e-12,1.1843821036929067e-10,1.3651131362254842e-20,5.987601684136286e-15,5.531390528008397e-15,1.7292460657794267e-17,4.2024279631322285e-20,1.7883029563245915e-15,1.5090682027005006e-15,2.0716762366831594e-21,2.4003414288703928e-23,1.36135225780131e-31,7.86332821531036e-27,3.829980545133032e-18,7.868297533192933e-16,3.7009453040954023e-29,3.5723292571358635e-31,3.985416867196357e-38,1.2559133053152122e-32,7.214579628625919e-44,1.424103940494376e-47,8.415576157524995e-42,1.4353069575262947e-43,9.238091808031147e-50,4.452287292039067e-56,2.544134725596999e-60,6.36843869495852e-57
