Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14)
3.324249390688633e-09,0.1122453720199368,0.0,0.0,0.0,0.0,0.32999999799551005,0.6699999981730806,1.990671529555738e-09,1.8131012031546372e-09,1.3769605870142505e-11,1.913878929212046e-10,4.3588437473181235e-20,4.795915014771704e-14,4.833911913120752e-14,3.7996898349048076e-16,7.281122596071877e-19
3.47943715323251e-09,0.11224537202016438,0.0,0.0,0.0,0.0,0.32999999790193335,0.6699999980815265,2.0835201525954515e-09,1.9039273124106854e-09,1.449258002763235e-11,1.941384500173452e-10,4.587705259927211e-20,5.302808941296768e-14,5.346928770482986e-14,4.411982918621805e-16,8.3482802737358e-19
3.6346249157763864e-09,0.11224537202036544,0.0,0.0,0.0,0.0,0.32999999780835665,0.6699999979897361,2.1763684970747282e-09,1.994989204187278e-09,1.5215576507035167e-11,1.966532245442726e-10,4.816573838690893e-20,5.835319863776421e-14,5.886193092161021e-14,5.087322838460192e-16,9.514917305060646e-19
3.789812678320263e-09,0.11224537202054251,0.0,0.0,0.0,0.0,0.32999999771477984,0.6699999978977309,2.269216571683487e-09,2.0862659300047827e-09,1.5938586921573734e-11,1.9895316498158676e-10,5.045446828718199e-20,6.393417376071596e-14,6.451705530278361e-14,5.828815420676417e-16,1.0785466496691537e-18
3.94500044086414e-09,0.11224537202069748,0.0,0.0,0.0,0.0,0.3299999976212031,0.6699999978055294,2.362064381488861e-09,2.1777384027788838e-09,1.6661606510024583e-11,2.010573584135773e-10,5.274322722811685e-20,6.977070796000179e-14,7.043466424075437e-14,6.639562807525701e-16,1.2164360625595031e-18
4.100188203408017e-09,0.11224537202083253,0.0,0.0,0.0,0.0,0.3299999975276263,0.6699999977131494,2.454911930310163e-09,2.269389231214588e-09,1.738463175969617e-11,2.0298319613522024e-10,5.503200409005119e-20,7.586249371076614e-14,7.661476005102031e-14,7.522663402541721e-16,1.3656032441297858e-18
4.255375965951894e-09,0.1122453720209493,0.0,0.0,0.0,0.0,0.32999999743404956,0.6699999976206068,2.547759221330736e-09,2.3612025690533015e-09,1.81076597940437e-11,2.0474652440509656e-10,5.732078976708816e-20,8.220922331481648e-14,8.305734450080364e-14,8.481211859871745e-16,1.5264914661113182e-18
4.410563728495771e-09,0.11224537202104941,0.0,0.0,0.0,0.0,0.3299999973404728,0.6699999975279154,2.640606256749522e-09,2.453163977883172e-09,1.8830688721405387e-11,2.0636178163505242e-10,5.960957827104457e-20,8.881058859825376e-14,8.976241850800916e-14,9.51829909755403e-16,1.6995439965192681e-18
4.7209392535835245e-09,0.11224537202120562,0.0,0.0,0.0,0.0,0.3299999971533193,0.6699999973421396,2.826299566096685e-09,2.6374795835512887e-09,2.027674517049162e-11,2.0919950794028054e-10,6.418715082938657e-20,1.0277599237520135e-13,1.0396003586488235e-13,1.1840434896810099e-15,2.0839150378699477e-18
5.000277226162503e-09,0.11224537202130289,0.0,0.0,0.0,0.0,0.32999999698488097,0.6699999971745543,2.9934226794238047e-09,2.8037498274366333e-09,2.1578193042228322e-11,2.113672626641545e-10,6.830695684913251e-20,1.1621261465247406e-13,1.176356037846616e-13,1.4229891321875054e-15,2.4758977027425687e-18
5.263608188422766e-09,0.11224537202136284,0.0,0.0,0.0,0.0,0.3299999968260948,0.6699999970162888,3.150968325434768e-09,2.960774590592753e-09,2.28050600714975e-11,2.1312843113429404e-10,7.219067304123883e-20,1.2963037304090654e-13,1.3130627125333958e-13,1.6758982124331101e-15,2.8877749236140832e-18
5.5269391506830296e-09,0.11224537202139667,0.0,0.0,0.0,0.0,0.32999999666730856,0.6699999968577895,3.3085132488824682e-09,3.1180325792417688e-09,2.4031922023473073e-11,2.1465637397113512e-10,7.607437316089466e-20,1.4377554495059154e-13,1.4573272165846453e-13,1.957176707872965e-15,3.3429687329443666e-18
5.790270112943293e-09,0.11224537202140808,0.0,0.0,0.0,0.0,0.3299999965085223,0.6699999966990904,3.466057452230168e-09,3.275489742817708e-09,2.5258777929031433e-11,2.159851417406604e-10,7.99580541402736e-20,1.5864663192150255e-13,1.6091495237614164e-13,2.26832045463905e-15,3.8436447036680884e-18
6.0536010752035565e-09,0.11224537202140043,0.0,0.0,0.0,0.0,0.329999996349736,0.6699999965402204,3.6236009366905552e-09,3.4331170029592474e-09,2.648562806760624e-11,2.1714381280419527e-10,8.384171686394165e-20,1.7424213750295579e-13,1.7685295971178836e-13,2.6108222088325025e-15,4.3919683789105176e-18
6.31693203746382e-09,0.11224537202137648,0.0,0.0,0.0,0.0,0.3299999961909497,0.6699999963812043,3.781143703251671e-09,3.590889515886955e-09,2.771247294038054e-11,2.181572309411689e-10,8.772536291842747e-20,1.9056056813618157e-13,1.9354673978649509e-13,2.9861716503134967e-15,4.990105272108382e-18
6.5802629997240835e-09,0.1122453720213386,0.0,0.0,0.0,0.0,0.32999999603216335,0.6699999962220636,3.938685753459721e-09,3.748786061636484e-09,2.8939312486796672e-11,2.1904661611591137e-10,9.160899211203153e-20,2.076004338262593e-13,2.1099628921334547e-13,3.395855387086101e-15,5.6402208675831335e-18
6.843593961984347e-09,0.11224537202128883,0.0,0.0,0.0,0.0,0.32999999587337703,0.669999996062816,4.0962270891281794e-09,3.906788523968014e-09,3.016614637571278e-11,2.1983008456821562e-10,9.549260339650183e-20,2.25360247883711e-13,2.2920160484606527e-13,3.841356962354323e-15,6.344480620761435e-18
7.10692492424461e-09,0.11224537202122892,0.0,0.0,0.0,0.0,0.3299999957145906,0.6699999959034773,4.253767711809021e-09,4.064881436756215e-09,3.139297453463254e-11,2.2052310242337583e-10,9.93761965423462e-20,2.438385264599995e-13,2.4816268332215923e-13,4.324156862159653e-15,7.105049958026115e-18
7.370255886504874e-09,0.11224537202116035,0.0,0.0,0.0,0.0,0.3299999955558041,0.6699999957440607,4.411307622802385e-09,4.223051591991903e-09,3.261979714004074e-11,2.2113887769052204e-10,1.0325977210823903e-19,2.6303378854957836e-13,2.6787952107123797e-13,4.845732521659534e-15,7.9240942766658e-18
7.633586848765137e-09,0.11224537202108435,0.0,0.0,0.0,0.0,0.3299999953970177,0.6699999955845773,4.5688468234732825e-09,4.381287708126404e-09,3.384661430043318e-11,2.2168869191827087e-10,1.0714333043763098e-19,2.829445562579993e-13,2.883521145886246e-13,5.40755833062528e-15,8.803778945057228e-18
7.8969178110254e-09,0.11224537202100202,0.0,0.0,0.0,0.0,0.32999999523823115,0.6699999954250369,4.726385315349291e-09,4.539580150554906e-09,3.5073425958526704e-11,2.2218217971135896e-10,1.1102687134918818e-19,3.0356935488027945e-13,3.09580460519754e-13,6.011105639474441e-15,9.746269302829903e-18
8.160248773285664e-09,0.11224537202091432,0.0,0.0,0.0,0.0,0.32999999507944455,0.6699999952654475,4.883923099967102e-09,4.6979206928125926e-09,3.630023204487479e-11,2.2262756753451644e-10,1.1491039462307292e-19,3.2490671276163454e-13,3.315645555275527e-13,6.657842765918181e-15,1.0753730660885855e-17
8.423579735545928e-09,0.11224537202082199,0.0,0.0,0.0,0.0,0.3299999949206579,0.6699999951058162,5.041460178766361e-09,4.85630231066115e-09,3.7527032584104075e-11,2.2303187962596653e-10,1.1879390033724226e-19,3.4695516119924067e-13,3.5430439620071813e-13,7.349235001477389e-15,1.1828328301414943e-17
8.686910697806191e-09,0.1122453720207257,0.0,0.0,0.0,0.0,0.3299999947618713,0.6699999949461491,5.198996553145901e-09,5.014719005496218e-09,3.8753827638663296e-11,2.234011145899624e-10,1.2267738868938183e-19,3.6971323448468034e-13,3.777999791022605e-13,8.086744617580123e-15,1.2972227478011028e-17
8.950241660066455e-09,0.11224537202062615,0.0,0.0,0.0,0.0,0.3299999946030846,0.6699999947864517,5.356532224544246e-09,5.1731656542813744e-09,3.9980617228227876e-11,2.237403954628136e-10,1.2656085974177533e-19,3.931794699674772e-13,4.0205130083906263e-13,8.871830871585307e-15,1.4187593415806372e-17
9.213572622326718e-09,0.11224537202052363,0.0,0.0,0.0,0.0,0.32999999444429784,0.6699999946267274,5.514067194432703e-09,5.3316378820934585e-09,4.120740133664741e-11,2.240540971675627e-10,1.304443134432975e-19,4.173524080428544e-13,4.270583580558668e-13,9.705950013012313e-15,1.5476591311532397e-17
9.476903584586982e-09,0.11224537202041869,0.0,0.0,0.0,0.0,0.329999994285511,0.6699999944669809,5.671601464265969e-09,5.490131953179295e-09,4.2434179961375556e-11,2.243459554572527e-10,1.3432774978588754e-19,4.422305921027283e-13,4.5282114739259205e-13,1.0590555289863768e-14,1.68413863335492e-17
9.740234546847245e-09,0.11224537202031168,0.0,0.0,0.0,0.0,0.32999999412672415,0.6699999943072148,5.829135035470359e-09,5.648644677516548e-09,4.366095312525558e-11,2.24619160354085e-10,1.382111688418572e-19,4.678125685193037e-13,4.793396654741453e-13,1.1527096954841611e-14,1.828414362192298e-17
9.999999999999999e-09,0.11224537202020284,0.0,0.0,0.0,0.0,0.3299999939700872,0.6699999941495958,5.9845349142917405e-09,5.805026752538423e-09,4.487111041587102e-11,2.2487304819508703e-10,1.4204198942178645e-19,4.937363121286002e-13,5.062395678769331e-13,1.2503255748332682e-14,1.97858636917867e-17
1.0003565509107509e-08,0.11224537202020284,0.0,0.0,0.0,0.0,0.3299999939679372,0.6699999941474322,5.986667909469019e-09,5.8071733309091e-09,4.488772085130522e-11,2.2487643605403605e-10,1.4209457068407062e-19,4.940968866607159e-13,5.06613908932174e-13,1.2517022271457983e-14,1.9807028288540693e-17
1.0530227433628036e-08,0.11224537201998079,0.0,0.0,0.0,0.0,0.3299999936503632,0.6699999938278256,6.3017315715655e-09,6.124269484568813e-09,4.7341240043191106e-11,2.25352140153987e-10,1.4986132289588242e-19,5.48766760567577e-13,5.634295585721047e-13,1.466279800452756e-14,2.3101840063570483e-17
1.1056889358148562e-08,0.11224537201975436,0.0,0.0,0.0,0.0,0.32999999333278895,0.6699999935081763,6.616792462031833e-09,6.4414055888673184e-09,4.979473756997137e-11,2.2578789304698517e-10,1.5762800652558988e-19,6.062286685865927e-13,6.23268069633367e-13,1.7039401046774267e-14,2.6743141993052707e-17
1.158355128266909e-08,0.11224537201952466,0.0,0.0,0.0,0.0,0.3299999930152145,0.6699999931884947,6.931850592268447e-09,6.758570804986489e-09,5.224821349299041e-11,2.2619453354985094e-10,1.6539462176738177e-19,6.664711129998173e-13,6.861294155217688e-13,1.9658302521951416e-14,3.074825396530619e-17
1.2110213207189616e-08,0.1122453720192925,0.0,0.0,0.0,0.0,0.3299999926976398,0.6699999928687891,7.2469059735562155e-09,7.075757225017493e-09,5.4701667945809126e-11,2.2657996957005902e-10,1.7316116904405322e-19,7.29482643374379e-13,7.520135696896724e-13,2.2530926315293394e-14,3.513449542489237e-17
1.2636875131710143e-08,0.11224537201905865,0.0,0.0,0.0,0.0,0.3299999923800647,0.669999992549065,7.561958617144255e-09,7.3929591022350675e-09,5.715510104654504e-11,2.2694994783147503e-10,1.8092764872951206e-19,7.952518564434166e-13,8.209205057112146e-13,2.5668649267797965e-14,3.991918537512011e-17
1.316353705623067e-08,0.11224537201882355,0.0,0.0,0.0,0.0,0.32999999206248953,0.6699999922293264,7.877008534287637e-09,7.710172261249776e-09,5.960851286031653e-11,2.2730864372210067e-10,1.88694061029894e-19,8.637673959444237e-13,8.928501973142787e-13,2.908280136985488e-14,4.511964238056956e-17
1.3690198980751197e-08,0.11224537201858752,0.0,0.0,0.0,0.0,0.329999991744914,0.6699999919095767,8.192055736196578e-09,8.027393655021033e-09,6.206190345030637e-11,2.2765910428106464e-10,1.9646040614520724e-19,9.35017952381649e-13,9.67802618335967e-13,3.2784665954318024e-14,5.0753184569498764e-17
1.4216860905271724e-08,0.11224537201835073,0.0,0.0,0.0,0.0,0.3299999914273381,0.6699999915898178,8.507100234002732e-09,8.344621053202878e-09,6.45152729116965e-11,2.2800355985284323e-10,2.0422668437675575e-19,1.0089922628041274e-12,1.045777742692865e-12,3.6785479888737303e-14,5.683712963617437e-17
1.4743522829792251e-08,0.11224537201811353,0.0,0.0,0.0,0.0,0.32999999110976197,0.6699999912700517,8.822142038784292e-09,8.66185282728055e-09,6.696862134674216e-11,2.2834363895070998e-10,2.1199289604823447e-19,1.0856791106354719e-12,1.1267755444021124e-12,4.1096433766640235e-14,6.338879484325887e-17
1.5270184754312776e-08,0.11224537201787597,0.0,0.0,0.0,0.0,0.3299999907921854,0.6699999909502795,9.137181161591679e-09,8.979087793090779e-09,6.942194883925661e-11,2.2868052573641726e-10,2.1975904142495873e-19,1.16506732550497e-12,1.2107959976029899e-12,4.572867209802011e-14,7.042549702423803e-17
1.5796846678833303e-08,0.11224537201763815,0.0,0.0,0.0,0.0,0.32999999047460865,0.6699999906305018,9.452217613437265e-09,9.296325089177882e-09,7.18752554650759e-11,2.2901508166414062e-10,2.2752512074699173e-19,1.2471457830483137e-12,1.297839076547447e-12,5.0693293499133465e-14,7.796455258578663e-17
1.632350860335383e-08,0.11224537201740013,0.0,0.0,0.0,0.0,0.3299999901570315,0.6699999903107194,9.767251405278185e-09,9.613564085968928e-09,7.432854130947122e-11,2.2934793630528149e-10,2.3529113428426434e-19,1.331903404703096e-12,1.3879047555846337e-12,5.6001350881536806e-14,8.602327751007935e-17
1.6850170527874357e-08,0.112245372017162,0.0,0.0,0.0,0.0,0.32999998983945394,0.669999989990933,1.0082282548019854e-08,9.930804322448648e-09,7.678180646381618e-11,2.2967955067358006e-10,2.430570823260248e-19,1.4193291575230466e-12,1.4809930091633397e-12,6.166385164029298e-14,9.461898735712656e-17
1.7376832452394884e-08,0.11224537201692374,0.0,0.0,0.0,0.0,0.3299999895218761,0.6699999896711423,1.0397311052527437e-08,1.0248045462257845e-08,7.923505101428624e-11,2.3001026112669885e-10,2.5082296514506634e-19,1.5094120539999396e-12,1.5771038118413203e-12,6.769175784138023e-14,1.0376899726713536e-16
1.790349437691541e-08,0.11224537201668545,0.0,0.0,0.0,0.0,0.32999998920429785,0.6699999893513481,1.0712336929626043e-08,1.0565287260961758e-08,8.168827504186401e-11,2.3034031209786338e-10,2.5858878299774387e-19,1.6021411518764987e-12,1.6762371382848562e-12,7.409598640835723e-14,1.1349062196283294e-16
1.8956818225956465e-08,0.11224537201620867,0.0,0.0,0.0,0.0,0.3299999885691402,0.6699999887117495,1.1342380844659192e-08,1.1199772185682274e-08,8.659466186472852e-11,2.309990849596209e-10,2.7412022486885537e-19,1.7954944079057914e-12,1.88357126164062e-12,8.807685373482853e-14,1.347179725284017e-16
2.001014207499752e-08,0.11224537201573177,0.0,0.0,0.0,0.0,0.32999998793398083,0.6699999880721379,1.1972414378804749e-08,1.1834258170039343e-08,9.150096759780061e-11,2.316567958173663e-10,2.896514100456914e-19,1.9993022854063694e-12,2.1029951786103492e-12,1.0369289320397916e-13,1.5843954857280574e-16
2.1063465924038573e-08,0.11224537201525488,0.0,0.0,0.0,0.0,0.3299999872988198,0.6699999874325135,1.2602437617027182e-08,1.2468744699377348e-08,9.640719291536921e-11,2.3231395931435698e-10,3.0518234066275127e-19,2.2134788562619007e-12,2.3345086902034593e-12,1.2102983394155836e-13,1.8479385308118377e-16
