Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34)
1.8532313408052696e-10,0.11224537200257947,0.0,0.0,0.0,0.0,0.32999999988825196,0.6699999999112328,1.1156340697657555e-10,8.858256843183665e-11,1.8459000506401723e-13,2.3165381596031277e-11,5.843221029671541e-22,4.242947253139087e-17,2.786163811248355e-17,1.754736891875977e-20,1.2810213112131544e-22,1.453666162184774e-17,3.010666268816389e-17,1.4191970921819526e-24
2.1755328236838937e-10,0.11224537200299602,0.0,0.0,0.0,0.0,0.3299999998688175,0.669999999895509,1.309347165758986e-10,1.0424322621193852e-10,2.4773239438255776e-13,2.6939163604408806e-11,7.842018572092045e-22,6.423411063747964e-17,4.412266046608859e-17,3.079611505084663e-20,2.0672664625792778e-22,2.0063512919819456e-17,4.155237870258051e-17,2.6229430829741287e-24
2.4978343065625177e-10,0.11224537200340362,0.0,0.0,0.0,0.0,0.32999999984938305,0.6699999998797059,1.5029876405140527e-10,1.199756912598693e-10,3.1813372231539997e-13,3.0641135577133794e-11,1.0070602718470236e-21,9.199879891029112e-17,6.54403322100902e-17,5.028012443005323e-20,3.125059573378126e-22,2.6489553701020126e-17,5.485983417776678e-17,4.46505743772998e-24
2.8201357894411415e-10,0.11224537200380261,0.0,0.0,0.0,0.0,0.3299999998299486,0.669999999863826,1.6965612492243963e-10,1.3577862007679154e-10,3.95217982360705e-13,3.4272641000780375e-11,1.251073959400113e-21,1.2622447071129368e-16,9.231186330199194e-17,7.759866889192635e-20,4.493706191740083e-22,3.381855757847617e-17,7.003672911031145e-17,7.131377805687271e-24
3.142437272319766e-10,0.1122453720041931,0.0,0.0,0.0,0.0,0.32999999981051414,0.6699999998478706,1.8900734243423237e-10,1.5165068466028299e-10,4.784414699951884e-13,3.78350078656431e-11,1.5145217864825086e-21,1.6738406925243412e-16,1.252065999536488e-16,1.1444213000254495e-19,6.212620170703891e-22,4.205425276762599e-17,8.709066869488912e-17,1.081986920126089e-23
3.46473875519839e-10,0.11224537200457538,0.0,0.0,0.0,0.0,0.3299999997910797,0.6699999998318419,2.0835294554341377e-10,1.675905509551634e-10,5.672747817632857e-13,4.1329570214717694e-11,1.7957278907038948e-21,2.1593815606300656e-16,1.6458154841981327e-16,1.6258608403442656e-19,8.321840503607668e-22,5.120038196896153e-17,1.0602928594503056e-16,1.5739456374799284e-23
3.7870402380770144e-10,0.11224537200494968,0.0,0.0,0.0,0.0,0.32999999977164524,0.6699999998157417,2.2769342495133551e-10,1.835968997443912e-10,6.612268025767473e-13,4.4757647252999835e-11,2.093137614086382e-21,2.723140825980329e-16,2.1086065287779307e-16,2.2392374594910255e-19,1.0861662043336363e-21,6.126064046183598e-17,1.2686011435773068e-16,2.2114643575505882e-23
4.1093417209556387e-10,0.11224537200531606,0.0,0.0,0.0,0.0,0.3299999997522108,0.6699999997995714,2.470292096144843e-10,1.9966845458793666e-10,7.598682154343677e-13,4.812051540886725e-11,2.4053919246699816e-21,3.3688558185957017e-16,2.64414501691175e-16,3.0047947674123417e-19,1.3872036436886161e-21,7.223859613178793e-17,1.4959042385062044e-16,3.0187757511748555e-23
4.431643203834263e-10,0.11224537200567478,0.0,0.0,0.0,0.0,0.32999999973277633,0.6699999997833326,2.663606761987157e-10,2.15803981407287e-10,8.628220389833607e-13,5.1419408749566995e-11,2.731297462524091e-21,4.0998097660483706e-16,3.255685071986742e-16,3.943797882405556e-19,1.7392508727140665e-21,8.413769230409133e-17,1.742272268885592e-16,4.021509937558486e-23
5.076246169591512e-10,0.11224537200636998,0.0,0.0,0.0,0.0,0.32999999969390736,0.669999999750657,3.050120918015212e-10,2.482620620755082e-10,1.0802290455089456e-12,5.783015983871781e-11,3.4195105370787815e-21,5.829959566994564e-16,4.719181998545491e-16,6.4299356125867655e-19,2.6123150281114734e-21,1.1071293213399033e-16,2.292480528969102e-16,6.719334044129242e-23
