Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282)
0.0005871181191855591,0.11218557274661911,0.0,0.0,0.0,0.0,0.3260960332943371,0.6671343641887442,0.00014426863004737077,0.00026252796688360744,1.1190587964761808e-06,2.7658103303300257e-07,3.5424448518339943e-15,1.234779479867824e-06,0.001271852994783977,0.003106119839863517,0.0010041733294233442,1.3391902713366814e-07,1.2855305624486388e-07,1.712779596725305e-07,1.2601625561249417e-06,7.147106911889612e-15,0.00041021057141370123,5.479302610708396e-10,2.347000660638889e-09,5.461205447263657e-09,3.311504519419187e-05,4.85857979412974e-16,1.2264837035760486e-15,1.0327612122029575e-11,2.515968535272608e-12,2.4178576235516644e-11,2.441012716210404e-07,1.6187892631041413e-13,8.098161466881652e-14,1.7371178933122547e-18,3.758968909484098e-17,4.008409424575759e-16,2.5780170155734775e-09
0.0005997191087678815,0.11218327434842877,0.0,0.0,0.0,0.0,0.3259504190555892,0.6670243281754483,0.0001457156940598137,0.000267315808613227,1.130120058576441e-06,2.816921535321448e-07,3.577459978486539e-15,1.2602468378079686e-06,0.0013088943547646596,0.003232723989848751,0.0010434250012143877,1.35747779986004e-07,1.3159604079407552e-07,1.7718577281384186e-07,1.3034531424906612e-06,7.392632738976942e-15,0.00043354009448872484,5.635067872110504e-10,2.4034512033424565e-09,5.774144262514164e-09,3.5702060324374095e-05,5.240911100107082e-16,1.2924743658014116e-15,1.1246340920617557e-11,2.768524198580548e-12,2.6494963887898858e-11,2.7266244219808535e-07,1.8081963743638058e-13,9.136609981768671e-14,1.9757979808714967e-18,4.2776761673111573e-17,4.561537452640031e-16,2.993000149294631e-09
0.000610681129834626,0.11218124487973193,0.0,0.0,0.0,0.0,0.3258216615430924,0.6669267835798471,0.00014696722390322034,0.0002714836695466533,1.1396804101528824e-06,2.861443966636962e-07,3.607723880139814e-15,1.2825306147425043e-06,0.001341261641002033,0.003345062018649731,0.0010781027523782752,1.3733435755104848e-07,1.3426731276147273e-07,1.8239027323149563e-07,1.341578597770637e-06,7.60886413561649e-15,0.0004544799724980847,5.771977983426067e-10,2.4529972057080707e-09,6.055897984785539e-09,3.8069538030964566e-05,5.591292250732495e-16,1.3520321016491281e-15,1.209532818147059e-11,3.0043650391145713e-12,2.864988808968831e-11,2.996739064999609e-07,1.9873264073633903e-13,1.0128164854175729e-13,2.205428949519644e-18,4.776993266682708e-17,5.093988615371236e-16,3.399645603748529e-09
0.0006216431509013705,0.1121791876123333,0.0,0.0,0.0,0.0,0.32569096061352054,0.6668275323325998,0.00014821211395475397,0.00027565450873279223,1.149184129216161e-06,2.9060261866710747e-07,3.637808510266706e-15,1.3049351570424702e-06,0.001373758079394254,0.0034594626026352407,0.001113272666299295,1.389170966588923e-07,1.369612610042655e-07,1.8765526748681055e-07,1.3801361662539316e-06,7.827546295130205e-15,0.0004760269435583307,5.910199443189628e-10,2.502952682492714e-09,6.3466748993440246e-09,4.0549338018461685e-05,5.9587899071611345e-16,1.4136455644390641e-15,1.2992569780686081e-11,3.2560276339549156e-12,3.094147138090182e-11,3.2883184441178605e-07,2.1806910589545194e-13,1.1207969033261739e-13,2.457238796583137e-18,5.324818171089094e-17,5.678166500896322e-16,3.853101587994193e-09
0.0006326051719681149,0.11217710267329008,0.0,0.0,0.0,0.0,0.3255583110339718,0.6667265623103736,0.00014945051339277434,0.00027982868782290397,1.1586323027391647e-06,2.9506724572633326e-07,3.667717309757277e-15,1.3274611820130977e-06,0.0014063793354408278,0.003575939926380496,0.001148932504126159,1.404961524631208e-07,1.39678130475801e-07,1.9298068497107205e-07,1.4191248573745274e-06,8.048673599458207e-15,0.0004981878418247309,6.049735861068466e-10,2.5533194425205136e-09,6.646635157269132e-09,4.314485493634294e-05,6.343962044693463e-16,1.4773680238662372e-15,1.3939979838513027e-11,3.5243120863051993e-12,3.337618325664777e-11,3.602678274937568e-07,2.3891628630381104e-13,1.238227256147088e-13,2.7329657027977e-18,5.924983248093856e-17,6.318157787934074e-16,4.357848261738096e-09
0.0006435671930348594,0.11217499019401381,0.0,0.0,0.0,0.0,0.32542370755266087,0.6666238613579891,0.0001506825598227209,0.00028400654139487143,1.168025927221522e-06,2.9953867631018406e-07,3.697453433103169e-15,1.350109320768316e-06,0.00143912113334008,0.003694508265053567,0.0011850799652154793,1.4207166852735577e-07,1.4241815290009783e-07,1.983664553115487e-07,1.4585436732150426e-06,8.272240388847032e-15,0.0005209694857164868,6.190590387030545e-10,2.6040990989103288e-09,6.955939536623368e-09,4.585953280262158e-05,6.747376862341279e-16,1.543253571352471e-15,1.4939517624005293e-11,3.8100468552837225e-12,3.5960707606589184e-11,3.9411929759413403e-07,2.613653283093607e-13,1.3657662578382434e-13,3.0344549031477487e-18,6.58155967182144e-17,7.018303808671042e-16,4.918713874929959e-09
0.0006545292141016039,0.1121728503101675,0.0,0.0,0.0,0.0,0.3252871449079534,0.66651941729192,0.00015190838029174652,0.00028818837953239394,1.1773659166029028e-06,3.0401728386192795e-07,3.727019773447585e-15,1.3728801255471378e-06,0.0014719792520123955,0.0038151819764880076,0.0012217126842626641,1.4364377794612013e-07,1.4518154777961008e-07,2.038125078516919e-07,1.4983916046281297e-06,8.498240939851817e-15,0.000544378677771861,6.332765743056e-10,2.655293083247035e-09,7.274749395850968e-09,4.86968647155066e-05,7.169612822233446e-16,1.611357121511197e-15,1.5993187762305605e-11,4.114089329524929e-12,3.8701946920159925e-11,4.305297375625805e-07,2.85511384428668e-13,1.5041075943465176e-13,3.363663554728274e-18,7.298868493248952e-17,7.783212353664119e-16,5.5408960222227206e-09
0.0006654912351683484,0.11217068316195249,0.0,0.0,0.0,0.0,0.3251486178364848,0.6664132179035266,0.00015312809219047318,0.0002923744901454556,1.1866531092962926e-06,3.0850341922152866e-07,3.756418984849534e-15,1.3957740764153047e-06,0.0015049495216019257,0.0039379754939603655,0.0012588282287670398,1.4521260434735443e-07,1.4796852331986093e-07,2.0931877117390578e-07,1.5386676276335035e-06,8.726669444901663e-15,0.0005684222044372928,6.476264255697186e-10,2.706902659584046e-09,7.60322662658393e-09,5.166039253626011e-05,7.611258682533911e-16,1.6817344140870207e-15,1.7103040413686073e-11,4.437326398467292e-12,4.1607026516413336e-11,4.696488437447563e-07,3.114537277389556e-13,1.6539812256958835e-13,3.722665841989355e-18,8.081492247770381e-17,8.617770049668278e-16,6.229983892393081e-09
0.0006764532562350929,0.11216848889412029,0.0,0.0,0.0,0.0,0.32500812108062793,0.6663052509621047,0.00015434180407991296,0.0002965651411017058,1.1958882746257673e-06,3.12997412860874e-07,3.785653502662934e-15,1.4187915879711103e-06,0.001538027820316383,0.0040629033194700065,0.0012964240967358541,1.4677826280959702e-07,1.5077927733998598e-07,2.148851727551909e-07,1.5793707007277782e-06,8.95751999704235e-15,0.0005931068358097574,6.621087897302975e-10,2.7589289409526068e-09,7.94153362870443e-09,5.4753706547815516e-05,8.072913568547554e-16,1.7544420200215316e-15,1.827117151104974e-11,4.780675049226354e-12,4.4683299006119837e-11,5.116327004466923e-07,3.392958675764227e-13,1.8161547348690392e-13,4.113658274046097e-18,8.934287004602299e-17,9.527155208625907e-16,6.991981481956049e-09
0.0006874152773018373,0.1121662676561077,0.0,0.0,0.0,0.0,0.3248656493953417,0.6661955042177558,0.0001555496164490203,0.00030076058217880946,1.2050721187366927e-06,3.17499576921293e-07,3.814725562245667e-15,1.441933015084076e-06,0.0015712100715849654,0.004189980017495322,0.0013344977146156859,1.4834086070613308e-07,1.5361399805411813e-07,2.205116386307058e-07,1.6204997623906634e-06,9.190786575792513e-15,0.0006184393253367523,6.76723831046822e-10,2.8113729002045714e-09,8.289833270068675e-09,5.7980445088645726e-05,8.555187016120828e-16,1.82953734431463e-15,1.94997229168812e-11,5.145082944943138e-12,4.793834857897359e-11,5.566439565323349e-07,3.69145666649203e-13,1.9914346644751818e-13,4.538964985195615e-18,9.862394464965553e-17,1.051685072866875e-15,7.833331848223516e-09
0.0006983772983685818,0.11216401960209262,0.0,0.0,0.0,0.0,0.32472119755445644,0.6660839654041036,0.00015675162240498747,0.00030496104685159267,1.2142052899881056e-06,3.2201020707595e-07,3.843637216029492e-15,1.4651986580334686e-06,0.00160449224150637,0.00431922020918402,0.0013730464354357588,1.4990049847686324e-07,1.5647286477399047e-07,2.2619809299694686e-07,1.6620537281541556e-06,9.426463030521136e-15,0.0006444264094786308,6.914716829955707e-10,2.8642353797677973e-09,8.648288827663014e-09,6.134429416152713e-05,9.05869897291837e-16,1.9070786268166296e-15,2.0790882502191165e-11,5.531528975392639e-12,5.137999515409452e-11,6.048520040402191e-07,4.011154594893336e-13,2.180667886853029e-13,5.001043288112639e-18,1.0871254631835526e-16,1.1592657604617069e-15,8.760942422038642e-09
0.0007093393194353263,0.11216174489108502,0.0,0.0,0.0,0.0,0.3245747603563911,0.6659706222408426,0.00015794790829049002,0.0003091667539118152,1.2232883837521573e-06,3.2652958423787615e-07,3.872390348712944e-15,1.4885887680145081e-06,0.0016378703365881246,0.004450638566985149,0.0014120675371661155,1.5145727031811e-07,1.593560486566049e-07,2.319444580029556e-07,1.7040314888171414e-06,9.66454307032176e-15,0.0006710748073344626,7.063524524699055e-10,2.9175171075930717e-09,9.017063974750538e-09,6.484898701765775e-05,9.58407988488539e-16,1.9871249506878675e-15,2.2146884345542613e-11,5.941023865813075e-12,5.501629900032956e-11,6.56433158680523e-07,4.353221721517261e-13,2.384743048881267e-13,5.502489523750701e-18,1.1966619146529683e-16,1.2760709149566608e-15,9.782211424334875e-09
0.0007203013405020708,0.1121594436869847,0.0,0.0,0.0,0.0,0.32442633262934745,0.6658554624361374,0.00015913855424184347,0.00031337790893426265,1.2323219467680802e-06,3.310579760938039e-07,3.900986691044e-15,1.5121035516942866e-06,0.001671340401747848,0.004584249809686856,0.0014515582212706521,1.5301126481182382e-07,1.622637133210051e-07,2.3775065360350024e-07,1.746431909322265e-06,9.905020257642642e-15,0.0006983912202373292,7.213662217414654e-10,2.971218705678924e-09,9.396322757479881e-09,6.849830371709764e-05,1.0131970768247405e-15,2.069736247636949e-15,2.3570008856540823e-11,6.374610775471199e-12,5.885556519584268e-11,7.115708420916045e-07,4.718874430799605e-13,2.604591986420265e-13,6.046044820848327e-18,1.3154564481621625e-16,1.4027485063267964e-15,1.0905055405458128e-08
