Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114)
3.1113683081503193e-10,0.11224537200415581,0.0,0.0,0.0,0.0,0.32999999981238753,0.669999999849412,1.871422401391978e-10,1.501176062313207e-10,4.701180000327005e-13,3.7494661419890806e-11,1.4881734482622818e-21,1.631426982022218e-16,1.218015068965904e-16,1.104627625201118e-19,6.032604650343637e-22,4.1220915985297695e-17,8.536506747293889e-17,1.0389668551654666e-23,2.772831377394114e-26,1.5725345613701338e-34,2.0974646270531836e-30
3.4594936976917697e-10,0.11224537200456923,0.0,0.0,0.0,0.0,0.3299999997913959,0.6699999998321035,2.0803821603379228e-10,1.673305226040614e-10,5.657328991093699e-13,4.127332732849622e-11,1.7908469854060746e-21,2.1513253278851404e-16,1.639324143822441e-16,1.6174232547250778e-19,8.286470426965413e-22,5.104441348551736e-17,1.0570632521523448e-16,1.560565288326531e-23,4.644985232750734e-26,2.634291718508551e-34,3.911365284002217e-30
3.80761908723322e-10,0.11224537200497328,0.0,0.0,0.0,0.0,0.32999999977040423,0.6699999998147111,2.2892817834335014e-10,1.8462105311583495e-10,6.673555896951438e-13,4.497437581268654e-11,2.1125385922916925e-21,2.762166073722912e-16,2.1408711680476113e-16,2.284058941780384e-19,1.1041412815651172e-21,6.193424892544195e-17,1.2825486338054437e-16,2.2510814723252717e-23,7.397013945321078e-26,4.195060667683793e-34,6.86659507201173e-30
4.1557444767746706e-10,0.11224537200536817,0.0,0.0,0.0,0.0,0.3299999997494126,0.6699999997972376,2.4981269494084345e-10,2.0198756700461408e-10,7.744177210024021e-13,4.859943761960009e-11,2.4514491161189764e-21,3.4688961271105e-16,2.72756225688613e-16,3.12966089592768e-19,1.4348181569351678e-21,7.389498341503718e-17,1.5301997689208761e-16,3.140246612483825e-23,1.1290243034621128e-25,6.403051357544509e-34,1.1456362159937939e-29
4.503869866316121e-10,0.11224537200575414,0.0,0.0,0.0,0.0,0.3299999997284209,0.6699999997796845,2.706922563208583e-10,2.1942848985938667e-10,8.864283872975951e-13,5.215008714587372e-11,2.806024561636532e-21,4.2757905466101687e-16,3.4036350272153786e-16,4.180995609508391e-19,1.825709363252179e-21,8.693101172362083e-17,1.8001061646341042e-16,4.259970475570117e-23,1.6636306468125808e-25,9.43500634867266e-34,1.8324362865639472e-29
4.851995255857572e-10,0.1122453720061314,0.0,0.0,0.0,0.0,0.32999999970742927,0.669999999762054,2.9156728842879574e-10,2.369423025106533e-10,1.002961287586753e-12,5.562784354713637e-11,3.1749154442588342e-21,5.186563722202529e-16,4.172769400033577e-16,5.4660839604573e-19,2.281795558280262e-21,1.0104656577704113e-16,2.0923539616640245e-16,5.643827413615285e-23,2.379849789245529e-25,1.349696722292499e-33,2.8287345368917493e-29
5.548246034940473e-10,0.11224537200686076,0.0,0.0,0.0,0.0,0.32999999966544596,0.6699999997265685,3.3330538790190197e-10,2.7218258602741557e-10,1.247969363988177e-12,6.237068809500248e-11,3.950501290111505e-21,7.333902050039671e-16,6.004245214716332e-16,8.852870334388356e-19,3.40963132703742e-21,1.3253297042773773e-16,2.744213936566935e-16,9.342257699490071e-23,4.525584560972745e-25,2.5666316409345247e-33,6.178265281391217e-29
6.149439085817662e-10,0.11224537200746453,0.0,0.0,0.0,0.0,0.3299999996291946,0.6699999996956957,3.693339649268694e-10,3.0283236226789323e-10,1.4706045356388699e-12,6.797215646242237e-11,4.6552647092412125e-21,9.55265971437921e-16,7.915156844795735e-16,1.2806897769654848e-18,4.640166088968199e-21,1.6323293165922012e-16,3.379752800238693e-16,1.3719115941677923e-22,7.395029263323005e-25,4.194017740020227e-33,1.1227176130877609e-28
6.75063213669485e-10,0.11224537200804513,0.0,0.0,0.0,0.0,0.3299999995929432,0.6699999996646171,4.0535386728684307e-10,3.3367912234142493e-10,1.7018893787548093e-12,7.337663088381117e-11,5.387409247527433e-21,1.2123400285951424e-15,1.014536421450751e-15,1.7885867813077664e-18,6.135721990025397e-21,1.9720897021362126e-16,4.083071233671357e-16,1.9398554920125552e-22,1.1522522535187054e-24,6.534903349805814e-33,1.9261920053021373e-28
7.351825187572039e-10,0.1122453720086037,0.0,0.0,0.0,0.0,0.3299999995566918,0.6699999996333416,4.413663911077405e-10,3.6471589152184405e-10,1.940526708760058e-12,7.859108602166239e-11,6.142828579593669e-21,1.5057452003560937e-15,1.2706064697641022e-15,2.4258050728517022e-18,7.922087577162649e-21,2.344803181647518e-16,4.85455956414296e-16,2.6583772103423015e-22,1.725999703359811e-24,9.788887827824372e-33,3.150832089704437e-28
