Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116)
3.462011055201028e-10,0.11224537200457224,0.0,0.0,0.0,0.0,0.32999999979124417,0.6699999998319782,2.0818936529717319e-10,1.6745518942107339e-10,5.663443209899249e-13,4.130045700976876e-11,1.792782470155813e-21,2.1568872515958298e-16,1.6692488187519583e-16,1.6226537523632236e-19,8.307768254519528e-22,8.433143135259899e-17,1.0586314548848592e-16,1.5850699325020508e-23,4.709775836372254e-26,2.6710357856597227e-34,3.9660155006026965e-30,2.1121502740488189e-19,3.0698960143907224e-17,1.9879234075561713e-31,5.16738040082776e-34,7.817239190708612e-41
3.849369229426681e-10,0.11224537200502116,0.0,0.0,0.0,0.0,0.32999999976788685,0.6699999998126203,2.3143317330545587e-10,1.8669971474893865e-10,6.798040272547352e-13,4.5413205580693375e-11,2.1519447375711083e-21,2.8436433251596374e-16,2.245939400394408e-16,2.376950105002868e-19,1.1411426786287032e-21,1.0791902497100817e-16,1.3110952154416486e-16,2.3800055089654046e-23,7.88712358298884e-26,4.473017746795688e-34,7.393631825806389e-30,2.7630559577400445e-19,4.086330114237333e-17,3.0359249574823892e-31,8.777774646392443e-34,1.309158784690749e-40
4.236727403652334e-10,0.11224537200545878,0.0,0.0,0.0,0.0,0.32999999974452954,0.6699999997931616,2.5467027667525255e-10,2.060381169745588e-10,7.999584417869208e-13,4.9432073559199845e-11,2.532299556129007e-21,3.6495639843851874e-16,2.932303709767327e-16,3.3572185478777096e-19,1.520501945359556e-21,1.3496789864390221e-16,1.591013462690048e-16,3.432026987704584e-23,1.2556199844355975e-25,7.1210206024438435e-34,1.297620610726088e-29,3.508429241178197e-19,5.278083532470696e-17,4.451779803045844e-31,1.4172985081119148e-33,2.0842444780573234e-40
4.6240855778779867e-10,0.11224537200588544,0.0,0.0,0.0,0.0,0.3299999997211722,0.6699999997736052,2.779013802355416e-10,2.2546820219089936e-10,9.261020216627404e-13,5.335925489505177e-11,2.9316134820562187e-21,4.580808193674825e-16,3.7350586450781295e-16,4.600052265917648e-19,1.9758419842327608e-21,1.6560669728596492e-16,1.8985109595406134e-16,4.786313830501232e-23,1.9159455783920378e-25,1.0865979617085712e-33,2.164397898170146e-29,4.347641813506324e-19,6.651301212268302e-17,6.311314769442654e-31,2.193006893147507e-33,3.1804419847633656e-40
5.01144375210364e-10,0.11224537200630146,0.0,0.0,0.0,0.0,0.3299999996978149,0.6699999997539539,3.011270814959378e-10,2.449878590334778e-10,1.0576366545556795e-12,5.719686099909068e-11,3.3479931503902647e-21,5.642603393583265e-16,4.660022701670005e-16,6.144328596902166e-19,2.5140906982137235e-21,1.9994502738760397e-16,2.2337074197016575e-16,6.491354820019183e-23,2.8224413956674537e-25,1.6007078625257654e-33,3.4610699241442e-29,5.278555558842396e-19,8.20996520246881e-17,8.69916149164341e-31,3.275409705857206e-33,4.685338063495754e-40
5.398801926329292e-10,0.11224537200670702,0.0,0.0,0.0,0.0,0.3299999996744575,0.6699999997342099,3.243478903135304e-10,2.6459505640823394e-10,1.1940519714192053e-12,6.094692301398724e-11,3.779822953446962e-21,6.839415569379837e-16,5.712272250256928e-16,8.030627343531728e-19,3.1421058534580437e-21,2.380769104812621e-16,2.596717659499582e-16,8.598172167668717e-23,4.036594598778508e-25,2.2893041907154375e-33,5.341607165335498e-29,6.298083451941826e-19,9.956371279911141e-17,1.1708058524156461e-30,4.7487243192929535e-33,6.701023640664397e-40
5.973055006383246e-10,0.11224537200728987,0.0,0.0,0.0,0.0,0.3299999996398305,0.6699999997047754,3.587644441494811e-10,2.9381926162153574e-10,1.4042338312113083e-12,6.634952199253656e-11,4.445164719017917e-21,8.871162973314104e-16,7.516783962312597e-16,1.1545133664542199e-18,4.253034652462389e-21,3.017781333918327e-16,3.1862973407769387e-16,1.257288677237519e-22,6.552889370971073e-25,3.7164023599583766e-33,9.621864017645152e-29,7.966321325005647e-19,1.2894804936417169e-16,1.7524508131645656e-30,7.864755474281748e-33,1.0878557624563276e-39
6.5473080864372e-10,0.1122453720078514,0.0,0.0,0.0,0.0,0.32999999960520354,0.6699999996751507,3.9317268529453634e-10,3.232251142587131e-10,1.6227000999613931e-12,7.157046599974337e-11,5.136731340628445e-21,1.122103634911273e-15,9.625796832207444e-16,1.6042852398065442e-18,5.598839495615108e-21,3.742686999269998e-16,3.8376103101713774e-16,1.77240813509212e-22,1.0160427531787636e-24,5.762396380602184e-33,1.6401382926828544e-28,9.811642560274995e-19,1.625219905587983e-16,2.527697273558242e-30,1.2437151036565123e-32,1.6867889189357127e-39
7.121561166491154e-10,0.1122453720083924,0.0,0.0,0.0,0.0,0.3299999995705766,0.6699999996453436,4.275738360015282e-10,3.5280643965917145e-10,1.848227311545841e-12,7.66159298602354e-11,5.8506498536381955e-21,1.389976756432808e-15,1.2052074018031915e-15,2.166860439135259e-18,7.202039599316688e-21,4.557766714199606e-16,4.55100266337422e-16,2.42368332962369e-22,1.5162202688360244e-24,8.599129621230985e-33,2.6695824959525367e-28,1.1822609419459863e-18,2.0028155292811426e-16,3.535083006729742e-30,1.8922614832667264e-32,2.517211226062126e-39
7.695814246545107e-10,0.11224537200891371,0.0,0.0,0.0,0.0,0.3299999995359496,0.6699999996153606,4.6196890251367767e-10,3.8255730544352024e-10,2.079808232935694e-12,8.14918461196687e-11,6.583731793871635e-21,1.6916209364559204e-15,1.480651268356843e-15,2.857228753400492e-18,9.085095352078779e-21,5.46491548958576e-16,5.326805480249061e-16,3.230393841479141e-22,2.1907575173318613e-24,1.2424742615909976e-32,4.178738907789842e-28,1.3986638939882481e-18,2.4218479938651924e-16,4.81681213892637e-30,2.7865710574471007e-32,3.637131323223637e-39
