Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63)
2.0574732734279256e-09,0.11224537201669749,0.0,0.0,0.0,0.0,0.3299999987593601,0.6699999989081047,1.2327498962692203e-09,1.0839995295654282e-09,7.873703666020209e-12,1.5663033324272275e-10,2.4924629398086608e-20,1.8175634831218017e-14,1.6274107051712305e-14,8.683441772109017e-17,1.728770434093341e-19,1.918319082478832e-15,3.9682196688569694e-15,1.0181485535035394e-20,1.9609364502598557e-22
2.2440978724331476e-09,0.1122453720173718,0.0,0.0,0.0,0.0,0.32999999864682655,0.6699999988015755,1.34441286117983e-09,1.189657015110344e-09,8.74069077401117e-12,1.63504452135307e-10,2.7669125543914076e-20,2.2168885421524263e-14,1.990081479607704e-14,1.1621332487520508e-16,2.242503376191643e-19,2.293027202388843e-15,4.742771849613779e-15,1.3651101986602707e-20,2.883786702070042e-22
2.4307224714383696e-09,0.11224537201796575,0.0,0.0,0.0,0.0,0.32999999853429285,0.6699999986943296,1.4560745491146867e-09,1.296029732681956e-09,9.608655614866803e-12,1.6966323075341032e-10,3.041671676918172e-20,2.6573418392328278e-14,2.390630274243377e-14,1.5171773732136392e-16,2.849071134605259e-19,2.7024101769214684e-15,5.5888503992181316e-15,1.7843753055263043e-20,4.1040961305400337e-22
2.6173470704435916e-09,0.11224537201848782,0.0,0.0,0.0,0.0,0.32999999842175914,0.6699999985864431,1.567735367672302e-09,1.4030419338893437e-09,1.0477191352366824e-11,1.751824167969832e-10,3.3166115206350975e-20,3.1389510102034594e-14,2.8290921000280538e-14,1.9394783261334306e-16,3.5561833303037856e-19,3.1466444430343213e-15,6.506794583704633e-15,2.2828309181967217e-20,5.680678486904106e-22
2.8039716694488136e-09,0.11224537201894563,0.0,0.0,0.0,0.0,0.3299999983092253,0.669999998477984,1.6793954826866195e-09,1.5106259644842036e-09,1.1346133074694355e-11,1.8012966389725397e-10,3.591679881595343e-20,3.661720491900711e-14,3.305481084529859e-14,2.4350426722488445e-16,4.371549607616253e-19,3.6258821750095705e-15,7.496893321531724e-15,2.8673191924324986e-20,7.677648069782505e-22
2.9905962684540355e-09,0.11224537201934598,0.0,0.0,0.0,0.0,0.3299999981966914,0.6699999983690125,1.7910550005699327e-09,1.6187213416167232e-09,1.2215375299122945e-11,1.8456545435242763e-10,3.8668433685228446e-20,4.225647577009267e-14,3.8198062255458934e-14,3.009876892168164e-16,5.302879418303356e-19,4.140254058317666e-15,8.559390949755853e-15,3.5446316463898707e-20,1.016438254092041e-21
3.1772208674592575e-09,0.11224537201969506,0.0,0.0,0.0,0.0,0.32999999808415736,0.6699999982595833,1.9027140938001957e-09,1.7272738941422574e-09,1.3084746381190835e-11,1.8854395881315445e-10,4.142047646222483e-20,4.830733525136229e-14,4.372082232526994e-14,3.669983934566489e-16,6.357882267982777e-19,4.689871874087165e-15,9.69449259661268e-15,4.32150533035959e-20,1.3215483198286092e-21
3.3638454664644795e-09,0.11224537201999825,0.0,0.0,0.0,0.0,0.32999999797162327,0.6699999981497451,2.014372900222101e-09,1.8362351280092648e-09,1.3954109304724752e-11,1.9211367088879578e-10,4.417249341248152e-20,5.4769750131203324e-14,4.962320826021136e-14,4.421365479827204e-16,7.544268066853002e-19,5.274830407085331e-15,1.090236814792811e-14,5.204626681589561e-20,1.6910726127887381e-21
3.5504700654697015e-09,0.11224537202026039,0.0,0.0,0.0,0.0,0.32999999785908907,0.6699999980395408,2.1260313836324812e-09,1.9455617652869026e-09,1.4823501220035037e-11,1.9531786811562076e-10,4.6924602139230574e-20,6.164352182623349e-14,5.590518692234179e-14,5.270025244805279e-16,8.869746770556458e-19,5.895208831570784e-15,1.2183155127953822e-14,6.200636702564147e-20,2.133501278485976e-21
3.737094664474923e-09,0.11224537202048573,0.0,0.0,0.0,0.0,0.32999999774655486,0.6699999979290089,2.2376894433810407e-09,2.0552152167999725e-09,1.5693023751425854e-11,1.9819513931704589e-10,4.967712433714927e-20,6.892838282656975e-14,6.256666952049424e-14,6.221966073010803e-16,1.0342027658706277e-18,6.551072296467672e-15,1.3536961994254137e-14,7.316127677713568e-20,2.6578331646859876e-21
