Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17)
1.7988563403379352e-10,0.11224537200250835,0.0,0.0,0.0,0.0,0.3299999998915308,0.6699999999138779,1.0829461218426248e-10,8.594751275261864e-11,1.7462198833871778e-13,2.2521681990098372e-11,5.52767967311474e-22,3.936971160372012e-17,2.5859218675397253e-17,1.5991365619246537e-20,1.1768427143620932e-22,1.8876866129122478e-17,2.835982726588242e-17,1.2930763340246691e-24,2.0998994777648976e-27,1.1908522441822129e-35,1.003784210817251e-31,3.689068614933127e-20,4.97223529014639e-18
2.1631821754935063e-10,0.11224537200298024,0.0,0.0,0.0,0.0,0.3299999998695623,0.6699999998961131,1.30192575288033e-10,1.0364166913417848e-10,2.4513338861254427e-13,2.679599009781397e-11,7.75974596211714e-22,6.333662976406633e-17,4.3877186288862954e-17,3.038054115731928e-20,2.035994959171397e-22,2.8617075755270684e-17,4.108045505311823e-17,2.6055057071057128e-24,4.943525557141389e-27,2.8035128335902546e-35,2.7185688065868633e-31,6.100782892579877e-20,8.358084304466698e-18
2.5275080106490775e-10,0.11224537200344077,0.0,0.0,0.0,0.0,0.3299999998475938,0.6699999998782473,1.520812449705884e-10,1.2142764244081921e-10,3.249328486494371e-13,3.097847787621354e-11,1.0285832055534942e-21,9.491099436540108e-17,6.847613723716132e-17,5.2618508338156006e-20,3.2401289460468453e-22,4.080916712944836e-17,5.617961161348522e-17,4.726935527338609e-24,1.0309942945942553e-26,5.846917499237209e-35,6.445338154469969e-31,9.275801508741038e-20,1.2919284223072021e-17
2.8918338458046486e-10,0.11224537200389025,0.0,0.0,0.0,0.0,0.32999999982562533,0.6699999998602832,1.7396148063846733e-10,1.393034486806436e-10,4.1316008444729074e-13,3.5071129341340055e-11,1.3078705082296938e-21,1.3484207972387005e-16,1.0044083592209645e-16,8.502772515767615e-20,4.847091786903651e-22,5.56084911753979e-17,7.366867777165045e-17,7.931013368594255e-24,1.9652687387710145e-26,1.1145424292843304e-34,1.3849835698884367e-30,1.3250252297872587e-19,1.8764586772906927e-17
3.25615968096022e-10,0.11224537200432896,0.0,0.0,0.0,0.0,0.32999999980365685,0.6699999998422236,1.958340288949554e-10,1.572671924607843e-10,5.090677321256816e-13,3.907583991420152e-11,1.6114706734043298e-21,1.8378126112247272e-16,1.4046176375303857e-16,1.3013187311907646e-19,6.913599710142876e-22,7.315038869681366e-17,9.355849843778126e-17,1.2520582331036242e-23,3.49409192496445e-26,1.9815828925971122e-34,2.764505674271244e-30,1.8042486137383984e-19,2.5979867095382562e-17
3.620485516115791e-10,0.11224537200475729,0.0,0.0,0.0,0.0,0.32999999978168837,0.6699999998240707,2.1769959004044018e-10,1.7531700331801822e-10,6.119547788107116e-13,4.299448008814217e-11,1.9371645974828432e-21,2.4233973268172733e-16,1.8919114005006825e-16,1.905862923149504e-19,9.496531855595102e-22,9.356200687341058e-17,1.1585975800349069e-16,1.881709012823088e-23,5.855889450626848e-26,3.3210349974169246e-34,5.157193027866299e-30,2.3664318912708394e-19,3.464115762465569e-17
3.984811351271362e-10,0.1122453720051754,0.0,0.0,0.0,0.0,0.3299999997597199,0.6699999998058274,2.3955884347630614e-10,1.9345100480926432e-10,7.211411325308626e-13,4.6828926337861135e-11,2.282799403400036e-21,3.111105840935291e-16,2.472646761207912e-16,2.691704700664828e-19,1.2653673665239762e-21,1.169668298534527e-16,1.4058316181416813e-16,2.715897299742823e-23,9.329661773054893e-26,5.291132780220728e-34,9.057144090877064e-30,3.012445648305653e-19,4.4819289550363797e-17
4.349137186426933e-10,0.11224537200558368,0.0,0.0,0.0,0.0,0.3299999997377514,0.669999999787496,2.614124125683675e-10,2.1166734597467021e-10,8.36002795137186e-13,5.058102965744927e-11,2.646399782874292e-21,3.906383139685539e-16,3.1527206233325913e-16,3.688359234240945e-19,1.644318018149883e-21,1.4347844058672282e-16,1.6773925005396432e-16,3.79087559180389e-23,1.4246753491871426e-25,8.079797427215485e-34,1.5116956931407196e-29,3.742247052319793e-19,5.657292688405229e-17
4.713463021582504e-10,0.11224537200598232,0.0,0.0,0.0,0.0,0.3299999997157828,0.6699999997690789,2.8326083164323553e-10,2.2996424215816578e-10,9.560048999832043e-13,5.425257474036942e-11,3.02627257941448e-21,4.813901482586348e-16,3.9372861417996735e-16,4.927235092961219e-19,2.0922710888561873e-21,1.7319463311309778e-16,1.9733815765256038e-16,5.1456280375273664e-23,2.1002698891927095e-25,1.1911355533249025e-33,2.418897176231899e-29,4.554477428604946e-19,6.994263288714451e-17
5.077788856738074e-10,0.1122453720063716,0.0,0.0,0.0,0.0,0.32999999969381427,0.6699999997505784,3.051045613943517e-10,2.483399734812042e-10,1.0806862898479144e-12,5.784528150462006e-11,3.420957968693707e-21,5.837693604043262e-16,4.830874963039312e-16,6.441174324123245e-19,2.6149340846569134e-21,2.0620011704116914e-16,2.2938962459024744e-16,6.821258153063212e-23,3.0059081605275117e-25,1.704759388076768e-33,3.7355459793728205e-29,5.446912271052888e-19,8.495462007886589e-17
5.806440527049217e-10,0.11224537200712299,0.0,0.0,0.0,0.0,0.32999999964987725,0.6699999997133353,3.487797077958462e-10,2.853211416684796e-10,1.3423302902731076e-12,6.480098011312595e-11,4.249205780769102e-21,8.249464378840552e-16,6.9624899519671125e-16,1.0429256392132502e-18,3.9073990543923095e-21,2.82402116861425e-16,3.0088866542206335e-16,1.1304947061309979e-22,5.721714226670777e-25,3.2450071673702215e-33,8.165616859889195e-29,7.463953712358198e-19,1.1999471098106627e-16
6.423027292602488e-10,0.1122453720077316,0.0,0.0,0.0,0.0,0.3299999996126976,0.6699999996815776,3.8572668585264044e-10,3.168459400781496e-10,1.5747331225890713e-12,7.045565266338442e-11,4.984889306563788e-21,1.0685311199021803e-15,9.143222440083319e-16,1.497709415946924e-18,5.286470492285899e-21,3.578303584226098e-16,3.691394302537579e-16,1.6497898852940556e-22,9.270516313221098e-25,5.257688269669437e-33,1.46812630492842e-28,9.398804610503333e-19,1.549111601382513e-16
7.039614058155759e-10,0.11224537200831636,0.0,0.0,0.0,0.0,0.32999999957551795,0.6699999996496078,4.2266518224079757e-10,3.485745703547583e-10,1.8155839244421005e-12,7.590648479432265e-11,5.747315450457401e-21,1.3497592257875114e-15,1.168652374481074e-15,2.0789203790500897e-18,6.956650685631213e-21,4.4359724175928846e-16,4.445385733904783e-16,2.3214224229260703e-22,1.434738842405303e-24,8.137011516613329e-33,2.497308283921672e-28,1.1527154805140269e-18,1.946529442972811e-16
7.65620082370903e-10,0.11224537200887832,0.0,0.0,0.0,0.0,0.3299999995383383,0.6699999996174342,4.5959649125561465e-10,3.8049963495058026e-10,2.0635871248957406e-12,8.11608742589332e-11,6.532382995155443e-21,1.6697689669462016e-15,1.46063033002469e-15,2.8049988158147673e-18,8.945754976050718e-21,5.399460357996214e-16,5.271274130942671e-16,3.1690835080561103e-22,2.137431781990666e-24,1.2122307947080995e-32,4.0565513965734025e-28,1.3833726830584684e-18,2.3917675283745144e-16
8.889374354815571e-10,0.11224537200993735,0.0,0.0,0.0,0.0,0.329999999463979,0.6699999995525089,5.334418574183709e-10,4.449107624813853e-10,2.5767362611962463e-12,9.11086306175556e-11,8.156784571168396e-21,2.429930453519961e-15,2.1623215744949457e-15,4.767758262607245e-18,1.39920219481759e-20,7.652066782402425e-16,7.140314266677962e-16,5.490778063375696e-22,4.328149289326705e-24,2.4546909629270766e-32,9.592617718966732e-28,1.892199889481229e-18,3.4226724710932047e-16
9.972257401232918e-10,0.11224537201080034,0.0,0.0,0.0,0.0,0.3299999993986821,0.6699999994948997,5.982728227408875e-10,5.020536858732379e-10,3.041871177805718e-12,9.926222966480192e-11,9.629194705057838e-21,3.2333609857314385e-15,2.9130378502997645e-15,7.155394596584351e-18,1.9743031083923198e-20,9.996490197523008e-16,9.02238114622455e-16,8.35193620906246e-22,7.425087127218216e-24,4.211115772975685e-32,1.8538935326791266e-27,2.3836139729463306e-18,4.476400071191302e-16
