Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10)
3.574980116978721e-07,0.11224537187061455,0.0,0.0,0.0,0.0,0.32999978398105556,0.6699997825179034,2.1366061810319078e-07,2.1505720640393876e-07,1.6621138899800229e-09,4.4194584242771496e-10,5.2615144511942065e-18,3.812993671772623e-10,6.944100955663887e-10,4.1645173191220464e-10,9.014439015416191e-13,3.33909199818217e-11
3.6860535543507646e-07,0.1122453718660633,0.0,0.0,0.0,0.0,0.3299997772467729,0.6699997757316639,2.2029917067799608e-07,2.2174357099615448e-07,1.7138103701885032e-09,4.4886462613138597e-10,5.425162549636982e-18,3.984558127039007e-10,7.382703998767897e-10,4.5030329893383083e-10,9.880897470778927e-13,3.4879524938485154e-11
3.7971269917228084e-07,0.11224537186152628,0.0,0.0,0.0,0.0,0.3299997705108731,0.6699997689440794,2.269379843149029e-07,2.2842980277789066e-07,1.7655088849036077e-09,4.557832998643104e-10,5.588817091278748e-18,4.15717356354852e-10,7.83474021327566e-10,4.856490252032696e-10,1.0801182329668164e-12,3.637658920251273e-11
3.908200429094852e-07,0.11224537185700288,0.0,0.0,0.0,0.0,0.3299997637733466,0.6699997621551504,2.3357706799829067e-07,2.351159017074562e-07,1.8172094843825337e-09,4.627018934012358e-10,5.752478223549124e-18,4.3307596473250104e-10,8.300210136362407e-10,5.224976668374673e-10,1.1776917833627663e-12,3.788143852125939e-11
4.019273866466896e-07,0.11224537185249381,0.0,0.0,0.0,0.0,0.3299997570341847,0.6699997553648762,2.402164301620322e-07,2.418018679219634e-07,1.868912279419833e-09,4.6962025771119e-10,5.9161463267544195e-18,4.5052402623174555e-10,8.779114316149144e-10,5.608575251992561e-10,1.2809728533744433e-12,3.939343269672613e-11
4.1303473038389396e-07,0.11224537184799833,0.0,0.0,0.0,0.0,0.329999750293379,0.6699997485732572,2.468560785772545e-07,2.484877012840988e-07,1.9206172429701384e-09,4.765385181822018e-10,6.079821246322353e-18,4.680546086454932e-10,9.271453321246838e-10,6.007361637382885e-10,1.3901239246249073e-12,4.091199209623778e-11
4.2414207412109833e-07,0.11224537184351721,0.0,0.0,0.0,0.0,0.3299997435509227,0.6699997417802926,2.5349601983611496e-07,2.5517340186645433e-07,1.9723246045445897e-09,4.834565902907793e-10,6.24350387396545e-18,4.856615604314828e-10,9.7772277404301e-10,6.42140296407395e-10,1.5053075011757926e-12,4.243660793375604e-11
4.352494178583027e-07,0.11224537183904926,0.0,0.0,0.0,0.0,0.3299997368068087,0.6699997349859832,2.6013626052659264e-07,2.6185896952059556e-07,2.024034047281672e-09,4.903746105489227e-10,6.407192807676101e-18,5.033392009845261e-10,1.0296438180188836e-09,6.850761282072939e-10,1.6266861121586832e-12,4.3966811210653316e-11
4.463567615955071e-07,0.11224537183459575,0.0,0.0,0.0,0.0,0.3299997300610308,0.6699997281903283,2.667768062240561e-07,2.685444043652853e-07,2.0757460875069138e-09,4.972924482730038e-10,6.570890248320864e-18,5.210820098704081e-10,1.0829085243521415e-09,7.295496940248851e-10,1.754422320153319e-12,4.550214251993453e-11
4.56353370958991e-07,0.11224537183059927,0.0,0.0,0.0,0.0,0.3299997239884031,0.6699997220730881,2.727535628909185e-07,2.745611821536736e-07,2.122289013011632e-09,5.03518356053886e-10,6.71822456441769e-18,5.371020422016429e-10,1.1319956426475862e-09,7.708952770407962e-10,1.8749550335987653e-12,4.6887975499377304e-11
4.663499803224749e-07,0.11224537182661394,0.0,0.0,0.0,0.0,0.32999971791441857,0.6699997159547582,2.787305749377206e-07,2.8057785229123786e-07,2.168833888358742e-09,5.097441727950403e-10,6.865565041382662e-18,5.531673904299172e-10,1.1821712239226978e-09,8.134946008090273e-10,2.0008876452975e-12,4.8277344824162785e-11
4.763465896859588e-07,0.11224537182263968,0.0,0.0,0.0,0.0,0.3299997118390741,0.6699997098353386,2.847078457135016e-07,2.8659441478004916e-07,2.2153806702071808e-09,5.159698877290644e-10,7.012911339172438e-18,5.692749954858564e-10,1.2334353151858095e-09,8.573510176326134e-10,2.132338717992199e-12,4.967000043821337e-11
4.863431990494427e-07,0.11224537181867666,0.0,0.0,0.0,0.0,0.3299997057623659,0.669999703714829,2.9068537808861636e-07,2.9261086961847784e-07,2.26192958290561e-09,5.221954937905699e-10,7.16026467626515e-18,5.854219796814586e-10,1.2857879636930605e-09,9.024676838921976e-10,2.269426832919e-12,5.106570707398952e-11
4.963398084129267e-07,0.11224537181472465,0.0,0.0,0.0,0.0,0.329999699684291,0.6699996975932292,2.966631751662588e-07,2.9862721680915457e-07,2.3084804434999287e-09,5.284209796538449e-10,7.307623683540071e-18,6.01605616020132e-10,1.339229217438054e-09,9.488475941474204e-10,2.412270590477211e-12,5.246424133067359e-11
5.063364177764106e-07,0.112245371810784,0.0,0.0,0.0,0.0,0.32999969360484643,0.6699996914705392,3.026412392918583e-07,3.0464345633437356e-07,2.355033610752936e-09,5.346463543284168e-10,7.454991004756613e-18,6.178233623343868e-10,1.393759124439851e-09,9.96493542565218e-10,2.5609886104387632e-12,5.386539539632068e-11
5.163330271398946e-07,0.11224537180685422,0.0,0.0,0.0,0.0,0.32999968752402936,0.6699996853467592,3.086195733031195e-07,3.106595881853443e-07,2.4015886822737604e-09,5.408716179070668e-10,7.602363399873366e-18,6.340729055778025e-10,1.4493777339935058e-09,1.0454080756077397e-09,2.7156995310067763e-12,5.5268981318305504e-11
5.263296365033785e-07,0.1122453718029356,0.0,0.0,0.0,0.0,0.3299996814418371,0.6699996792218886,3.14598179168367e-07,3.166756123537632e-07,2.4481459888763353e-09,5.470967699959054e-10,7.749743621782674e-18,6.503520493124227e-10,1.5060850950676657e-09,1.0955936130325453e-09,2.876522004075242e-12,5.6674820913488496e-11
5.363262458668625e-07,0.11224537179902791,0.0,0.0,0.0,0.0,0.3299996753582674,0.6699996730959283,3.2057705935101945e-07,3.2269152883102733e-07,2.494705174805932e-09,5.533218105004552e-10,7.897128028703189e-18,6.666587613593871e-10,1.5638812576482054e-09,1.1470523977667286e-09,3.043574700832093e-12,5.8082749586993476e-11
5.463228552303464e-07,0.11224537179513147,0.0,0.0,0.0,0.0,0.3299996692733182,0.6699996669688774,3.2655621523520714e-07,3.2870733760861203e-07,2.54126674243019e-09,5.595467392471196e-10,8.044521726195708e-18,6.829911990257444e-10,1.6227662714698029e-09,1.1997864671861673e-09,3.216976317847888e-12,5.949261855763234e-11
5.563194645938304e-07,0.112245371791246,0.0,0.0,0.0,0.0,0.32999966318698726,0.6699996608407358,3.325356488145868e-07,3.347230386777984e-07,2.5878304798369584e-09,5.657715562564507e-10,8.191922297634325e-18,6.993476094587342e-10,1.682740187109658e-09,1.2537977622255175e-09,3.3968455647342147e-12,6.090428648754751e-11
5.663160739573144e-07,0.11224537178737151,0.0,0.0,0.0,0.0,0.32999965709927254,0.669999654711504,3.3851536181014646e-07,3.4073863202987356e-07,2.63439633927443e-09,5.719962615421561e-10,8.339329128199944e-18,7.157263327874264e-10,1.7438030552385525e-09,1.3090881231821346e-09,3.5833011650332178e-12,6.231761978769697e-11
5.763126833207983e-07,0.11224537178350805,0.0,0.0,0.0,0.0,0.32999965101017253,0.6699996485811816,3.444953556905887e-07,3.4675411765615557e-07,2.680964368080948e-09,5.782208550869535e-10,8.48674275694141e-18,7.321258439079467e-10,1.8059549267837419e-09,1.3656592446497021e-09,3.776461862972867e-12,6.373249606177518e-11
5.863092926842823e-07,0.11224537177965557,0.0,0.0,0.0,0.0,0.32999964491968525,0.6699996424497686,3.504756317850774e-07,3.527694955479541e-07,2.7275345922101513e-09,5.844453368812653e-10,8.634163288001688e-18,7.485447557606258e-10,1.869195853032647e-09,1.4235126721211606e-09,3.9764464256110094e-12,6.514880432978543e-11
5.963059020477662e-07,0.11224537177581406,0.0,0.0,0.0,0.0,0.32999963882780936,0.669999636317265,3.5645619131864194e-07,3.587847656965807e-07,2.774107034530179e-09,5.906697069131486e-10,8.781591001827727e-18,7.649817733111463e-10,1.9335258854984344e-09,1.4826498517099676e-09,4.1833736371841275e-12,6.656644119131628e-11
6.063025114112502e-07,0.11224537177198354,0.0,0.0,0.0,0.0,0.3299996327345434,0.6699996301836709,3.6243703546782445e-07,3.647999280933426e-07,2.8206816887752293e-09,5.968939651747871e-10,8.929025518980716e-18,7.814356681973338e-10,1.998945075875518e-09,1.5430721575790606e-09,4.397362296538179e-12,6.798530870533224e-11
