Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11)
9.085446395850396e-10,0.112245372010098,0.0,0.0,0.0,0.0,0.329999999452156,0.6699999995421176,5.451814133596123e-10,4.552183158440897e-10,2.660461176829372e-12,9.262389646844536e-11,8.421820380123313e-21,2.5634532739095742e-15,2.2021738766941113e-15,5.146761791956863e-18,1.4936396133310784e-20,3.6057456765478563e-16,7.464315786007771e-16
9.991841687515622e-10,0.11224537201081532,0.0,0.0,0.0,0.0,0.3299999993975011,0.6699999994938528,5.99445314368982e-10,5.030920590258175e-10,3.050845818770648e-12,9.940464447496834e-11,9.657604425171427e-21,3.2457886968623307e-15,2.8075745227688615e-15,7.199431844130288e-18,1.985893689197735e-20,4.3760895171957987e-16,9.058489136182787e-16
9.999999999999999e-10,0.11224537201149187,0.0,0.0,0.0,0.0,0.32999999939700914,0.6699999994934167,5.999337002434172e-10,5.03524606486469e-10,3.0543937300705622e-12,9.946403284414149e-11,9.668835533862547e-21,3.2523418394728342e-15,2.813400810225963e-15,7.220152294624305e-18,1.9907547508338488e-20,4.3833720492398147e-16,9.073559187006873e-16
1.0898236979180846e-09,0.11224537201149187,0.0,0.0,0.0,0.0,0.3299999993428462,0.669999999445225,6.537021683538229e-10,5.513214598106095e-10,3.448210574356168e-12,1.0582971105046172e-10,1.0915484491348463e-20,4.019226471401079e-15,3.4964985636097563e-15,9.767812411365353e-18,2.5758364892818023e-20,5.223416684367884e-16,1.0811822854689728e-15
1.1804632270846073e-09,0.11224537201213004,0.0,0.0,0.0,0.0,0.3299999992881913,0.6699999993962549,7.079534821009433e-10,5.998877232354198e-10,3.85104754075721e-12,1.119178909864152e-10,1.2190687210418815e-20,4.885091478271749e-15,4.270247543176181e-15,1.2916950935837987e-17,3.272294363437595e-20,6.148232908968212e-16,1.2725336040792087e-15
1.27110275625113e-09,0.11224537201273195,0.0,0.0,0.0,0.0,0.3299999992335363,0.6699999993469614,7.622004742203435e-10,6.48773012835845e-10,4.258137235843127e-12,1.1768702058442574e-10,1.3479352229342526e-20,5.844456237949592e-15,5.129874047688503e-15,1.671267158031279e-17,4.0840996477751046e-20,7.151015123581981e-16,1.4799987956004214e-15
1.3617422854176526e-09,0.11224537201329952,0.0,0.0,0.0,0.0,0.32999999917888134,0.6699999992973622,8.16444100657345e-10,6.979604254536124e-10,4.668523064075033e-12,1.2315400284848266e-10,1.4778451380342966e-20,6.8981630877559916e-15,6.076203736448616e-15,2.1221480725769786e-17,5.0200869093497295e-20,8.232212234494973e-16,1.70366796432096e-15
1.4523818145841753e-09,0.11224537201383471,0.0,0.0,0.0,0.0,0.3299999991242264,0.6699999992474742,8.706850771826655e-10,7.474339748020093e-10,5.081488807010782e-12,1.2833482391939242e-10,1.6085717425567936e-20,8.046843717150752e-15,7.109854757413079e-15,2.651046814838136e-17,6.089087288578799e-20,9.392245636607464e-16,1.9436255017000895e-15
1.579206527091848e-09,0.11224537201453245,0.0,0.0,0.0,0.0,0.3299999990477519,0.669999999177215,9.465767555471148e-10,8.171100562666852e-10,5.662623995473598e-12,1.3513223182568523e-10,1.7925333250286416e-20,9.814421878166558e-15,8.703616337564408e-15,3.534889236820283e-17,7.824911376850924e-20,1.1148464747025803e-15,2.30686882697811e-15
1.7060312395995208e-09,0.11224537201517473,0.0,0.0,0.0,0.0,0.3299999989712775,0.6699999991064606,1.0224654220167918e-09,8.872780174272052e-10,6.246632920510425e-12,1.4143771151941561e-10,1.9774046082233064e-20,1.17698622779822e-14,1.047021617884573e-14,4.603283190697333e-17,9.86262250948364e-20,1.3060807342805624e-15,2.7023560617695688e-15
1.8328559521071936e-09,0.11224537201576555,0.0,0.0,0.0,0.0,0.329999998894803,0.6699999990352484,1.098351928736112e-09,9.579018362595223e-10,6.832663124357127e-12,1.472872846959072e-10,2.162915740873528e-20,1.3913913195621285e-14,1.2410389826317459e-14,5.874886924528043e-17,1.2226411259823555e-19,1.5130194579935096e-15,3.130269957832104e-15
1.9596806646148663e-09,0.11224537201630883,0.0,0.0,0.0,0.0,0.3299999988183285,0.6699999989636117,1.1742368695844304e-09,1.0289481364023459e-09,7.420120621948244e-12,1.5271432741188337e-10,2.3488786929944173e-20,1.62470917831317e-14,1.452464971315589e-14,7.368426616859338e-17,1.4940472901280883e-19,1.7357468214990113e-15,3.590776779165271e-15
2.086505377122539e-09,0.11224537201680793,0.0,0.0,0.0,0.0,0.329999998741854,0.6699999988915823,1.250120691797704e-09,1.1003859492274184e-09,8.008558183953862e-12,1.5774980801302198e-10,2.535151891135381e-20,1.8769781444297206e-14,1.6813381588836974e-14,9.102664811180412e-17,1.8029003424418478e-19,1.9743397772437126e-15,4.084027793262477e-15
2.213330089630212e-09,0.1122453720172664,0.0,0.0,0.0,0.0,0.3299999986653794,0.6699999988191893,1.3260036625430855e-09,1.1721866216325225e-09,8.597708791704695e-12,1.6242237934010418e-10,2.7216508087283824e-20,2.1482203126642418e-14,1.927681563604529e-14,1.1096407661688126e-16,2.1516198407548257e-19,2.2288683319851028e-15,4.6101598484560296e-15
2.3401548021378846e-09,0.11224537201768688,0.0,0.0,0.0,0.0,0.3299999985889047,0.6699999987464592,1.4018859937423706e-09,1.244323560779597e-09,9.187360707128438e-12,1.6675863398856749e-10,2.90830841862671e-20,2.4384524186528997e-14,2.1915134312897644e-14,1.3368472073448578e-16,2.542625142803095e-19,2.499396314636048e-15,5.169296970410345e-15
2.4669795146455574e-09,0.1122453720180725,0.0,0.0,0.0,0.0,0.3299999985124301,0.6699999986734169,1.477767808176219e-09,1.316772177332537e-09,9.777391398260735e-12,1.7078316107018727e-10,3.095085932537553e-20,2.747682917326771e-14,2.4728443073410842e-14,1.5937695985249094e-16,2.9783357302628755e-19,2.7859815458084938e-15,5.761550713687652e-15
2.59380422715323e-09,0.11224537201842552,0.0,0.0,0.0,0.0,0.3299999984359554,0.6699999986000852,1.553649232969231e-09,1.3895096137729943e-09,1.0367673974806777e-11,1.745188178947915e-10,3.281943182535159e-20,3.075920158612407e-14,2.7716851134726076e-14,1.8822913387225708e-16,3.461171005425303e-19,3.088676655012413e-15,6.38702186076281e-15
2.720628939660903e-09,0.11224537201874861,0.0,0.0,0.0,0.0,0.32999999835948063,0.6699999985264853,1.6295303315497753e-09,1.462514758874128e-09,1.0958145287198251e-11,1.779867154966425e-10,3.468860178102613e-20,3.4231664875188705e-14,3.088041269577221e-14,2.2042973037177633e-16,3.993550689034021e-19,3.407529036163044e-15,7.045800328853804e-15
2.8474536521685756e-09,0.11224537201904367,0.0,0.0,0.0,0.0,0.3299999982830059,0.6699999984526372,1.7054111776335952e-09,1.5357679554679645e-09,1.1548731880632194e-11,1.812065108644095e-10,3.6558136665532033e-20,3.789424735980052e-14,3.421919084974456e-14,2.5616716481936347e-16,4.577894227469482e-19,3.742581727507382e-15,7.737967000137314e-15
