Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247)
4.933348518736697e-07,0.11224537183579647,0.0,0.0,0.0,0.0,0.3299997007823003,0.6699996988916495,2.953209490857817e-07,2.968160595349096e-07,2.2976136448565833e-09,5.283708967147086e-10,7.273224463491793e-18,8.219147934728166e-10,1.5929161973086595e-09,1.2312745306644677e-09,2.3732539164021377e-12,1.5905404519324882e-10,9.1151946274156e-11,5.319652709014619e-14,1.8992484069924605e-13,1.07717300926095e-21,3.3440403468381875e-14,4.266847459338306e-15,1.1934096186170932e-12,1.6076843199234637e-19,6.977823843516485e-19,3.4172918250148058e-28,9.938500758582155e-23,4.388859741065389e-28,3.475713673551586e-29,1.3596174366417518e-27,1.0632826435335948e-26,7.050832526282835e-33
5.101503762694065e-07,0.11224537183079822,0.0,0.0,0.0,0.0,0.32999969049276556,0.669999688554506,3.054206099327872e-07,3.069360527218447e-07,2.3762484624891317e-09,5.389056705489191e-10,7.522147376240375e-18,8.624246497221546e-10,1.703581932286878e-09,1.341974935288428e-09,2.6246319423921406e-12,1.6626852342775026e-10,9.5064494677518e-11,5.769856072179058e-14,2.0987114830620563e-13,1.1902999930896179e-21,3.829310567204136e-14,4.457465988521539e-15,1.2344854797794033e-12,1.7921787061012182e-19,8.049030757198607e-19,3.8016191876818314e-28,1.0982263717988392e-22,5.238260405210037e-28,4.209083752034821e-29,1.5991455646829321e-27,1.2928163796800766e-26,8.572933499225923e-33
5.269659006651434e-07,0.11224537182589904,0.0,0.0,0.0,0.0,0.329999680196354,0.6699996782129767,3.155233602439482e-07,3.17055746242754e-07,2.454907327104656e-09,5.494401669596778e-10,7.771146411058318e-18,9.031534691247602e-10,1.817974586353171e-09,1.458014977953866e-09,2.8931996636485137e-12,1.7350482236636189e-10,9.898202235141784e-11,6.241945880086386e-14,2.310998347695764e-13,1.3107000851212874e-21,4.364578770046734e-14,4.651075027781218e-15,1.275583262021429e-12,1.9907397495629525e-19,9.24097971839682e-19,4.215429932315946e-28,1.2093131904797738e-22,6.215683444195155e-28,5.063057537296186e-29,1.871217585163294e-27,1.562066929484385e-26,1.0358410566936354e-32
5.437814250608802e-07,0.11224537182109895,0.0,0.0,0.0,0.0,0.32999966989303586,0.6699996678670603,3.2562922715638164e-07,3.271751403269777e-07,2.5335904505380656e-09,5.599743863631129e-10,8.020222238520886e-18,9.44079137787248e-10,1.9360953832550344e-09,1.579421932845751e-09,3.1795311144668066e-12,1.8076054428633892e-10,1.0290378476134606e-10,6.73625287443689e-14,2.536423920558526e-13,1.438551894416134e-21,4.952998238679104e-14,4.847676217458179e-15,1.3167030803959439e-12,2.2039448268926854e-19,1.0562722332560436e-18,4.6601411847918985e-28,1.327275326513467e-22,7.33534475479969e-28,6.052213332828967e-29,2.1790525808780263e-27,1.8763373621299644e-26,1.2442430622487788e-32
5.605969494566171e-07,0.11224537181639788,0.0,0.0,0.0,0.0,0.3299996595827842,0.6699996575167547,3.3573823481331364e-07,3.372942352054534e-07,2.612298021258373e-09,5.705083291580794e-10,8.269375455237275e-18,9.851817830769584e-10,2.0579455561507005e-09,1.7062203467125237e-09,3.4842008987180766e-12,1.8803357231070082e-10,1.0682914514905827e-10,7.253100930969201e-14,2.775296501663218e-13,1.5740302756487977e-21,5.597797773859072e-14,5.0472711575789065e-15,1.3578450377617765e-12,2.432377394946325e-19,1.2023676375712973e-18,5.137218343254834e-28,1.4522741106314474e-22,8.612518700601664e-28,7.192301581256758e-29,2.526080793552984e-27,2.2414496709792557e-26,1.48636017999947e-32
5.774124738523539e-07,0.11224537181179584,0.0,0.0,0.0,0.0,0.3299996492655752,0.6699996471620582,3.4585040466632876e-07,3.4741303111054187e-07,2.6910302067285866e-09,5.810419957278848e-10,8.518606591321025e-18,1.026443564065902e-09,2.1835263465921684e-09,1.8384323103716888e-09,3.807784190554839e-12,1.9532203814665375e-10,1.1075755917328433e-10,7.792807202657382e-14,3.0279179112258093e-13,1.7173064084282922e-21,6.302280167724284e-14,5.2498614077043e-15,1.3990092260245442e-12,2.6766269945733264e-19,1.3633629613391426e-18,5.648176027698047e-28,1.5844674828697148e-22,1.0063581636298704e-27,8.500291146686265e-29,2.915950703933671e-27,2.663777359021998e-26,1.766418956683365e-32
5.942279982480907e-07,0.11224537180729277,0.0,0.0,0.0,0.0,0.32999963894138695,0.6699996368029693,3.559657557337991e-07,3.5753152827587814e-07,2.7697871554168184e-09,5.91575386441786e-10,8.767916116756239e-18,1.0678484889880333e-09,2.312839003662192e-09,1.976077691621805e-09,4.150856734739885e-12,2.026242952733908e-10,1.1468856269310083e-10,8.355682259757615e-14,3.294583621926881e-13,1.8685478723111227e-21,7.069820754378238e-14,5.455448528568567e-15,1.4401957271296876e-12,2.9372892568605154e-19,1.540274352421873e-18,6.194580044752609e-28,1.7240100617810302e-22,1.1706054008257335e-27,9.994419565347656e-29,3.352535892030947e-27,3.150278513506819e-26,2.0890336060020218e-32
6.110435226438276e-07,0.11224537180288868,0.0,0.0,0.0,0.0,0.32999962861020016,0.6699996264394859,3.6608430484088534e-07,3.6764972693623404e-07,2.848568998673914e-09,6.021085016563347e-10,9.017304447341366e-18,1.109382244082825e-09,2.4458847831759203e-09,2.1191743519318075e-09,4.51399484674761e-12,2.0993889441398298e-10,1.186217608597335e-10,8.942030227684977e-14,3.5755828917564524e-13,2.0279187221452234e-21,7.903865955226962e-14,5.664034046242671e-15,1.4814046140889776e-12,3.214965905754113e-19,1.7341556991163866e-18,6.778049166175253e-28,1.871053213952277e-22,1.3558646594869316e-27,1.169424844053714e-28,3.839942888577603e-27,3.708530168307957e-26,2.459228796203169e-32
6.446745714353014e-07,0.11224537179437707,0.0,0.0,0.0,0.0,0.329999607926763,0.6699996056993295,3.863310549032268e-07,3.878852296859822e-07,3.0062078195986734e-09,6.231739069580494e-10,9.516318950690059e-18,1.1927863762532984e-09,2.7231807618347885e-09,2.42178418526205e-09,5.302775888463283e-12,2.2460016736775794e-10,1.264934471955041e-10,1.0186330026100071e-13,4.181708912686514e-13,2.371687654978741e-21,9.785602080370561e-14,6.090206232904222e-15,1.5638897986299332e-12,3.8237997818528953e-19,2.1772348740165905e-18,8.062928806933025e-28,2.188230886973826e-22,1.797525898165176e-27,1.5796176145395358e-28,4.9848625798753065e-27,5.073918793206198e-26,3.364664897947217e-32
6.783056202267752e-07,0.11224537178626065,0.0,0.0,0.0,0.0,0.32999958721514366,0.6699995849415752,4.065907540381414e-07,4.081195412558895e-07,3.1639474438757157e-09,6.442382142798116e-10,1.0015652552687674e-17,1.2765689133838542e-09,3.0154244357775183e-09,2.746372219443933e-09,6.178749247563224e-12,2.39297361164824e-10,1.3437048089135906e-10,1.1528016001888675e-13,4.848490951963792e-13,2.7498581052060645e-21,1.1976424682813605e-13,6.528389784968586e-15,1.6464652192342204e-12,4.508064614177833e-19,2.7018011506946897e-18,9.516873425569578e-28,2.537149120547757e-22,2.3488632462168336e-27,2.099100379445207e-28,6.388526642222299e-27,6.834385771499091e-26,4.532093506933152e-32
7.11936669018249e-07,0.11224537177853898,0.0,0.0,0.0,0.0,0.32999956647524437,0.6699995641662095,4.2686347924438046e-07,4.2835266355292793e-07,3.321788472704302e-09,6.653014261391121e-10,1.0515307156464137e-17,1.360660254209912e-09,3.3226260233838575e-09,3.0930284600303474e-09,7.146545973238012e-12,2.5402386288893253e-10,1.4225130031848025e-10,1.296930317846864e-13,5.578033105822363e-13,3.163623426855878e-21,1.450631363403804e-13,6.978596269672667e-15,1.7291312249195036e-12,5.272794500440417e-19,3.3176839070242792e-18,1.1154877450170575e-27,2.918908977754671e-22,3.0295960812263405e-27,2.7488219840608957e-28,8.092990752815531e-27,9.076780911236992e-26,6.019108766015392e-32
7.455677178097227e-07,0.11224537177121152,0.0,0.0,0.0,0.0,0.32999954570698553,0.6699995433732191,4.471492898204243e-07,4.48584598492429e-07,3.4797313691220144e-09,6.863635449498647e-10,1.1015284227790816e-17,1.4450048577245506e-09,3.644795793639065e-09,3.4618266024484132e-09,8.210806219878144e-12,2.6877452728164003e-10,1.5013476579020926e-10,1.451231626108867e-13,6.372352519853684e-13,3.614127659244918e-21,1.740624936808697e-13,7.440837042385061e-15,1.8118880924178995e-12,6.123121975504662e-19,4.035353650945867e-18,1.2992914698534765e-27,3.3345660232552044e-22,3.8617945237481875e-27,3.5523647832457407e-28,1.0144809943527044e-26,1.190172169549206e-25,7.892434877093183e-32
7.791987666011965e-07,0.11224537176427773,0.0,0.0,0.0,0.0,0.32999952491030154,0.6699995225625901,4.6744823087478837e-07,4.6881534799613605e-07,3.6377764854022184e-09,7.074245730425765e-10,1.1515584881808775e-17,1.5295585465181933e-09,3.981944054824484e-09,3.852827246387555e-09,9.37617923292976e-12,2.8354536283534873e-10,1.5802005180103503e-10,1.615909349429124e-13,7.233383116957862e-13,4.102467641313621e-21,2.0708171899646278e-13,7.91512329056906e-15,1.8947360404762603e-12,7.064278365777505e-19,4.8659344179242496e-18,1.5047980925319032e-27,3.785132274111928e-22,4.8700347117837585e-27,4.536125546535744e-28,1.2595306978865609e-26,1.5425032048955423e-25,1.0228880228726803e-31
8.128298153926703e-07,0.11224537175773718,0.0,0.0,0.0,0.0,0.32999950408513784,0.6699995017343096,4.877603362224909e-07,4.890449139906008e-07,3.7959240856623224e-09,7.28484512681002e-10,1.2016209954596447e-17,1.614286265769118e-09,4.334081145214451e-09,4.266080551954245e-09,1.0647323334171567e-11,2.9833327661754885e-10,1.6590656220055389e-10,1.7911590361644573e-13,8.162979182387943e-13,4.629695044910995e-21,2.444494139841965e-13,8.40146606043716e-15,1.9776752416780337e-12,8.101594158645306e-19,5.821216227680299e-18,1.7338132777333303e-27,4.271578075826925e-22,6.081558531101693e-27,5.7295007548526825e-28,1.5500846495471542e-26,1.9779265300352526e-25,1.3116347359109171e-31
8.464608641841441e-07,0.11224537175158919,0.0,0.0,0.0,0.0,0.32999948323144945,0.6699994808883636,5.080856307810503e-07,5.092732984058606e-07,3.95417436456559e-09,7.495433660759262e-10,1.2517160062371296e-17,1.6991602155329804e-09,4.701217425405564e-09,4.701628440235609e-09,1.2028905907470919e-11,3.13135866524169e-10,1.7379386362104401e-10,1.9771683149797607e-13,9.162918814821881e-13,5.196818332096085e-21,2.8650300214390816e-13,8.899876282021154e-15,2.0607058322199842e-12,9.24049937592267e-19,6.91366762400011e-18,1.9882526526947218e-27,4.794833908272629e-22,7.526436557565966e-27,7.165076559749451e-28,1.8923113861765049e-26,2.511531466369056e-25,1.6654900958128348e-31
8.800919129756179e-07,0.11224537174583338,0.0,0.0,0.0,0.0,0.32999946234919786,0.6699994600247395,5.284241324639603e-07,5.295005031744003e-07,4.112527462100833e-09,7.706011353960699e-10,1.3018435648275744e-17,1.7841583520966448e-09,5.083363272296217e-09,5.159506337699569e-09,1.3525603385376968e-11,3.2795126244462985e-10,1.8168163883081037e-10,2.1741172366839228e-13,1.0234907224830273e-12,5.804804625888796e-21,3.3358836550574196e-13,9.410364790072664e-15,2.1438279196397563e-12,1.0486523957804e-18,8.156448270143832e-18,2.27014547440014e-27,5.3557921117647955e-22,9.237734672664432e-27,8.878823523500796e-28,2.2929400460385785e-26,3.1604112044268355e-25,2.0957894442925975e-31
9.137229617670917e-07,0.11224537174046907,0.0,0.0,0.0,0.0,0.3299994414383503,0.6699994391434239,5.487758536330211e-07,5.497265302303607e-07,4.270983474919154e-09,7.91657822776468e-10,1.3520037018264277e-17,1.8692632180796647e-09,5.480529074505601e-09,5.639744519039405e-09,1.5142101236516056e-11,3.42778009261307e-10,1.8956965630136788e-10,2.38217860032667e-13,1.1380579876811256e-12,6.454581492241938e-21,3.8605949837544947e-13,9.932942339886586e-15,2.227041588746041e-12,1.1845298161965598e-18,9.563421578335177e-18,2.581638155738285e-27,5.955308531222603e-22,1.1251684433805411e-26,1.0910295782577944e-27,2.7592895860343533e-26,3.943841604243797e-25,2.6153155685869802e-31
9.473540105585655e-07,0.11224537173549579,0.0,0.0,0.0,0.0,0.3299994204988785,0.6699994182444031,5.69140802236128e-07,5.699513815089216e-07,4.429542465215516e-09,8.127134303250423e-10,1.4021964369218526e-17,1.9544610173108837e-09,5.892725228799034e-09,6.142369161292298e-09,1.688309395400953e-11,3.57614977284305e-10,1.974577485424859e-10,2.601518264345628e-13,1.2601505489743941e-12,7.147038641941135e-21,4.4427817654508034e-13,1.0467619620856084e-14,2.310346906267274e-12,1.3322552944448085e-18,1.1149167378255685e-17,2.92499757088433e-27,6.594204086448865e-22,1.3607857098782803e-26,1.3302833753328392e-27,3.2992985626656224e-26,4.883469117242607e-25,3.238423323278723e-31
