Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15)
5.825204632168997e-09,0.11224537202141013,0.0,0.0,0.0,0.0,0.3299999964874226,0.6699999966780238,3.4869924117063656e-09,3.2963407595777167e-09,2.542172700246108e-11,2.1614845614889076e-10,8.047390505486928e-20,1.78413315113341e-13,1.6298628550048032e-13,2.571106974733834e-15,3.913657477981189e-18,1.6318151326546585e-14,3.367443998735117e-14,2.986657914074124e-19,1.7306995943963777e-20,9.81576558998165e-29,2.7617079783143547e-23,2.6870933680403994e-16
6.0181715059863505e-09,0.1122453720214047,0.0,0.0,0.0,0.0,0.3299999963710628,0.6699999965616049,3.602441572409285e-09,3.4118456831801597e-09,2.632066689013232e-11,2.1699708490509738e-10,8.331947094271263e-20,1.9111709739946564e-13,1.7466516138073144e-13,2.8497614619701786e-15,4.315408562233059e-18,1.7445947511318985e-14,3.599734102752526e-14,3.305747226183074e-19,1.9822116185457558e-20,1.1242232069891497e-28,3.272943953845281e-23,2.879938203857513e-16
6.211138379803704e-09,0.11224537202139026,0.0,0.0,0.0,0.0,0.3299999962547029,0.6699999964451059,3.7178904176799057e-09,3.5274298277408204e-09,2.7219619596416764e-11,2.1776637071827125e-10,8.616534647951714e-20,2.042571817637859e-13,1.8674986782974444e-13,3.1479080252266274e-15,4.743753224247036e-18,1.861178185782329e-14,3.839814531629125e-14,3.6464343527589503e-19,2.2600296582073323e-20,1.281789487611183e-28,3.8571095701934194e-23,3.0795157003442423e-16
6.404105253621058e-09,0.1122453720213678,0.0,0.0,0.0,0.0,0.32999999613834285,0.6699999963285358,3.833338732012375e-09,3.6430845740262376e-09,2.8118801579305878e-11,2.1846493274327202e-10,8.901123015027843e-20,2.1783308629710403e-13,1.9924021685758852e-13,3.4662051429385034e-15,5.1995435509863586e-18,1.98156251540649e-14,4.087676368547188e-14,4.0093732797212837e-19,2.5658917991945793e-20,1.4552611789325691e-28,4.521695686783305e-23,3.2858249041255335e-16
6.5970721274384115e-09,0.1122453720213383,0.0,0.0,0.0,0.0,0.3299999960219827,0.6699999962119016,3.948786691493596e-09,3.758802589329572e-09,2.9018037356358188e-11,2.1910010362008673e-10,9.185926289235742e-20,2.318446647183487e-13,2.121363588094598e-13,3.8053098823871676e-15,5.683631221108772e-18,2.1057444399475038e-14,4.343309918727063e-14,4.395211543282829e-19,2.901586939986976e-20,1.6456528398760022e-28,5.2746773425649084e-23,3.4988704227578714e-16
6.790039001255765e-09,0.11224537202130255,0.0,0.0,0.0,0.0,0.32999999590562257,0.669999996095211,4.064234541477993e-09,3.8745769598032135e-09,2.991708211447773e-11,2.1967879713328114e-10,9.470470464282016e-20,2.462918294954084e-13,2.2543850388820929e-13,4.165878677078316e-15,6.196868442700725e-18,2.2337205413013483e-14,4.6067052516656126e-14,4.804591394732476e-19,3.2689540294652194e-20,1.8540074844491784e-28,6.124531533039608e-23,3.718657846323636e-16
6.983005875073119e-09,0.11224537202126117,0.0,0.0,0.0,0.0,0.32999999578926226,0.6699999959784697,4.179682207806451e-09,3.9904012585009726e-09,3.081601082741142e-11,2.202074401704207e-10,9.7549140679739e-20,2.611742147778285e-13,2.3914658624325264e-13,4.548568295036802e-15,6.740107713845758e-18,2.365487262898205e-14,4.877852158790215e-14,5.238151168729772e-19,3.669881401996034e-20,2.0813960812903882e-28,7.080251194603417e-23,3.945188226983464e-16
7.1759727488904725e-09,0.11224537202121479,0.0,0.0,0.0,0.0,0.32999999567290184,0.669999995861684,4.295129505152906e-09,4.106269849364238e-09,3.171500972680617e-11,2.2069166873870033e-10,1.0039466639263977e-19,2.7649135609120307e-13,2.5326044398496925e-13,4.954035327447415e-15,7.314201361488953e-18,2.501040818318627e-14,5.156739963419606e-14,5.696524595883205e-19,4.106306603685325e-20,2.3289175082272034e-28,8.151353606775084e-23,4.1784610379063727e-16
7.368939622707826e-09,0.11224537202116391,0.0,0.0,0.0,0.0,0.3299999955565413,0.6699999957448577,4.410576406299144e-09,4.222177994112754e-09,3.261410679344014e-11,2.2113622107514456e-10,1.0324147071038476e-19,2.9224292336558264e-13,2.677800518352559e-13,5.3829355201439536e-15,7.920001338346755e-18,2.640377159138106e-14,5.44335745378916e-14,6.180339932507793e-19,4.580216015337808e-20,2.5976983545333152e-28,9.347895746369549e-23,4.4184779973592243e-16
7.56190649652518e-09,0.11224537202110905,0.0,0.0,0.0,0.0,0.32999999544018066,0.6699999956279955,4.526023045873109e-09,4.338121572065693e-09,3.3513168017382085e-11,2.2154521782299554e-10,1.0608777929287765e-19,3.084287249498537e-13,2.827055243558403e-13,5.835923756247298e-15,8.558359526288429e-18,2.7834920591251192e-14,5.737693058006407e-14,6.6902200066743055e-19,5.093644277343268e-20,2.888892595226578e-28,1.0680491446293091e-22,4.665243121847051e-16
