Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35)
5.918664950497101e-10,0.11224537200723536,0.0,0.0,0.0,0.0,0.32999999964311033,0.6699999997075702,3.555045144551179e-10,2.910446409359479e-10,1.3843436835442388e-12,6.584493057661183e-11,4.382201404805125e-21,7.133695153443891e-16,7.142532490570805e-16,8.837337126912973e-19
6.771343050063234e-10,0.11224537200806464,0.0,0.0,0.0,0.0,0.3299999995916947,0.6699999996635421,4.0659394497437615e-10,3.3474652398417396e-10,1.7102411078168716e-12,7.355868329276022e-11,5.4138470978985945e-21,1.0211893273040231e-15,1.0226474717021717e-15,1.4581443981487487e-18
7.538753339672754e-10,0.11224537200877285,0.0,0.0,0.0,0.0,0.3299999995454206,0.6699999996235771,4.5256169194871755e-10,3.744051984016861e-10,2.016232655453573e-12,8.017408105225424e-11,6.382479855419301e-21,1.3548433867488061e-15,1.3570114056775363e-15,2.1680189287299354e-18
8.306163629282274e-10,0.11224537200944674,0.0,0.0,0.0,0.0,0.3299999994991465,0.6699999995833069,4.98519675928322e-10,4.1435921472549373e-10,2.3319315919144023e-12,8.649413689496963e-11,7.381842007828853e-21,1.7440928451119169e-15,1.7471875521709676e-15,3.0947070590507457e-18
9.073573918891794e-10,0.11224537201008818,0.0,0.0,0.0,0.0,0.3299999994528724,0.6699999995427468,5.444697180358319e-10,4.545952898814753e-10,2.6555152549834684e-12,9.253213389491362e-11,8.406163794794631e-21,2.19047716743686e-15,2.1947492064346636e-15,4.272038997803696e-18
9.840984208501315e-10,0.11224537201069863,0.0,0.0,0.0,0.0,0.3299999994065983,0.6699999995019109,5.904133196838356e-10,4.951007305978991e-10,2.9854809695051548e-12,9.830076532371109e-11,9.450688396632753e-21,2.6952588188685756e-15,2.7009934400695202e-15,5.7346212009444014e-18
9.999999999999999e-10,0.11224537201127971,0.0,0.0,0.0,0.0,0.3299999993970098,0.669999999493416,5.999326469161394e-10,5.035264651646271e-10,3.054534761144459e-12,9.946352377907844e-11,9.669281977332887e-21,2.8072567524339956e-15,2.813333350043568e-15,6.076597609572237e-18
1.0608394498110836e-09,0.11224537201127971,0.0,0.0,0.0,0.0,0.3299999993603242,0.6699999994608126,6.363516932497247e-10,5.358634193969108e-10,3.320615345947793e-12,1.0381214865911756e-10,1.0511574746837921e-20,3.2594498442881293e-15,3.2669676035619992e-15,7.517759273869209e-18
1.1375804787720357e-09,0.11224537201183263,0.0,0.0,0.0,0.0,0.3299999993140501,0.6699999994194643,6.822858030780357e-10,5.768717917598908e-10,3.659953242533877e-12,1.0907784841966066e-10,1.1585767623935503e-20,3.8838473960907705e-15,3.893504751546235e-15,9.65735545546334e-18
1.2143215077329878e-09,0.11224537201235889,0.0,0.0,0.0,0.0,0.329999999267776,0.6699999993778778,7.282164292249658e-10,6.181148023454036e-10,4.002713965489823e-12,1.1410890994669022e-10,1.2670795689063169e-20,4.5690889673046765e-15,4.581278716896728e-15,1.2189749592050834e-17
1.2910625366939399e-09,0.11224537201285964,0.0,0.0,0.0,0.0,0.3299999992215019,0.6699999993360644,7.74144214313637e-10,6.595818986566052e-10,4.348254373184061e-12,1.189158857369712e-10,1.376462303395368e-20,5.315692990648096e-15,5.330844592837828e-15,1.515160218973142e-17
1.367803565654892e-09,0.11224537201333615,0.0,0.0,0.0,0.0,0.3299999991752278,0.6699999992940345,8.200696842921066e-10,7.012630027281247e-10,4.696048100128324e-12,1.2350885375580105e-10,1.486558341310691e-20,6.124076825088628e-15,6.142656667514181e-15,1.8579842425550043e-17
1.444544594615844e-09,0.1122453720137895,0.0,0.0,0.0,0.0,0.3299999991289537,0.6699999992517987,8.659932605761845e-10,7.431484926376991e-10,5.045673403639029e-12,1.2789743592537434e-10,1.5972341771577794e-20,6.9945672775236876e-15,7.017078915169404e-15,2.251163764571463e-17
1.598026652537748e-09,0.11224537201463096,0.0,0.0,0.0,0.0,0.3299999990364056,0.6699999991667455,9.578360430318473e-10,8.274962783974034e-10,5.749106786755858e-12,1.3609779429011347e-10,1.8199099348737257e-20,8.922850714730218e-15,8.954886099052269e-15,3.203538432204885e-17
1.751508710459652e-09,0.11224537201539206,0.0,0.0,0.0,0.0,0.32999999894385745,0.6699999990809753,1.0496745777294896e-09,9.125565897980515e-10,6.45653703263266e-12,1.43585626968405e-10,2.043850926490304e-20,1.1101983895578132e-14,1.1146007004280195e-14,4.4023108702059295e-17
1.904990768381556e-09,0.11224537201607984,0.0,0.0,0.0,0.0,0.3299999988513093,0.6699999989945525,1.1415102255051724e-09,9.982667842073918e-10,7.166602431598444e-12,1.504235765921166e-10,2.26862609361522e-20,1.3532840051279168e-14,1.3591616399631029e-14,5.877634835185833e-17
2.0584728263034603e-09,0.11224537201670098,0.0,0.0,0.0,0.0,0.3299999987587612,0.6699999989075351,1.2333439068132367e-09,1.0845697195737058e-09,7.878382036971341e-12,1.5666878521263895e-10,2.4939439043569797e-20,1.621591119768439e-14,1.629250857311064e-14,7.659737542624941e-17
2.2119548842253645e-09,0.11224537201726126,0.0,0.0,0.0,0.0,0.32999999866621305,0.6699999988199757,1.325176217012344e-09,1.171413282122507e-09,8.591280279120873e-12,1.6237336660418272e-10,2.719615827127045e-20,1.915140802851623e-14,1.9249196937045706e-14,9.778890852947324e-17
